version,1.7.0
info,balls_per_over,5
info,team,Manchester Originals
info,team,Southern Brave
info,gender,male
info,season,2024
info,date,2024/08/01
info,event,The Hundred Men's Competition
info,match_number,11
info,venue,"The Rose Bowl, Southampton"
info,city,Southampton
info,toss_winner,Southern Brave
info,toss_decision,field
info,player_of_match,C Overton
info,umpire,ID Blackwell
info,umpire,Rob White
info,reserve_umpire,Surendiran Shanmugam
info,tv_umpire,PK Baldwin
info,match_referee,SG Hinks
info,winner,Southern Brave
info,winner_wickets,7
info,player,Manchester Originals,PD Salt
info,player,Manchester Originals,MDE Holden
info,player,Manchester Originals,WL Madsen
info,player,Manchester Originals,Sikandar Raza
info,player,Manchester Originals,PI Walter
info,player,Manchester Originals,J Overton
info,player,Manchester Originals,Usama Mir
info,player,Manchester Originals,TW Hartley
info,player,Manchester Originals,SW Currie
info,player,Manchester Originals,Fazalhaq Farooqi
info,player,Manchester Originals,J Hull
info,player,Southern Brave,AL Davies
info,player,Southern Brave,JM Vince
info,player,Southern Brave,JL du Plooy
info,player,Southern Brave,JM Coles
info,player,Southern Brave,LJ Evans
info,player,Southern Brave,KA Pollard
info,player,Southern Brave,CJ Jordan
info,player,Southern Brave,C Overton
info,player,Southern Brave,AJ Hosein
info,player,Southern Brave,DR Briggs
info,player,Southern Brave,TS Mills
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AL Davies,29ede60b
info,registry,people,C Overton,e9987a94
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,DR Briggs,f3abd0c9
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,ID Blackwell,818e8bf2
info,registry,people,J Hull,1cc0a83d
info,registry,people,J Overton,59559bc2
info,registry,people,JL du Plooy,6e6fb538
info,registry,people,JM Coles,9c643d7b
info,registry,people,JM Vince,a15618fe
info,registry,people,KA Pollard,a757b0d8
info,registry,people,LJ Evans,1c513d54
info,registry,people,MDE Holden,d34a2268
info,registry,people,PD Salt,3d284ca3
info,registry,people,PI Walter,57590dbb
info,registry,people,PK Baldwin,6bb53c12
info,registry,people,Rob White,59b91222
info,registry,people,SG Hinks,0bb4dc0d
info,registry,people,SW Currie,c5f40e35
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,Surendiran Shanmugam,2ef5fc2b
info,registry,people,TS Mills,245c97cb
info,registry,people,TW Hartley,22b98d7c
info,registry,people,Usama Mir,6dd8b88c
info,registry,people,WL Madsen,86e0f3f0
ball,1,0.1,Manchester Originals,PD Salt,MDE Holden,AJ Hosein,0,0,,,,,,"",""
ball,1,0.2,Manchester Originals,PD Salt,MDE Holden,AJ Hosein,0,0,,,,,,"",""
ball,1,0.3,Manchester Originals,PD Salt,MDE Holden,AJ Hosein,0,0,,,,,,"",""
ball,1,0.4,Manchester Originals,PD Salt,MDE Holden,AJ Hosein,0,0,,,,,,"",""
ball,1,0.5,Manchester Originals,PD Salt,MDE Holden,AJ Hosein,1,0,,,,,,"",""
ball,1,1.1,Manchester Originals,MDE Holden,PD Salt,AJ Hosein,1,0,,,,,,"",""
ball,1,1.2,Manchester Originals,PD Salt,MDE Holden,AJ Hosein,4,0,,,,,,"",""
ball,1,1.3,Manchester Originals,PD Salt,MDE Holden,AJ Hosein,1,0,,,,,,"",""
ball,1,1.4,Manchester Originals,MDE Holden,PD Salt,AJ Hosein,1,0,,,,,,"",""
ball,1,1.5,Manchester Originals,PD Salt,MDE Holden,AJ Hosein,1,0,,,,,,"",""
ball,1,2.1,Manchester Originals,PD Salt,MDE Holden,C Overton,0,0,,,,,,"",""
ball,1,2.2,Manchester Originals,PD Salt,MDE Holden,C Overton,0,0,,,,,,"",""
ball,1,2.3,Manchester Originals,PD Salt,MDE Holden,C Overton,0,0,,,,,,caught,PD Salt
ball,1,2.4,Manchester Originals,WL Madsen,MDE Holden,C Overton,1,0,,,,,,"",""
ball,1,2.5,Manchester Originals,MDE Holden,WL Madsen,C Overton,0,0,,,,,,caught,MDE Holden
ball,1,3.1,Manchester Originals,Sikandar Raza,WL Madsen,C Overton,0,0,,,,,,"",""
ball,1,3.2,Manchester Originals,Sikandar Raza,WL Madsen,C Overton,0,0,,,,,,"",""
ball,1,3.3,Manchester Originals,Sikandar Raza,WL Madsen,C Overton,1,0,,,,,,"",""
ball,1,3.4,Manchester Originals,WL Madsen,Sikandar Raza,C Overton,0,0,,,,,,"",""
ball,1,3.5,Manchester Originals,WL Madsen,Sikandar Raza,C Overton,0,0,,,,,,"",""
ball,1,4.1,Manchester Originals,Sikandar Raza,WL Madsen,AJ Hosein,0,1,,,,1,,"",""
ball,1,4.2,Manchester Originals,WL Madsen,Sikandar Raza,AJ Hosein,1,0,,,,,,"",""
ball,1,4.3,Manchester Originals,Sikandar Raza,WL Madsen,AJ Hosein,2,0,,,,,,"",""
ball,1,4.4,Manchester Originals,Sikandar Raza,WL Madsen,AJ Hosein,0,0,,,,,,"",""
ball,1,4.5,Manchester Originals,Sikandar Raza,WL Madsen,AJ Hosein,1,0,,,,,,"",""
ball,1,5.1,Manchester Originals,WL Madsen,Sikandar Raza,C Overton,1,0,,,,,,"",""
ball,1,5.2,Manchester Originals,Sikandar Raza,WL Madsen,C Overton,0,0,,,,,,"",""
