version,1.7.0
info,balls_per_over,5
info,team,Trent Rockets
info,team,London Spirit
info,gender,male
info,season,2024
info,date,2024/08/07
info,event,The Hundred Men's Competition
info,match_number,20
info,venue,"Trent Bridge, Nottingham"
info,city,Nottingham
info,toss_winner,Trent Rockets
info,toss_decision,bat
info,player_of_match,Rashid Khan
info,umpire,James Middlebrook
info,umpire,RJ Warren
info,reserve_umpire,S Redfern
info,tv_umpire,AY Harris
info,match_referee,WR Smith
info,winner,Trent Rockets
info,winner_runs,22
info,player,Trent Rockets,A Lyth
info,player,Trent Rockets,T Banton
info,player,Trent Rockets,AD Hales
info,player,Trent Rockets,JE Root
info,player,Trent Rockets,R Powell
info,player,Trent Rockets,Rashid Khan
info,player,Trent Rockets,Imad Wasim
info,player,Trent Rockets,L Gregory
info,player,Trent Rockets,JA Turner
info,player,Trent Rockets,L Wood
info,player,Trent Rockets,SJ Cook
info,player,London Spirit,MS Pepper
info,player,London Spirit,KK Jennings
info,player,London Spirit,OJ Pope
info,player,London Spirit,DW Lawrence
info,player,London Spirit,SO Hetmyer
info,player,London Spirit,MJJ Critchley
info,player,London Spirit,AD Russell
info,player,London Spirit,LA Dawson
info,player,London Spirit,OP Stone
info,player,London Spirit,NT Ellis
info,player,London Spirit,RJ Gleeson
info,registry,people,A Lyth,70b8fd28
info,registry,people,AD Hales,92aeac25
info,registry,people,AD Russell,bbd41817
info,registry,people,AY Harris,90d95b82
info,registry,people,CG Harrison,f655d740
info,registry,people,DW Lawrence,4b685e2d
info,registry,people,Imad Wasim,9cb8d7a6
info,registry,people,JA Turner,cdd875d9
info,registry,people,JE Root,a343262c
info,registry,people,James Middlebrook,ddcd1520
info,registry,people,KK Jennings,8479a24a
info,registry,people,L Gregory,06c2de82
info,registry,people,L Wood,65b6943c
info,registry,people,LA Dawson,4a461c24
info,registry,people,MJJ Critchley,c5cc48bc
info,registry,people,MS Pepper,270e4c23
info,registry,people,NT Ellis,9eb1455b
info,registry,people,OJ Pope,e94bc520
info,registry,people,OP Stone,3f659464
info,registry,people,R Powell,650d5e49
info,registry,people,RJ Gleeson,402f8494
info,registry,people,RJ Warren,9d1c62d7
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,S Redfern,5b038989
info,registry,people,SJ Cook,679cd31e
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,T Banton,25f7b7d6
info,registry,people,WR Smith,ad962377
ball,1,0.1,Trent Rockets,A Lyth,T Banton,RJ Gleeson,0,0,,,,,,"",""
ball,1,0.2,Trent Rockets,A Lyth,T Banton,RJ Gleeson,0,0,,,,,,"",""
ball,1,0.3,Trent Rockets,A Lyth,T Banton,RJ Gleeson,4,0,,,,,,"",""
ball,1,0.4,Trent Rockets,A Lyth,T Banton,RJ Gleeson,0,0,,,,,,caught,A Lyth
ball,1,0.5,Trent Rockets,AD Hales,T Banton,RJ Gleeson,0,0,,,,,,"",""
ball,1,1.1,Trent Rockets,AD Hales,T Banton,OP Stone,6,0,,,,,,"",""
ball,1,1.2,Trent Rockets,AD Hales,T Banton,OP Stone,0,0,,,,,,"",""
ball,1,1.3,Trent Rockets,AD Hales,T Banton,OP Stone,0,1,,,,1,,"",""
ball,1,1.4,Trent Rockets,T Banton,AD Hales,OP Stone,1,0,,,,,,"",""
ball,1,1.5,Trent Rockets,AD Hales,T Banton,OP Stone,0,0,,,,,,"",""
ball,1,2.1,Trent Rockets,T Banton,AD Hales,RJ Gleeson,0,0,,,,,,"",""
ball,1,2.2,Trent Rockets,T Banton,AD Hales,RJ Gleeson,0,0,,,,,,"",""
ball,1,2.3,Trent Rockets,T Banton,AD Hales,RJ Gleeson,1,0,,,,,,"",""
ball,1,2.4,Trent Rockets,AD Hales,T Banton,RJ Gleeson,0,0,,,,,,"",""
ball,1,2.5,Trent Rockets,AD Hales,T Banton,RJ Gleeson,2,0,,,,,,"",""
ball,1,3.1,Trent Rockets,AD Hales,T Banton,NT Ellis,4,0,,,,,,"",""
ball,1,3.2,Trent Rockets,AD Hales,T Banton,NT Ellis,0,0,,,,,,"",""
ball,1,3.3,Trent Rockets,AD Hales,T Banton,NT Ellis,1,0,,,,,,"",""
ball,1,3.4,Trent Rockets,T Banton,AD Hales,NT Ellis,4,0,,,,,,"",""
ball,1,3.5,Trent Rockets,T Banton,AD Hales,NT Ellis,4,0,,,,,,"",""
ball,1,4.1,Trent Rockets,AD Hales,T Banton,OP Stone,1,0,,,,,,"",""
ball,1,4.2,Trent Rockets,T Banton,AD Hales,OP Stone,1,0,,,,,,"",""
ball,1,4.3,Trent Rockets,AD Hales,T Banton,OP Stone,1,0,,,,,,"",""
ball,1,4.4,Trent Rockets,T Banton,AD Hales,OP Stone,0,0,,,,,,"",""
