version,1.7.0
info,balls_per_over,5
info,team,Welsh Fire
info,team,Manchester Originals
info,gender,male
info,season,2023
info,date,2023/08/02
info,event,The Hundred Men's Competition
info,match_number,2
info,venue,"Sophia Gardens, Cardiff"
info,city,Cardiff
info,toss_winner,Manchester Originals
info,toss_decision,field
info,player_of_match,LWP Wells
info,umpire,BJ Debenham
info,umpire,ID Blackwell
info,reserve_umpire,AC Harris
info,tv_umpire,PK Baldwin
info,match_referee,SG Hinks
info,winner,Welsh Fire
info,winner_runs,9
info,player,Welsh Fire,LWP Wells
info,player,Welsh Fire,JM Clarke
info,player,Welsh Fire,GD Phillips
info,player,Welsh Fire,DJ Willey
info,player,Welsh Fire,SS Eskinazi
info,player,Welsh Fire,TB Abell
info,player,Welsh Fire,BGF Green
info,player,Welsh Fire,RE van der Merwe
info,player,Welsh Fire,Shaheen Shah Afridi
info,player,Welsh Fire,Haris Rauf
info,player,Welsh Fire,DA Payne
info,player,Manchester Originals,PD Salt
info,player,Manchester Originals,JC Buttler
info,player,Manchester Originals,LJ Evans
info,player,Manchester Originals,MDE Holden
info,player,Manchester Originals,PI Walter
info,player,Manchester Originals,AJ Turner
info,player,Manchester Originals,J Overton
info,player,Manchester Originals,Usama Mir
info,player,Manchester Originals,TW Hartley
info,player,Manchester Originals,J Little
info,player,Manchester Originals,JC Tongue
info,registry,people,AC Harris,ef14c0ec
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,BGF Green,34b37279
info,registry,people,BJ Debenham,524a3a82
info,registry,people,DA Payne,6c79c098
info,registry,people,DJ Willey,7f048519
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,ID Blackwell,818e8bf2
info,registry,people,J Little,9061a703
info,registry,people,J Overton,59559bc2
info,registry,people,JC Buttler,99b75528
info,registry,people,JC Tongue,1f1b4c89
info,registry,people,JM Clarke,2eca67f5
info,registry,people,LJ Evans,1c513d54
info,registry,people,LWP Wells,1957c6b7
info,registry,people,MDE Holden,d34a2268
info,registry,people,PD Salt,3d284ca3
info,registry,people,PI Walter,57590dbb
info,registry,people,PK Baldwin,6bb53c12
info,registry,people,RE van der Merwe,05c2ca46
info,registry,people,SG Hinks,0bb4dc0d
info,registry,people,SS Eskinazi,75cbed9b
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,TB Abell,ba9258a7
info,registry,people,TW Hartley,22b98d7c
info,registry,people,Usama Mir,6dd8b88c
ball,1,0.1,Welsh Fire,LWP Wells,JM Clarke,JC Tongue,0,1,1,,,,,"",""
ball,1,0.2,Welsh Fire,LWP Wells,JM Clarke,JC Tongue,4,0,,,,,,"",""
ball,1,0.3,Welsh Fire,LWP Wells,JM Clarke,JC Tongue,0,0,,,,,,"",""
ball,1,0.4,Welsh Fire,LWP Wells,JM Clarke,JC Tongue,4,0,,,,,,"",""
ball,1,0.5,Welsh Fire,LWP Wells,JM Clarke,JC Tongue,0,0,,,,,,"",""
ball,1,0.6,Welsh Fire,LWP Wells,JM Clarke,JC Tongue,0,4,,,,4,,"",""
ball,1,1.1,Welsh Fire,LWP Wells,JM Clarke,J Little,0,1,1,,,,,"",""
ball,1,1.2,Welsh Fire,LWP Wells,JM Clarke,J Little,4,0,,,,,,"",""
ball,1,1.3,Welsh Fire,LWP Wells,JM Clarke,J Little,6,0,,,,,,"",""
ball,1,1.4,Welsh Fire,LWP Wells,JM Clarke,J Little,0,1,,,,1,,"",""
ball,1,1.5,Welsh Fire,JM Clarke,LWP Wells,J Little,0,0,,,,,,caught,JM Clarke
ball,1,1.6,Welsh Fire,GD Phillips,LWP Wells,J Little,0,0,,,,,,"",""
ball,1,2.1,Welsh Fire,LWP Wells,GD Phillips,PI Walter,1,0,,,,,,"",""
ball,1,2.2,Welsh Fire,GD Phillips,LWP Wells,PI Walter,0,1,1,,,,,"",""
ball,1,2.3,Welsh Fire,GD Phillips,LWP Wells,PI Walter,1,0,,,,,,"",""
ball,1,2.4,Welsh Fire,LWP Wells,GD Phillips,PI Walter,4,0,,,,,,"",""
ball,1,2.5,Welsh Fire,LWP Wells,GD Phillips,PI Walter,2,0,,,,,,"",""
ball,1,2.6,Welsh Fire,LWP Wells,GD Phillips,PI Walter,4,0,,,,,,"",""
ball,1,3.1,Welsh Fire,LWP Wells,GD Phillips,Usama Mir,0,0,,,,,,"",""
ball,1,3.2,Welsh Fire,LWP Wells,GD Phillips,Usama Mir,2,0,,,,,,"",""
ball,1,3.3,Welsh Fire,LWP Wells,GD Phillips,Usama Mir,1,0,,,,,,"",""
ball,1,3.4,Welsh Fire,GD Phillips,LWP Wells,Usama Mir,0,0,,,,,,"",""
ball,1,3.5,Welsh Fire,GD Phillips,LWP Wells,Usama Mir,1,0,,,,,,"",""
ball,1,4.1,Welsh Fire,GD Phillips,LWP Wells,JC Tongue,4,0,,,,,,"",""
ball,1,4.2,Welsh Fire,GD Phillips,LWP Wells,JC Tongue,1,0,,,,,,"",""
ball,1,4.3,Welsh Fire,LWP Wells,GD Phillips,JC Tongue,0,1,1,,,,,"",""
ball,1,4.4,Welsh Fire,LWP Wells,GD Phillips,JC Tongue,2,0,,,,,,"",""
ball,1,4.5,Welsh Fire,LWP Wells,GD Phillips,JC Tongue,6,0,,,,,,"",""
ball,1,4.6,Welsh Fire,LWP Wells,GD Phillips,JC Tongue,2,0,,,,,,"",""
ball,1,5.1,Welsh Fire,LWP Wells,GD Phillips,Usama Mir,1,0,,,,,,"",""
