version,1.7.0
info,balls_per_over,5
info,team,London Spirit
info,team,Trent Rockets
info,gender,male
info,season,2023
info,date,2023/08/12
info,event,The Hundred Men's Competition
info,match_number,16
info,venue,"Lord's, London"
info,city,London
info,toss_winner,Trent Rockets
info,toss_decision,field
info,player_of_match,DW Lawrence
info,umpire,James Middlebrook
info,umpire,RA Kettleborough
info,reserve_umpire,Naeem Ashraf
info,tv_umpire,NL Bainton
info,match_referee,SG Hinks
info,winner,London Spirit
info,winner_runs,2
info,player,London Spirit,Z Crawley
info,player,London Spirit,AM Rossington
info,player,London Spirit,DW Lawrence
info,player,London Spirit,MS Wade
info,player,London Spirit,DJ Mitchell
info,player,London Spirit,RS Bopara
info,player,London Spirit,MJJ Critchley
info,player,London Spirit,LA Dawson
info,player,London Spirit,NT Ellis
info,player,London Spirit,DJ Worrall
info,player,London Spirit,CP Wood
info,player,Trent Rockets,AD Hales
info,player,Trent Rockets,DJ Malan
info,player,Trent Rockets,T Kohler-Cadmore
info,player,Trent Rockets,JE Root
info,player,Trent Rockets,C Munro
info,player,Trent Rockets,DR Sams
info,player,Trent Rockets,L Gregory
info,player,Trent Rockets,SR Hain
info,player,Trent Rockets,IS Sodhi
info,player,Trent Rockets,L Wood
info,player,Trent Rockets,SJ Cook
info,registry,people,AD Hales,92aeac25
info,registry,people,AM Rossington,7bcde3fe
info,registry,people,C Munro,af2c687b
info,registry,people,CP Wood,1cfac535
info,registry,people,DJ Malan,ad9c32a2
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DJ Worrall,208f22ea
info,registry,people,DR Sams,caf69bf7
info,registry,people,DW Lawrence,4b685e2d
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,JE Root,a343262c
info,registry,people,James Middlebrook,ddcd1520
info,registry,people,L Gregory,06c2de82
info,registry,people,L Wood,65b6943c
info,registry,people,LA Dawson,4a461c24
info,registry,people,MJJ Critchley,c5cc48bc
info,registry,people,MS Wade,afa7e784
info,registry,people,NL Bainton,cd219cb3
info,registry,people,NT Ellis,9eb1455b
info,registry,people,Naeem Ashraf,1866938c
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RS Bopara,7ca5e05d
info,registry,people,SG Hinks,0bb4dc0d
info,registry,people,SJ Cook,679cd31e
info,registry,people,SR Hain,67b9536c
info,registry,people,T Kohler-Cadmore,f836b33d
info,registry,people,Z Crawley,922e1b19
ball,1,0.1,London Spirit,Z Crawley,AM Rossington,L Wood,4,0,,,,,,"",""
ball,1,0.2,London Spirit,Z Crawley,AM Rossington,L Wood,0,1,,,,1,,"",""
ball,1,0.3,London Spirit,AM Rossington,Z Crawley,L Wood,1,0,,,,,,"",""
ball,1,0.4,London Spirit,Z Crawley,AM Rossington,L Wood,0,1,1,,,,,"",""
ball,1,0.5,London Spirit,Z Crawley,AM Rossington,L Wood,0,0,,,,,,"",""
ball,1,0.6,London Spirit,Z Crawley,AM Rossington,L Wood,1,0,,,,,,"",""
ball,1,1.1,London Spirit,AM Rossington,Z Crawley,SJ Cook,0,0,,,,,,caught,AM Rossington
ball,1,1.2,London Spirit,DW Lawrence,Z Crawley,SJ Cook,0,1,1,,,,,"",""
ball,1,1.3,London Spirit,DW Lawrence,Z Crawley,SJ Cook,4,0,,,,,,"",""
ball,1,1.4,London Spirit,DW Lawrence,Z Crawley,SJ Cook,0,0,,,,,,"",""
ball,1,1.5,London Spirit,DW Lawrence,Z Crawley,SJ Cook,1,0,,,,,,"",""
ball,1,1.6,London Spirit,Z Crawley,DW Lawrence,SJ Cook,4,0,,,,,,"",""
ball,1,2.1,London Spirit,DW Lawrence,Z Crawley,L Wood,1,0,,,,,,"",""
ball,1,2.2,London Spirit,Z Crawley,DW Lawrence,L Wood,4,0,,,,,,"",""
ball,1,2.3,London Spirit,Z Crawley,DW Lawrence,L Wood,4,0,,,,,,"",""
ball,1,2.4,London Spirit,Z Crawley,DW Lawrence,L Wood,1,0,,,,,,"",""
ball,1,2.5,London Spirit,DW Lawrence,Z Crawley,L Wood,1,0,,,,,,"",""
ball,1,3.1,London Spirit,Z Crawley,DW Lawrence,DR Sams,1,0,,,,,,"",""
ball,1,3.2,London Spirit,DW Lawrence,Z Crawley,DR Sams,1,0,,,,,,"",""
ball,1,3.3,London Spirit,Z Crawley,DW Lawrence,DR Sams,4,0,,,,,,"",""
ball,1,3.4,London Spirit,Z Crawley,DW Lawrence,DR Sams,6,0,,,,,,"",""
ball,1,3.5,London Spirit,Z Crawley,DW Lawrence,DR Sams,0,0,,,,,,"",""
ball,1,4.1,London Spirit,DW Lawrence,Z Crawley,SJ Cook,1,0,,,,,,"",""
ball,1,4.2,London Spirit,Z Crawley,DW Lawrence,SJ Cook,0,0,,,,,,"",""
