version,1.7.0
info,balls_per_over,5
info,team,Northern Superchargers
info,team,Birmingham Phoenix
info,gender,male
info,season,2024
info,date,2024/08/06
info,event,The Hundred Men's Competition
info,match_number,19
info,venue,"Edgbaston, Birmingham"
info,city,Birmingham
info,toss_winner,Northern Superchargers
info,toss_decision,bat
info,player_of_match,TG Southee
info,umpire,MA Gough
info,umpire,Stephen Harris
info,reserve_umpire,Chris Watts
info,tv_umpire,NJ Llong
info,match_referee,DA Cosker
info,winner,Birmingham Phoenix
info,winner_wickets,10
info,player,Northern Superchargers,MW Short
info,player,Northern Superchargers,BA Stokes
info,player,Northern Superchargers,N Pooran
info,player,Northern Superchargers,HC Brook
info,player,Northern Superchargers,AJ Hose
info,player,Northern Superchargers,OG Robinson
info,player,Northern Superchargers,MJ Santner
info,player,Northern Superchargers,J Clark
info,player,Northern Superchargers,MJ Potts
info,player,Northern Superchargers,AU Rashid
info,player,Northern Superchargers,RJW Topley
info,player,Birmingham Phoenix,BM Duckett
info,player,Birmingham Phoenix,MM Ali
info,player,Birmingham Phoenix,JL Smith
info,player,Birmingham Phoenix,LS Livingstone
info,player,Birmingham Phoenix,DR Mousley
info,player,Birmingham Phoenix,JG Bethell
info,player,Birmingham Phoenix,BAC Howell
info,player,Birmingham Phoenix,SA Abbott
info,player,Birmingham Phoenix,AF Milne
info,player,Birmingham Phoenix,TG Southee
info,player,Birmingham Phoenix,CP Wood
info,registry,people,AF Milne,350bb1b1
info,registry,people,AJ Hose,104e88a4
info,registry,people,AU Rashid,249d60c9
info,registry,people,BA Stokes,e087956b
info,registry,people,BAC Howell,0bec3a6c
info,registry,people,BM Duckett,5f26f677
info,registry,people,CP Wood,1cfac535
info,registry,people,Chris Watts,3cfb1554
info,registry,people,DA Cosker,aac9f784
info,registry,people,DR Mousley,876dbe2d
info,registry,people,HC Brook,4ae1755b
info,registry,people,J Clark,c672e80e
info,registry,people,JG Bethell,3c55c703
info,registry,people,JL Smith,c834c290
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MA Gough,76752ac8
info,registry,people,MJ Potts,894b2d25
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MM Ali,bb351c23
info,registry,people,MW Short,a90e53ec
info,registry,people,N Pooran,3241e3fd
info,registry,people,NJ Llong,573fb985
info,registry,people,OG Robinson,60f4c586
info,registry,people,RJW Topley,8db7f47f
info,registry,people,SA Abbott,1a2676c5
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,TG Southee,13c35c9e
ball,1,0.1,Northern Superchargers,MW Short,BA Stokes,AF Milne,0,0,,,,,,"",""
ball,1,0.2,Northern Superchargers,MW Short,BA Stokes,AF Milne,0,0,,,,,,"",""
ball,1,0.3,Northern Superchargers,MW Short,BA Stokes,AF Milne,4,0,,,,,,"",""
ball,1,0.4,Northern Superchargers,MW Short,BA Stokes,AF Milne,0,0,,,,,,"",""
ball,1,0.5,Northern Superchargers,MW Short,BA Stokes,AF Milne,0,0,,,,,,"",""
ball,1,1.1,Northern Superchargers,MW Short,BA Stokes,TG Southee,0,0,,,,,,caught,MW Short
ball,1,1.2,Northern Superchargers,N Pooran,BA Stokes,TG Southee,0,0,,,,,,"",""
ball,1,1.3,Northern Superchargers,N Pooran,BA Stokes,TG Southee,0,0,,,,,,"",""
ball,1,1.4,Northern Superchargers,N Pooran,BA Stokes,TG Southee,0,0,,,,,,"",""
ball,1,1.5,Northern Superchargers,N Pooran,BA Stokes,TG Southee,1,0,,,,,,"",""
ball,1,2.1,Northern Superchargers,N Pooran,BA Stokes,CP Wood,0,0,,,,,,"",""
ball,1,2.2,Northern Superchargers,N Pooran,BA Stokes,CP Wood,0,0,,,,,,"",""
ball,1,2.3,Northern Superchargers,N Pooran,BA Stokes,CP Wood,0,0,,,,,,"",""
ball,1,2.4,Northern Superchargers,N Pooran,BA Stokes,CP Wood,6,0,,,,,,"",""
ball,1,2.5,Northern Superchargers,N Pooran,BA Stokes,CP Wood,0,0,,,,,,"",""
ball,1,3.1,Northern Superchargers,N Pooran,BA Stokes,AF Milne,4,0,,,,,,"",""
ball,1,3.2,Northern Superchargers,N Pooran,BA Stokes,AF Milne,0,0,,,,,,"",""
ball,1,3.3,Northern Superchargers,N Pooran,BA Stokes,AF Milne,0,0,,,,,,caught,N Pooran
ball,1,3.4,Northern Superchargers,HC Brook,BA Stokes,AF Milne,4,0,,,,,,"",""
ball,1,3.5,Northern Superchargers,HC Brook,BA Stokes,AF Milne,0,0,,,,,,"",""
ball,1,4.1,Northern Superchargers,BA Stokes,HC Brook,TG Southee,0,0,,,,,,bowled,BA Stokes
ball,1,4.2,Northern Superchargers,AJ Hose,HC Brook,TG Southee,1,0,,,,,,"",""
ball,1,4.3,Northern Superchargers,HC Brook,AJ Hose,TG Southee,1,0,,,,,,"",""
ball,1,4.4,Northern Superchargers,AJ Hose,HC Brook,TG Southee,1,0,,,,,,"",""
ball,1,4.5,Northern Superchargers,HC Brook,AJ Hose,TG Southee,1,0,,,,,,"",""
