version,1.7.0
info,balls_per_over,5
info,team,Oval Invincibles
info,team,Southern Brave
info,gender,male
info,season,2023
info,date,2023/08/19
info,event,The Hundred Men's Competition
info,match_number,26
info,venue,"The Rose Bowl, Southampton"
info,city,Southampton
info,toss_winner,Oval Invincibles
info,toss_decision,bat
info,player_of_match,TK Curran
info,umpire,MJ Saggers
info,umpire,NL Bainton
info,reserve_umpire,AC Harris
info,tv_umpire,M Burns
info,match_referee,DA Cosker
info,winner,Oval Invincibles
info,winner_runs,8
info,player,Oval Invincibles,JJ Roy
info,player,Oval Invincibles,WG Jacks
info,player,Oval Invincibles,TS Muyeye
info,player,Oval Invincibles,H Klaasen
info,player,Oval Invincibles,SM Curran
info,player,Oval Invincibles,SW Billings
info,player,Oval Invincibles,TK Curran
info,player,Oval Invincibles,RA Whiteley
info,player,Oval Invincibles,NA Sowter
info,player,Oval Invincibles,A Zampa
info,player,Oval Invincibles,SH Johnson
info,player,Southern Brave,FH Allen
info,player,Southern Brave,DP Conway
info,player,Southern Brave,JM Vince
info,player,Southern Brave,JL du Plooy
info,player,Southern Brave,CN Ackermann
info,player,Southern Brave,TH David
info,player,Southern Brave,CJ Jordan
info,player,Southern Brave,GHS Garton
info,player,Southern Brave,Rehan Ahmed
info,player,Southern Brave,C Overton
info,player,Southern Brave,TS Mills
info,registry,people,A Zampa,14f96089
info,registry,people,AC Harris,ef14c0ec
info,registry,people,C Overton,e9987a94
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,CN Ackermann,e734d090
info,registry,people,DA Cosker,aac9f784
info,registry,people,DP Conway,df5a6881
info,registry,people,FH Allen,bf74b130
info,registry,people,GHS Garton,be869ccf
info,registry,people,H Klaasen,235c2bb6
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,JL du Plooy,6e6fb538
info,registry,people,JM Vince,a15618fe
info,registry,people,M Burns,b3bd0666
info,registry,people,MJ Saggers,402d5937
info,registry,people,NA Sowter,ee0c05c0
info,registry,people,NL Bainton,cd219cb3
info,registry,people,RA Whiteley,d346d939
info,registry,people,Rehan Ahmed,0ecb4de6
info,registry,people,SH Johnson,83c3e8e3
info,registry,people,SM Curran,e94915e6
info,registry,people,SW Billings,c16d4035
info,registry,people,TH David,f1f99156
info,registry,people,TK Curran,e86754b2
info,registry,people,TS Mills,245c97cb
info,registry,people,TS Muyeye,10b79140
info,registry,people,WG Jacks,9caf69a1
ball,1,0.1,Oval Invincibles,JJ Roy,WG Jacks,GHS Garton,4,0,,,,,,"",""
ball,1,0.2,Oval Invincibles,JJ Roy,WG Jacks,GHS Garton,0,0,,,,,,"",""
ball,1,0.3,Oval Invincibles,JJ Roy,WG Jacks,GHS Garton,1,0,,,,,,"",""
ball,1,0.4,Oval Invincibles,WG Jacks,JJ Roy,GHS Garton,0,0,,,,,,"",""
ball,1,0.5,Oval Invincibles,WG Jacks,JJ Roy,GHS Garton,0,0,,,,,,"",""
ball,1,1.1,Oval Invincibles,WG Jacks,JJ Roy,C Overton,1,0,,,,,,"",""
ball,1,1.2,Oval Invincibles,JJ Roy,WG Jacks,C Overton,1,0,,,,,,"",""
ball,1,1.3,Oval Invincibles,WG Jacks,JJ Roy,C Overton,1,0,,,,,,"",""
ball,1,1.4,Oval Invincibles,JJ Roy,WG Jacks,C Overton,0,0,,,,,,"",""
ball,1,1.5,Oval Invincibles,JJ Roy,WG Jacks,C Overton,4,0,,,,,,"",""
ball,1,2.1,Oval Invincibles,WG Jacks,JJ Roy,GHS Garton,0,0,,,,,,"",""
ball,1,2.2,Oval Invincibles,WG Jacks,JJ Roy,GHS Garton,6,0,,,,,,"",""
ball,1,2.3,Oval Invincibles,WG Jacks,JJ Roy,GHS Garton,1,0,,,,,,"",""
ball,1,2.4,Oval Invincibles,JJ Roy,WG Jacks,GHS Garton,1,0,,,,,,"",""
ball,1,2.5,Oval Invincibles,WG Jacks,JJ Roy,GHS Garton,4,0,,,,,,"",""
ball,1,3.1,Oval Invincibles,WG Jacks,JJ Roy,C Overton,0,0,,,,,,lbw,WG Jacks
ball,1,3.2,Oval Invincibles,TS Muyeye,JJ Roy,C Overton,0,0,,,,,,"",""
ball,1,3.3,Oval Invincibles,TS Muyeye,JJ Roy,C Overton,0,0,,,,,,"",""
ball,1,3.4,Oval Invincibles,TS Muyeye,JJ Roy,C Overton,1,0,,,,,,"",""
ball,1,3.5,Oval Invincibles,JJ Roy,TS Muyeye,C Overton,1,0,,,,,,"",""
ball,1,4.1,Oval Invincibles,JJ Roy,TS Muyeye,C Overton,0,0,,,,,,"",""
ball,1,4.2,Oval Invincibles,JJ Roy,TS Muyeye,C Overton,4,0,,,,,,"",""
ball,1,4.3,Oval Invincibles,JJ Roy,TS Muyeye,C Overton,4,0,,,,,,"",""
