version,1.7.0
info,balls_per_over,5
info,team,Southern Brave
info,team,Welsh Fire
info,gender,male
info,season,2024
info,date,2024/08/05
info,event,The Hundred Men's Competition
info,match_number,17
info,venue,"Sophia Gardens, Cardiff"
info,city,Cardiff
info,toss_winner,Welsh Fire
info,toss_decision,field
info,player_of_match,JM Vince
info,umpire,M Burns
info,umpire,RJ Warren
info,reserve_umpire,Tom Lungley
info,tv_umpire,PK Baldwin
info,match_referee,JJ Whitaker
info,winner,Southern Brave
info,winner_runs,42
info,player,Southern Brave,AL Davies
info,player,Southern Brave,JM Vince
info,player,Southern Brave,JL du Plooy
info,player,Southern Brave,LJ Evans
info,player,Southern Brave,KA Pollard
info,player,Southern Brave,CJ Jordan
info,player,Southern Brave,JM Coles
info,player,Southern Brave,C Overton
info,player,Southern Brave,AJ Hosein
info,player,Southern Brave,DR Briggs
info,player,Southern Brave,TS Mills
info,player,Welsh Fire,LWP Wells
info,player,Welsh Fire,JM Bairstow
info,player,Welsh Fire,JM Clarke
info,player,Welsh Fire,TB Abell
info,player,Welsh Fire,T Kohler-Cadmore
info,player,Welsh Fire,GD Phillips
info,player,Welsh Fire,DJ Willey
info,player,Welsh Fire,DA Payne
info,player,Welsh Fire,MJ Henry
info,player,Welsh Fire,MS Crane
info,player,Welsh Fire,Haris Rauf
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AL Davies,29ede60b
info,registry,people,C Overton,e9987a94
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,DA Payne,6c79c098
info,registry,people,DJ Willey,7f048519
info,registry,people,DR Briggs,f3abd0c9
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,JJ Whitaker,4ea85016
info,registry,people,JL du Plooy,6e6fb538
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JM Clarke,2eca67f5
info,registry,people,JM Coles,9c643d7b
info,registry,people,JM Vince,a15618fe
info,registry,people,KA Pollard,a757b0d8
info,registry,people,LJ Evans,1c513d54
info,registry,people,LWP Wells,1957c6b7
info,registry,people,M Burns,b3bd0666
info,registry,people,MJ Henry,e84ac20c
info,registry,people,MS Crane,f0a0204e
info,registry,people,PK Baldwin,6bb53c12
info,registry,people,RJ Warren,9d1c62d7
info,registry,people,T Kohler-Cadmore,f836b33d
info,registry,people,TB Abell,ba9258a7
info,registry,people,TS Mills,245c97cb
info,registry,people,Tom Lungley,75169b8c
ball,1,0.1,Southern Brave,AL Davies,JM Vince,DJ Willey,0,0,,,,,,"",""
ball,1,0.2,Southern Brave,AL Davies,JM Vince,DJ Willey,0,0,,,,,,"",""
ball,1,0.3,Southern Brave,AL Davies,JM Vince,DJ Willey,1,0,,,,,,"",""
ball,1,0.4,Southern Brave,JM Vince,AL Davies,DJ Willey,0,0,,,,,,"",""
ball,1,0.5,Southern Brave,JM Vince,AL Davies,DJ Willey,0,0,,,,,,"",""
ball,1,1.1,Southern Brave,JM Vince,AL Davies,MJ Henry,0,0,,,,,,"",""
ball,1,1.2,Southern Brave,JM Vince,AL Davies,MJ Henry,2,0,,,,,,"",""
ball,1,1.3,Southern Brave,JM Vince,AL Davies,MJ Henry,0,0,,,,,,"",""
ball,1,1.4,Southern Brave,JM Vince,AL Davies,MJ Henry,1,0,,,,,,"",""
ball,1,1.5,Southern Brave,AL Davies,JM Vince,MJ Henry,4,0,,,,,,"",""
ball,1,2.1,Southern Brave,JM Vince,AL Davies,DJ Willey,0,0,,,,,,"",""
ball,1,2.2,Southern Brave,JM Vince,AL Davies,DJ Willey,4,0,,,,,,"",""
ball,1,2.3,Southern Brave,JM Vince,AL Davies,DJ Willey,2,0,,,,,,"",""
ball,1,2.4,Southern Brave,JM Vince,AL Davies,DJ Willey,1,0,,,,,,"",""
ball,1,2.5,Southern Brave,AL Davies,JM Vince,DJ Willey,1,0,,,,,,"",""
ball,1,3.1,Southern Brave,JM Vince,AL Davies,MJ Henry,0,0,,,,,,"",""
ball,1,3.2,Southern Brave,JM Vince,AL Davies,MJ Henry,4,0,,,,,,"",""
ball,1,3.3,Southern Brave,JM Vince,AL Davies,MJ Henry,0,0,,,,,,"",""
ball,1,3.4,Southern Brave,JM Vince,AL Davies,MJ Henry,2,0,,,,,,"",""
ball,1,3.5,Southern Brave,JM Vince,AL Davies,MJ Henry,4,0,,,,,,"",""
ball,1,4.1,Southern Brave,AL Davies,JM Vince,DA Payne,2,0,,,,,,"",""
ball,1,4.2,Southern Brave,AL Davies,JM Vince,DA Payne,4,0,,,,,,"",""
ball,1,4.3,Southern Brave,AL Davies,JM Vince,DA Payne,0,1,1,,,,,"",""
ball,1,4.4,Southern Brave,AL Davies,JM Vince,DA Payne,1,0,,,,,,"",""
ball,1,4.5,Southern Brave,JM Vince,AL Davies,DA Payne,0,0,,,,,,"",""
