version,1.7.0
info,balls_per_over,5
info,team,Birmingham Phoenix
info,team,Oval Invincibles
info,gender,male
info,season,2023
info,date,2023/08/13
info,event,The Hundred Men's Competition
info,match_number,19
info,venue,"Edgbaston, Birmingham"
info,city,Birmingham
info,toss_winner,Oval Invincibles
info,toss_decision,field
info,player_of_match,JL Smith
info,umpire,PR Pollard
info,umpire,RJ Warren
info,reserve_umpire,S Redfern
info,tv_umpire,GD Lloyd
info,match_referee,PM Such
info,winner,Birmingham Phoenix
info,winner_runs,41
info,player,Birmingham Phoenix,WCF Smeed
info,player,Birmingham Phoenix,BM Duckett
info,player,Birmingham Phoenix,JL Smith
info,player,Birmingham Phoenix,LS Livingstone
info,player,Birmingham Phoenix,MM Ali
info,player,Birmingham Phoenix,DR Mousley
info,player,Birmingham Phoenix,CG Benjamin
info,player,Birmingham Phoenix,BAC Howell
info,player,Birmingham Phoenix,CR Woakes
info,player,Birmingham Phoenix,AF Milne
info,player,Birmingham Phoenix,KW Richardson
info,player,Oval Invincibles,JJ Roy
info,player,Oval Invincibles,WG Jacks
info,player,Oval Invincibles,JM Cox
info,player,Oval Invincibles,H Klaasen
info,player,Oval Invincibles,SM Curran
info,player,Oval Invincibles,SW Billings
info,player,Oval Invincibles,RA Whiteley
info,player,Oval Invincibles,SP Narine
info,player,Oval Invincibles,ZJ Chappell
info,player,Oval Invincibles,NA Sowter
info,player,Oval Invincibles,SH Johnson
info,registry,people,AF Milne,350bb1b1
info,registry,people,BAC Howell,0bec3a6c
info,registry,people,BM Duckett,5f26f677
info,registry,people,CG Benjamin,95a15317
info,registry,people,CR Woakes,4c5d73db
info,registry,people,DR Mousley,876dbe2d
info,registry,people,GD Lloyd,36e0770d
info,registry,people,H Klaasen,235c2bb6
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,JL Smith,c834c290
info,registry,people,JM Cox,ff154ecd
info,registry,people,KW Richardson,dfc4d8b5
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MM Ali,bb351c23
info,registry,people,NA Sowter,ee0c05c0
info,registry,people,PM Such,c9f1892c
info,registry,people,PR Pollard,85d884bb
info,registry,people,RA Whiteley,d346d939
info,registry,people,RJ Warren,9d1c62d7
info,registry,people,S Redfern,5b038989
info,registry,people,SH Johnson,83c3e8e3
info,registry,people,SM Curran,e94915e6
info,registry,people,SP Narine,9d430b40
info,registry,people,SW Billings,c16d4035
info,registry,people,WCF Smeed,4e18e961
info,registry,people,WG Jacks,9caf69a1
info,registry,people,ZJ Chappell,fe5b4367
ball,1,0.1,Birmingham Phoenix,WCF Smeed,BM Duckett,SH Johnson,1,0,,,,,,"",""
ball,1,0.2,Birmingham Phoenix,BM Duckett,WCF Smeed,SH Johnson,0,0,,,,,,"",""
ball,1,0.3,Birmingham Phoenix,BM Duckett,WCF Smeed,SH Johnson,0,1,1,,,,,"",""
ball,1,0.4,Birmingham Phoenix,BM Duckett,WCF Smeed,SH Johnson,0,0,,,,,,"",""
ball,1,0.5,Birmingham Phoenix,BM Duckett,WCF Smeed,SH Johnson,0,1,,,,1,,"",""
ball,1,0.6,Birmingham Phoenix,WCF Smeed,BM Duckett,SH Johnson,0,1,1,,,,,"",""
ball,1,0.7,Birmingham Phoenix,WCF Smeed,BM Duckett,SH Johnson,1,0,,,,,,"",""
ball,1,1.1,Birmingham Phoenix,BM Duckett,WCF Smeed,SM Curran,4,0,,,,,,"",""
ball,1,1.2,Birmingham Phoenix,BM Duckett,WCF Smeed,SM Curran,0,0,,,,,,"",""
ball,1,1.3,Birmingham Phoenix,BM Duckett,WCF Smeed,SM Curran,4,0,,,,,,"",""
ball,1,1.4,Birmingham Phoenix,BM Duckett,WCF Smeed,SM Curran,1,0,,,,,,"",""
ball,1,1.5,Birmingham Phoenix,WCF Smeed,BM Duckett,SM Curran,0,0,,,,,,"",""
ball,1,2.1,Birmingham Phoenix,BM Duckett,WCF Smeed,ZJ Chappell,4,0,,,,,,"",""
ball,1,2.2,Birmingham Phoenix,BM Duckett,WCF Smeed,ZJ Chappell,4,0,,,,,,"",""
ball,1,2.3,Birmingham Phoenix,BM Duckett,WCF Smeed,ZJ Chappell,1,0,,,,,,"",""
ball,1,2.4,Birmingham Phoenix,WCF Smeed,BM Duckett,ZJ Chappell,4,0,,,,,,"",""
ball,1,2.5,Birmingham Phoenix,WCF Smeed,BM Duckett,ZJ Chappell,0,0,,,,,,caught,WCF Smeed
ball,1,3.1,Birmingham Phoenix,JL Smith,BM Duckett,SH Johnson,1,0,,,,,,"",""
ball,1,3.2,Birmingham Phoenix,BM Duckett,JL Smith,SH Johnson,1,0,,,,,,"",""
ball,1,3.3,Birmingham Phoenix,JL Smith,BM Duckett,SH Johnson,1,0,,,,,,"",""
ball,1,3.4,Birmingham Phoenix,BM Duckett,JL Smith,SH Johnson,4,0,,,,,,"",""
ball,1,3.5,Birmingham Phoenix,BM Duckett,JL Smith,SH Johnson,0,0,,,,,,"",""
ball,1,4.1,Birmingham Phoenix,JL Smith,BM Duckett,NA Sowter,1,0,,,,,,"",""
