version,1.7.0
info,balls_per_over,5
info,team,London Spirit
info,team,Southern Brave
info,gender,male
info,season,2024
info,date,2024/07/24
info,event,The Hundred Men's Competition
info,match_number,2
info,venue,"The Rose Bowl, Southampton"
info,city,Southampton
info,toss_winner,London Spirit
info,toss_decision,bat
info,player_of_match,C Overton
info,umpire,BJ Debenham
info,umpire,GD Lloyd
info,reserve_umpire,ID Blackwell
info,tv_umpire,S Redfern
info,match_referee,SJ Davis
info,winner,Southern Brave
info,winner_wickets,7
info,player,London Spirit,DJ Bell-Drummond
info,player,London Spirit,AM Rossington
info,player,London Spirit,MS Pepper
info,player,London Spirit,DW Lawrence
info,player,London Spirit,RS Bopara
info,player,London Spirit,SO Hetmyer
info,player,London Spirit,AD Russell
info,player,London Spirit,LA Dawson
info,player,London Spirit,NT Ellis
info,player,London Spirit,OP Stone
info,player,London Spirit,DJ Worrall
info,player,Southern Brave,DP Hughes
info,player,Southern Brave,JM Vince
info,player,Southern Brave,JL du Plooy
info,player,Southern Brave,AL Davies
info,player,Southern Brave,LJ Evans
info,player,Southern Brave,JM Coles
info,player,Southern Brave,CJ Jordan
info,player,Southern Brave,JC Archer
info,player,Southern Brave,Rehan Ahmed
info,player,Southern Brave,C Overton
info,player,Southern Brave,TS Mills
info,registry,people,AD Russell,bbd41817
info,registry,people,AL Davies,29ede60b
info,registry,people,AM Rossington,7bcde3fe
info,registry,people,BJ Debenham,524a3a82
info,registry,people,C Overton,e9987a94
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,DJ Bell-Drummond,8f938a32
info,registry,people,DJ Worrall,208f22ea
info,registry,people,DP Hughes,f3982af9
info,registry,people,DW Lawrence,4b685e2d
info,registry,people,GD Lloyd,36e0770d
info,registry,people,ID Blackwell,818e8bf2
info,registry,people,JC Archer,5574750c
info,registry,people,JL du Plooy,6e6fb538
info,registry,people,JM Coles,9c643d7b
info,registry,people,JM Vince,a15618fe
info,registry,people,LA Dawson,4a461c24
info,registry,people,LJ Evans,1c513d54
info,registry,people,MS Pepper,270e4c23
info,registry,people,NT Ellis,9eb1455b
info,registry,people,OP Stone,3f659464
info,registry,people,RS Bopara,7ca5e05d
info,registry,people,Rehan Ahmed,0ecb4de6
info,registry,people,S Redfern,5b038989
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,TS Mills,245c97cb
ball,1,0.1,London Spirit,DJ Bell-Drummond,AM Rossington,JM Coles,0,1,,,,1,,"",""
ball,1,0.2,London Spirit,AM Rossington,DJ Bell-Drummond,JM Coles,1,0,,,,,,"",""
ball,1,0.3,London Spirit,DJ Bell-Drummond,AM Rossington,JM Coles,0,0,,,,,,"",""
ball,1,0.4,London Spirit,DJ Bell-Drummond,AM Rossington,JM Coles,1,0,,,,,,"",""
ball,1,0.5,London Spirit,AM Rossington,DJ Bell-Drummond,JM Coles,0,0,,,,,,caught,AM Rossington
ball,1,1.1,London Spirit,MS Pepper,DJ Bell-Drummond,C Overton,1,0,,,,,,"",""
ball,1,1.2,London Spirit,DJ Bell-Drummond,MS Pepper,C Overton,0,1,,,,1,,"",""
ball,1,1.3,London Spirit,MS Pepper,DJ Bell-Drummond,C Overton,1,0,,,,,,"",""
ball,1,1.4,London Spirit,DJ Bell-Drummond,MS Pepper,C Overton,1,0,,,,,,"",""
ball,1,1.5,London Spirit,MS Pepper,DJ Bell-Drummond,C Overton,2,0,,,,,,"",""
ball,1,2.1,London Spirit,DJ Bell-Drummond,MS Pepper,JC Archer,1,0,,,,,,"",""
ball,1,2.2,London Spirit,MS Pepper,DJ Bell-Drummond,JC Archer,0,0,,,,,,"",""
ball,1,2.3,London Spirit,MS Pepper,DJ Bell-Drummond,JC Archer,1,0,,,,,,"",""
ball,1,2.4,London Spirit,DJ Bell-Drummond,MS Pepper,JC Archer,1,0,,,,,,"",""
ball,1,2.5,London Spirit,MS Pepper,DJ Bell-Drummond,JC Archer,4,0,,,,,,"",""
ball,1,3.1,London Spirit,MS Pepper,DJ Bell-Drummond,C Overton,1,0,,,,,,"",""
ball,1,3.2,London Spirit,DJ Bell-Drummond,MS Pepper,C Overton,0,0,,,,,,caught,DJ Bell-Drummond
ball,1,3.3,London Spirit,DW Lawrence,MS Pepper,C Overton,2,0,,,,,,"",""
ball,1,3.4,London Spirit,DW Lawrence,MS Pepper,C Overton,1,0,,,,,,"",""
ball,1,3.5,London Spirit,MS Pepper,DW Lawrence,C Overton,1,0,,,,,,"",""
ball,1,4.1,London Spirit,MS Pepper,DW Lawrence,JC Archer,1,0,,,,,,"",""
ball,1,4.2,London Spirit,DW Lawrence,MS Pepper,JC Archer,0,0,,,,,,"",""
ball,1,4.3,London Spirit,DW Lawrence,MS Pepper,JC Archer,0,0,,,,,,"",""
