version,1.7.0
info,balls_per_over,5
info,team,London Spirit
info,team,Birmingham Phoenix
info,gender,male
info,season,2024
info,date,2024/07/27
info,event,The Hundred Men's Competition
info,match_number,5
info,venue,"Lord's, London"
info,city,London
info,toss_winner,Birmingham Phoenix
info,toss_decision,field
info,player_of_match,SA Abbott
info,umpire,BJ Debenham
info,umpire,Rob White
info,reserve_umpire,JD Shantry
info,tv_umpire,AY Harris
info,match_referee,AM Smith
info,winner,Birmingham Phoenix
info,winner_wickets,3
info,player,London Spirit,DJ Bell-Drummond
info,player,London Spirit,AM Rossington
info,player,London Spirit,MS Pepper
info,player,London Spirit,DW Lawrence
info,player,London Spirit,SO Hetmyer
info,player,London Spirit,RF Higgins
info,player,London Spirit,LA Dawson
info,player,London Spirit,AD Russell
info,player,London Spirit,NT Ellis
info,player,London Spirit,OP Stone
info,player,London Spirit,DJ Worrall
info,player,Birmingham Phoenix,RK Patel
info,player,Birmingham Phoenix,AHT Donald
info,player,Birmingham Phoenix,LS Livingstone
info,player,Birmingham Phoenix,DR Mousley
info,player,Birmingham Phoenix,MM Ali
info,player,Birmingham Phoenix,JG Bethell
info,player,Birmingham Phoenix,BAC Howell
info,player,Birmingham Phoenix,JK Fuller
info,player,Birmingham Phoenix,SA Abbott
info,player,Birmingham Phoenix,AF Milne
info,player,Birmingham Phoenix,TG Southee
info,registry,people,AD Russell,bbd41817
info,registry,people,AF Milne,350bb1b1
info,registry,people,AHT Donald,72918338
info,registry,people,AM Rossington,7bcde3fe
info,registry,people,AM Smith,a0bc360f
info,registry,people,AY Harris,90d95b82
info,registry,people,BAC Howell,0bec3a6c
info,registry,people,BJ Debenham,524a3a82
info,registry,people,DJ Bell-Drummond,8f938a32
info,registry,people,DJ Worrall,208f22ea
info,registry,people,DR Mousley,876dbe2d
info,registry,people,DW Lawrence,4b685e2d
info,registry,people,JD Shantry,70fdd428
info,registry,people,JG Bethell,3c55c703
info,registry,people,JK Fuller,dda5aae5
info,registry,people,LA Dawson,4a461c24
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MM Ali,bb351c23
info,registry,people,MS Pepper,270e4c23
info,registry,people,NT Ellis,9eb1455b
info,registry,people,OP Stone,3f659464
info,registry,people,RF Higgins,ad212f96
info,registry,people,RK Patel,4531f249
info,registry,people,Rob White,59b91222
info,registry,people,SA Abbott,1a2676c5
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,TG Southee,13c35c9e
ball,1,0.1,London Spirit,DJ Bell-Drummond,AM Rossington,AF Milne,0,0,,,,,,"",""
ball,1,0.2,London Spirit,DJ Bell-Drummond,AM Rossington,AF Milne,2,0,,,,,,"",""
ball,1,0.3,London Spirit,DJ Bell-Drummond,AM Rossington,AF Milne,0,0,,,,,,"",""
ball,1,0.4,London Spirit,DJ Bell-Drummond,AM Rossington,AF Milne,0,0,,,,,,"",""
ball,1,0.5,London Spirit,DJ Bell-Drummond,AM Rossington,AF Milne,4,0,,,,,,"",""
ball,1,1.1,London Spirit,DJ Bell-Drummond,AM Rossington,TG Southee,0,0,,,,,,lbw,DJ Bell-Drummond
ball,1,1.2,London Spirit,MS Pepper,AM Rossington,TG Southee,2,0,,,,,,"",""
ball,1,1.3,London Spirit,MS Pepper,AM Rossington,TG Southee,1,0,,,,,,"",""
ball,1,1.4,London Spirit,AM Rossington,MS Pepper,TG Southee,0,0,,,,,,"",""
ball,1,1.5,London Spirit,AM Rossington,MS Pepper,TG Southee,0,0,,,,,,"",""
ball,1,2.1,London Spirit,MS Pepper,AM Rossington,AF Milne,0,0,,,,,,"",""
ball,1,2.2,London Spirit,MS Pepper,AM Rossington,AF Milne,0,2,2,,,,,"",""
ball,1,2.3,London Spirit,AM Rossington,MS Pepper,AF Milne,1,0,,,,,,"",""
ball,1,2.4,London Spirit,MS Pepper,AM Rossington,AF Milne,1,0,,,,,,"",""
ball,1,2.5,London Spirit,AM Rossington,MS Pepper,AF Milne,0,2,2,,,,,"",""
ball,1,2.6,London Spirit,MS Pepper,AM Rossington,AF Milne,4,0,,,,,,"",""
ball,1,2.7,London Spirit,MS Pepper,AM Rossington,AF Milne,4,0,,,,,,"",""
ball,1,3.1,London Spirit,MS Pepper,AM Rossington,TG Southee,0,0,,,,,,"",""
ball,1,3.2,London Spirit,MS Pepper,AM Rossington,TG Southee,0,0,,,,,,"",""
ball,1,3.3,London Spirit,MS Pepper,AM Rossington,TG Southee,4,0,,,,,,"",""
ball,1,3.4,London Spirit,MS Pepper,AM Rossington,TG Southee,0,0,,,,,,"",""
ball,1,3.5,London Spirit,MS Pepper,AM Rossington,TG Southee,0,1,,,,1,,"",""
ball,1,4.1,London Spirit,MS Pepper,AM Rossington,SA Abbott,0,0,,,,,,caught,MS Pepper
ball,1,4.2,London Spirit,DW Lawrence,AM Rossington,SA Abbott,1,0,,,,,,"",""
