version,1.7.0
info,balls_per_over,5
info,team,Manchester Originals
info,team,Northern Superchargers
info,gender,male
info,season,2023
info,date,2023/08/13
info,event,The Hundred Men's Competition
info,match_number,18
info,venue,"Headingley, Leeds"
info,city,Leeds
info,toss_winner,Manchester Originals
info,toss_decision,bat
info,player_of_match,J Overton
info,umpire,DJ Millns
info,umpire,Tom Lungley
info,reserve_umpire,S Widdup
info,tv_umpire,SJ O'Shaughnessy
info,match_referee,AM Smith (2)
info,winner,Manchester Originals
info,winner_runs,40
info,method,D/L
info,player,Manchester Originals,PD Salt
info,player,Manchester Originals,JC Buttler
info,player,Manchester Originals,LJ Evans
info,player,Manchester Originals,PI Walter
info,player,Manchester Originals,AJ Turner
info,player,Manchester Originals,J Overton
info,player,Manchester Originals,Usama Mir
info,player,Manchester Originals,TW Hartley
info,player,Manchester Originals,BA Raine
info,player,Manchester Originals,J Little
info,player,Manchester Originals,JC Tongue
info,player,Northern Superchargers,T Banton
info,player,Northern Superchargers,MW Short
info,player,Northern Superchargers,HC Brook
info,player,Northern Superchargers,AJ Hose
info,player,Northern Superchargers,SA Zaib
info,player,Northern Superchargers,D Wiese
info,player,Northern Superchargers,BA Carse
info,player,Northern Superchargers,WD Parnell
info,player,Northern Superchargers,AU Rashid
info,player,Northern Superchargers,CF Parkinson
info,player,Northern Superchargers,RJW Topley
info,registry,people,AJ Hose,104e88a4
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,AM Smith,a0bc360f
info,registry,people,AU Rashid,249d60c9
info,registry,people,BA Carse,cad40f5e
info,registry,people,BA Raine,4c0f3806
info,registry,people,CF Parkinson,aa1210d8
info,registry,people,D Wiese,aa8d28ae
info,registry,people,DJ Millns,46ecfe40
info,registry,people,HC Brook,4ae1755b
info,registry,people,J Little,9061a703
info,registry,people,J Overton,59559bc2
info,registry,people,JC Buttler,99b75528
info,registry,people,JC Tongue,1f1b4c89
info,registry,people,LJ Evans,1c513d54
info,registry,people,MW Short,a90e53ec
info,registry,people,PD Salt,3d284ca3
info,registry,people,PI Walter,57590dbb
info,registry,people,RJW Topley,8db7f47f
info,registry,people,S Widdup,65bf2837
info,registry,people,SA Zaib,ab01e323
info,registry,people,SJ O'Shaughnessy,4d4fdf4a
info,registry,people,T Banton,25f7b7d6
info,registry,people,TW Hartley,22b98d7c
info,registry,people,Tom Lungley,75169b8c
info,registry,people,Usama Mir,6dd8b88c
info,registry,people,WD Parnell,3a60e0b5
ball,1,0.1,Manchester Originals,PD Salt,JC Buttler,RJW Topley,0,0,,,,,,"",""
ball,1,0.2,Manchester Originals,PD Salt,JC Buttler,RJW Topley,4,0,,,,,,"",""
ball,1,0.3,Manchester Originals,PD Salt,JC Buttler,RJW Topley,0,0,,,,,,caught,PD Salt
ball,1,0.4,Manchester Originals,LJ Evans,JC Buttler,RJW Topley,0,0,,,,,,"",""
ball,1,0.5,Manchester Originals,LJ Evans,JC Buttler,RJW Topley,0,0,,,,,,"",""
ball,1,1.1,Manchester Originals,LJ Evans,JC Buttler,RJW Topley,0,1,1,,,,,"",""
ball,1,1.2,Manchester Originals,LJ Evans,JC Buttler,RJW Topley,0,1,,,,1,,"",""
ball,1,1.3,Manchester Originals,JC Buttler,LJ Evans,RJW Topley,2,0,,,,,,"",""
ball,1,1.4,Manchester Originals,JC Buttler,LJ Evans,RJW Topley,0,0,,,,,,caught,JC Buttler
ball,1,1.5,Manchester Originals,PI Walter,LJ Evans,RJW Topley,0,0,,,,,,"",""
ball,1,1.6,Manchester Originals,PI Walter,LJ Evans,RJW Topley,0,0,,,,,,"",""
ball,1,2.1,Manchester Originals,LJ Evans,PI Walter,BA Carse,1,0,,,,,,"",""
ball,1,2.2,Manchester Originals,PI Walter,LJ Evans,BA Carse,0,0,,,,,,"",""
ball,1,2.3,Manchester Originals,PI Walter,LJ Evans,BA Carse,0,0,,,,,,"",""
ball,1,2.4,Manchester Originals,PI Walter,LJ Evans,BA Carse,4,0,,,,,,"",""
ball,1,2.5,Manchester Originals,PI Walter,LJ Evans,BA Carse,0,0,,,,,,"",""
ball,1,3.1,Manchester Originals,PI Walter,LJ Evans,WD Parnell,1,0,,,,,,"",""
ball,1,3.2,Manchester Originals,LJ Evans,PI Walter,WD Parnell,4,0,,,,,,"",""
ball,1,3.3,Manchester Originals,LJ Evans,PI Walter,WD Parnell,6,0,,,,,,"",""
ball,1,3.4,Manchester Originals,LJ Evans,PI Walter,WD Parnell,4,0,,,,,,"",""
ball,1,3.5,Manchester Originals,LJ Evans,PI Walter,WD Parnell,1,0,,,,,,"",""
ball,1,4.1,Manchester Originals,LJ Evans,PI Walter,BA Carse,6,0,,,,,,"",""
ball,1,4.2,Manchester Originals,LJ Evans,PI Walter,BA Carse,0,0,,,,,,"",""
ball,1,4.3,Manchester Originals,LJ Evans,PI Walter,BA Carse,0,0,,,,,,"",""
