version,1.7.0
info,balls_per_over,5
info,team,Southern Brave
info,team,Manchester Originals
info,gender,male
info,season,2023
info,date,2023/08/26
info,event,The Hundred Men's Competition
info,venue,"Kennington Oval, London"
info,city,London
info,toss_winner,Manchester Originals
info,toss_decision,field
info,player_of_match,JC Buttler
info,umpire,MJ Saggers
info,umpire,RJ Warren
info,reserve_umpire,Mark Newell
info,tv_umpire,NJ Llong
info,match_referee,PM Such
info,winner,Manchester Originals
info,winner_wickets,7
info,player,Southern Brave,FH Allen
info,player,Southern Brave,DP Conway
info,player,Southern Brave,JM Vince
info,player,Southern Brave,JL du Plooy
info,player,Southern Brave,CN Ackermann
info,player,Southern Brave,MJ Santner
info,player,Southern Brave,GHS Garton
info,player,Southern Brave,CJ Jordan
info,player,Southern Brave,Rehan Ahmed
info,player,Southern Brave,C Overton
info,player,Southern Brave,TS Mills
info,player,Manchester Originals,PD Salt
info,player,Manchester Originals,JC Buttler
info,player,Manchester Originals,MDE Holden
info,player,Manchester Originals,LJ Evans
info,player,Manchester Originals,J Overton
info,player,Manchester Originals,WL Madsen
info,player,Manchester Originals,PI Walter
info,player,Manchester Originals,CG Harrison
info,player,Manchester Originals,J Little
info,player,Manchester Originals,Zaman Khan
info,player,Manchester Originals,RJ Gleeson
info,registry,people,C Overton,e9987a94
info,registry,people,CG Harrison,f655d740
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,CN Ackermann,e734d090
info,registry,people,DP Conway,df5a6881
info,registry,people,FH Allen,bf74b130
info,registry,people,GHS Garton,be869ccf
info,registry,people,J Little,9061a703
info,registry,people,J Overton,59559bc2
info,registry,people,JC Buttler,99b75528
info,registry,people,JL du Plooy,6e6fb538
info,registry,people,JM Vince,a15618fe
info,registry,people,LJ Evans,1c513d54
info,registry,people,MDE Holden,d34a2268
info,registry,people,MJ Saggers,402d5937
info,registry,people,MJ Santner,e4a0deae
info,registry,people,Mark Newell,b33f0fa1
info,registry,people,NJ Llong,573fb985
info,registry,people,PD Salt,3d284ca3
info,registry,people,PI Walter,57590dbb
info,registry,people,PM Such,c9f1892c
info,registry,people,RJ Gleeson,402f8494
info,registry,people,RJ Warren,9d1c62d7
info,registry,people,Rehan Ahmed,0ecb4de6
info,registry,people,TS Mills,245c97cb
info,registry,people,WL Madsen,86e0f3f0
info,registry,people,Zaman Khan,28392e11
ball,1,0.1,Southern Brave,FH Allen,DP Conway,RJ Gleeson,0,0,,,,,,"",""
ball,1,0.2,Southern Brave,FH Allen,DP Conway,RJ Gleeson,0,0,,,,,,"",""
ball,1,0.3,Southern Brave,FH Allen,DP Conway,RJ Gleeson,4,0,,,,,,"",""
ball,1,0.4,Southern Brave,FH Allen,DP Conway,RJ Gleeson,0,0,,,,,,"",""
ball,1,0.5,Southern Brave,FH Allen,DP Conway,RJ Gleeson,0,0,,,,,,"",""
ball,1,1.1,Southern Brave,FH Allen,DP Conway,J Little,0,0,,,,,,"",""
ball,1,1.2,Southern Brave,FH Allen,DP Conway,J Little,6,0,,,,,,"",""
ball,1,1.3,Southern Brave,FH Allen,DP Conway,J Little,0,0,,,,,,"",""
ball,1,1.4,Southern Brave,FH Allen,DP Conway,J Little,1,0,,,,,,"",""
ball,1,1.5,Southern Brave,DP Conway,FH Allen,J Little,0,0,,,,,,"",""
ball,1,2.1,Southern Brave,FH Allen,DP Conway,RJ Gleeson,0,4,,,,4,,"",""
ball,1,2.2,Southern Brave,FH Allen,DP Conway,RJ Gleeson,0,0,,,,,,"",""
ball,1,2.3,Southern Brave,FH Allen,DP Conway,RJ Gleeson,0,0,,,,,,"",""
ball,1,2.4,Southern Brave,FH Allen,DP Conway,RJ Gleeson,0,1,1,,,,,"",""
ball,1,2.5,Southern Brave,FH Allen,DP Conway,RJ Gleeson,0,5,5,,,,,"",""
ball,1,2.6,Southern Brave,FH Allen,DP Conway,RJ Gleeson,3,0,,,,,,"",""
ball,1,2.7,Southern Brave,DP Conway,FH Allen,RJ Gleeson,0,0,,,,,,"",""
ball,1,3.1,Southern Brave,DP Conway,FH Allen,J Little,0,0,,,,,,"",""
ball,1,3.2,Southern Brave,DP Conway,FH Allen,J Little,4,0,,,,,,"",""
ball,1,3.3,Southern Brave,DP Conway,FH Allen,J Little,2,0,,,,,,"",""
ball,1,3.4,Southern Brave,DP Conway,FH Allen,J Little,0,0,,,,,,"",""
ball,1,3.5,Southern Brave,DP Conway,FH Allen,J Little,0,0,,,,,,"",""
ball,1,4.1,Southern Brave,FH Allen,DP Conway,Zaman Khan,0,0,,,,,,"",""
ball,1,4.2,Southern Brave,FH Allen,DP Conway,Zaman Khan,4,0,,,,,,"",""
