version,1.7.0
info,balls_per_over,5
info,team,Birmingham Phoenix
info,team,Welsh Fire
info,gender,male
info,season,2023
info,date,2023/08/10
info,event,The Hundred Men's Competition
info,match_number,14
info,venue,"Edgbaston, Birmingham"
info,city,Birmingham
info,toss_winner,Birmingham Phoenix
info,toss_decision,bat
info,player_of_match,SS Eskinazi
info,umpire,RJ Bailey
info,umpire,Rob White
info,reserve_umpire,BJ Debenham
info,tv_umpire,S Redfern
info,match_referee,PM Such
info,winner,Welsh Fire
info,winner_wickets,6
info,player,Birmingham Phoenix,WCF Smeed
info,player,Birmingham Phoenix,BM Duckett
info,player,Birmingham Phoenix,JL Smith
info,player,Birmingham Phoenix,MM Ali
info,player,Birmingham Phoenix,LS Livingstone
info,player,Birmingham Phoenix,DR Mousley
info,player,Birmingham Phoenix,Shadab Khan
info,player,Birmingham Phoenix,BAC Howell
info,player,Birmingham Phoenix,AF Milne
info,player,Birmingham Phoenix,TG Helm
info,player,Birmingham Phoenix,KW Richardson
info,player,Welsh Fire,SS Eskinazi
info,player,Welsh Fire,JM Clarke
info,player,Welsh Fire,LWP Wells
info,player,Welsh Fire,TB Abell
info,player,Welsh Fire,GD Phillips
info,player,Welsh Fire,DJ Willey
info,player,Welsh Fire,BGF Green
info,player,Welsh Fire,Shaheen Shah Afridi
info,player,Welsh Fire,RE van der Merwe
info,player,Welsh Fire,Haris Rauf
info,player,Welsh Fire,DA Payne
info,registry,people,AF Milne,350bb1b1
info,registry,people,BAC Howell,0bec3a6c
info,registry,people,BGF Green,34b37279
info,registry,people,BJ Debenham,524a3a82
info,registry,people,BM Duckett,5f26f677
info,registry,people,DA Payne,6c79c098
info,registry,people,DJ Willey,7f048519
info,registry,people,DR Mousley,876dbe2d
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,JL Smith,c834c290
info,registry,people,JM Clarke,2eca67f5
info,registry,people,KW Richardson,dfc4d8b5
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,LWP Wells,1957c6b7
info,registry,people,MM Ali,bb351c23
info,registry,people,PM Such,c9f1892c
info,registry,people,RE van der Merwe,05c2ca46
info,registry,people,RJ Bailey,6bd04fa5
info,registry,people,Rob White,59b91222
info,registry,people,S Redfern,5b038989
info,registry,people,SS Eskinazi,75cbed9b
info,registry,people,Shadab Khan,9de62878
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,TB Abell,ba9258a7
info,registry,people,TG Helm,74a274cc
info,registry,people,WCF Smeed,4e18e961
ball,1,0.1,Birmingham Phoenix,WCF Smeed,BM Duckett,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,0.2,Birmingham Phoenix,BM Duckett,WCF Smeed,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,0.3,Birmingham Phoenix,BM Duckett,WCF Smeed,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,0.4,Birmingham Phoenix,BM Duckett,WCF Smeed,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,0.5,Birmingham Phoenix,WCF Smeed,BM Duckett,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,1.1,Birmingham Phoenix,BM Duckett,WCF Smeed,DJ Willey,1,0,,,,,,"",""
ball,1,1.2,Birmingham Phoenix,WCF Smeed,BM Duckett,DJ Willey,1,0,,,,,,"",""
ball,1,1.3,Birmingham Phoenix,BM Duckett,WCF Smeed,DJ Willey,0,0,,,,,,"",""
ball,1,1.4,Birmingham Phoenix,BM Duckett,WCF Smeed,DJ Willey,0,1,,,,1,,"",""
ball,1,1.5,Birmingham Phoenix,WCF Smeed,BM Duckett,DJ Willey,0,0,,,,,,"",""
ball,1,2.1,Birmingham Phoenix,BM Duckett,WCF Smeed,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,2.2,Birmingham Phoenix,BM Duckett,WCF Smeed,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,2.3,Birmingham Phoenix,BM Duckett,WCF Smeed,Shaheen Shah Afridi,4,0,,,,,,"",""
ball,1,2.4,Birmingham Phoenix,BM Duckett,WCF Smeed,Shaheen Shah Afridi,4,0,,,,,,"",""
ball,1,2.5,Birmingham Phoenix,BM Duckett,WCF Smeed,Shaheen Shah Afridi,4,0,,,,,,"",""
ball,1,3.1,Birmingham Phoenix,BM Duckett,WCF Smeed,Haris Rauf,0,0,,,,,,"",""
ball,1,3.2,Birmingham Phoenix,BM Duckett,WCF Smeed,Haris Rauf,1,0,,,,,,"",""
ball,1,3.3,Birmingham Phoenix,WCF Smeed,BM Duckett,Haris Rauf,0,0,,,,,,"",""
ball,1,3.4,Birmingham Phoenix,WCF Smeed,BM Duckett,Haris Rauf,4,0,,,,,,"",""
ball,1,3.5,Birmingham Phoenix,WCF Smeed,BM Duckett,Haris Rauf,1,0,,,,,,"",""
ball,1,4.1,Birmingham Phoenix,WCF Smeed,BM Duckett,DA Payne,1,0,,,,,,"",""
ball,1,4.2,Birmingham Phoenix,BM Duckett,WCF Smeed,DA Payne,1,0,,,,,,"",""
