version,1.7.0
info,balls_per_over,5
info,team,Oval Invincibles
info,team,Manchester Originals
info,gender,male
info,season,2023
info,date,2023/08/27
info,event,The Hundred Men's Competition
info,venue,"Lord's, London"
info,city,London
info,toss_winner,Manchester Originals
info,toss_decision,field
info,player_of_match,TK Curran
info,umpire,AG Wharf
info,umpire,M Burns
info,reserve_umpire,BJ Debenham
info,tv_umpire,PK Baldwin
info,match_referee,Phil Whitticase
info,winner,Oval Invincibles
info,winner_runs,14
info,player,Oval Invincibles,JJ Roy
info,player,Oval Invincibles,WG Jacks
info,player,Oval Invincibles,PR Stirling
info,player,Oval Invincibles,SM Curran
info,player,Oval Invincibles,SW Billings
info,player,Oval Invincibles,JDS Neesham
info,player,Oval Invincibles,TK Curran
info,player,Oval Invincibles,RA Whiteley
info,player,Oval Invincibles,AAP Atkinson
info,player,Oval Invincibles,NA Sowter
info,player,Oval Invincibles,DR Briggs
info,player,Manchester Originals,PD Salt
info,player,Manchester Originals,JC Buttler
info,player,Manchester Originals,MDE Holden
info,player,Manchester Originals,WL Madsen
info,player,Manchester Originals,LJ Evans
info,player,Manchester Originals,PI Walter
info,player,Manchester Originals,J Overton
info,player,Manchester Originals,TW Hartley
info,player,Manchester Originals,J Little
info,player,Manchester Originals,Zaman Khan
info,player,Manchester Originals,RJ Gleeson
info,registry,people,AAP Atkinson,70d57519
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,BJ Debenham,524a3a82
info,registry,people,DR Briggs,f3abd0c9
info,registry,people,J Little,9061a703
info,registry,people,J Overton,59559bc2
info,registry,people,JC Buttler,99b75528
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,LJ Evans,1c513d54
info,registry,people,M Burns,b3bd0666
info,registry,people,MDE Holden,d34a2268
info,registry,people,NA Sowter,ee0c05c0
info,registry,people,PD Salt,3d284ca3
info,registry,people,PI Walter,57590dbb
info,registry,people,PK Baldwin,6bb53c12
info,registry,people,PR Stirling,cf494ffe
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,RA Whiteley,d346d939
info,registry,people,RJ Gleeson,402f8494
info,registry,people,SM Curran,e94915e6
info,registry,people,SW Billings,c16d4035
info,registry,people,TK Curran,e86754b2
info,registry,people,TW Hartley,22b98d7c
info,registry,people,WG Jacks,9caf69a1
info,registry,people,WL Madsen,86e0f3f0
info,registry,people,Zaman Khan,28392e11
ball,1,0.1,Oval Invincibles,JJ Roy,WG Jacks,RJ Gleeson,0,0,,,,,,"",""
ball,1,0.2,Oval Invincibles,JJ Roy,WG Jacks,RJ Gleeson,0,0,,,,,,"",""
ball,1,0.3,Oval Invincibles,JJ Roy,WG Jacks,RJ Gleeson,0,0,,,,,,caught,JJ Roy
ball,1,0.4,Oval Invincibles,PR Stirling,WG Jacks,RJ Gleeson,1,0,,,,,,"",""
ball,1,0.5,Oval Invincibles,WG Jacks,PR Stirling,RJ Gleeson,4,0,,,,,,"",""
ball,1,1.1,Oval Invincibles,WG Jacks,PR Stirling,J Little,0,0,,,,,,"",""
ball,1,1.2,Oval Invincibles,WG Jacks,PR Stirling,J Little,0,0,,,,,,"",""
ball,1,1.3,Oval Invincibles,WG Jacks,PR Stirling,J Little,0,0,,,,,,"",""
ball,1,1.4,Oval Invincibles,WG Jacks,PR Stirling,J Little,1,0,,,,,,"",""
ball,1,1.5,Oval Invincibles,PR Stirling,WG Jacks,J Little,0,0,,,,,,"",""
ball,1,2.1,Oval Invincibles,WG Jacks,PR Stirling,RJ Gleeson,4,0,,,,,,"",""
ball,1,2.2,Oval Invincibles,WG Jacks,PR Stirling,RJ Gleeson,1,0,,,,,,"",""
ball,1,2.3,Oval Invincibles,PR Stirling,WG Jacks,RJ Gleeson,4,0,,,,,,"",""
ball,1,2.4,Oval Invincibles,PR Stirling,WG Jacks,RJ Gleeson,0,0,,,,,,"",""
ball,1,2.5,Oval Invincibles,PR Stirling,WG Jacks,RJ Gleeson,0,0,,,,,,caught,PR Stirling
ball,1,3.1,Oval Invincibles,SM Curran,WG Jacks,J Little,0,0,,,,,,caught,SM Curran
ball,1,3.2,Oval Invincibles,SW Billings,WG Jacks,J Little,0,0,,,,,,"",""
ball,1,3.3,Oval Invincibles,SW Billings,WG Jacks,J Little,0,0,,,,,,"",""
ball,1,3.4,Oval Invincibles,SW Billings,WG Jacks,J Little,0,0,,,,,,"",""
ball,1,3.5,Oval Invincibles,SW Billings,WG Jacks,J Little,0,1,,,,1,,"",""
ball,1,4.1,Oval Invincibles,SW Billings,WG Jacks,J Little,1,0,,,,,,"",""
ball,1,4.2,Oval Invincibles,WG Jacks,SW Billings,J Little,0,0,,,,,,"",""
ball,1,4.3,Oval Invincibles,WG Jacks,SW Billings,J Little,1,0,,,,,,"",""
ball,1,4.4,Oval Invincibles,SW Billings,WG Jacks,J Little,4,0,,,,,,"",""
ball,1,4.5,Oval Invincibles,SW Billings,WG Jacks,J Little,0,0,,,,,,"",""
ball,1,5.1,Oval Invincibles,SW Billings,WG Jacks,PI Walter,0,0,,,,,,"",""
ball,1,5.2,Oval Invincibles,SW Billings,WG Jacks,PI Walter,1,0,,,,,,"",""
ball,1,5.3,Oval Invincibles,WG Jacks,SW Billings,PI Walter,1,0,,,,,,"",""
ball,1,5.4,Oval Invincibles,SW Billings,WG Jacks,PI Walter,4,0,,,,,,"",""
ball,1,5.5,Oval Invincibles,SW Billings,WG Jacks,PI Walter,0,0,,,,,,caught,SW Billings
ball,1,6.1,Oval Invincibles,WG Jacks,JDS Neesham,J Overton,0,1,1,,,,,"",""
ball,1,6.2,Oval Invincibles,WG Jacks,JDS Neesham,J Overton,0,1,1,,,,,"",""
ball,1,6.3,Oval Invincibles,WG Jacks,JDS Neesham,J Overton,1,0,,,,,,"",""
ball,1,6.4,Oval Invincibles,JDS Neesham,WG Jacks,J Overton,1,0,,,,,,"",""
ball,1,6.5,Oval Invincibles,WG Jacks,JDS Neesham,J Overton,0,0,,,,,,"",""
ball,1,6.6,Oval Invincibles,WG Jacks,JDS Neesham,J Overton,1,0,,,,,,"",""
