version,1.7.0
info,balls_per_over,5
info,team,Birmingham Phoenix
info,team,Oval Invincibles
info,gender,male
info,season,2024
info,date,2024/07/23
info,event,The Hundred Men's Competition
info,match_number,1
info,venue,"Kennington Oval, London"
info,city,London
info,toss_winner,Birmingham Phoenix
info,toss_decision,bat
info,player_of_match,A Zampa
info,umpire,GD Lloyd
info,umpire,RJ Warren
info,reserve_umpire,S Redfern
info,tv_umpire,PK Baldwin
info,match_referee,Phil Whitticase
info,winner,Oval Invincibles
info,winner_wickets,8
info,player,Birmingham Phoenix,RK Patel
info,player,Birmingham Phoenix,AHT Donald
info,player,Birmingham Phoenix,LS Livingstone
info,player,Birmingham Phoenix,DR Mousley
info,player,Birmingham Phoenix,MM Ali
info,player,Birmingham Phoenix,JG Bethell
info,player,Birmingham Phoenix,BAC Howell
info,player,Birmingham Phoenix,SA Abbott
info,player,Birmingham Phoenix,AF Milne
info,player,Birmingham Phoenix,TG Helm
info,player,Birmingham Phoenix,TG Southee
info,player,Oval Invincibles,WG Jacks
info,player,Oval Invincibles,DJ Malan
info,player,Oval Invincibles,TS Muyeye
info,player,Oval Invincibles,SW Billings
info,player,Oval Invincibles,SM Curran
info,player,Oval Invincibles,D Ferreira
info,player,Oval Invincibles,TA Lammonby
info,player,Oval Invincibles,NA Sowter
info,player,Oval Invincibles,A Zampa
info,player,Oval Invincibles,S Mahmood
info,player,Oval Invincibles,Mohammad Amir
info,registry,people,A Zampa,14f96089
info,registry,people,AF Milne,350bb1b1
info,registry,people,AHT Donald,72918338
info,registry,people,BAC Howell,0bec3a6c
info,registry,people,D Ferreira,f0af99a7
info,registry,people,DJ Malan,ad9c32a2
info,registry,people,DR Mousley,876dbe2d
info,registry,people,GD Lloyd,36e0770d
info,registry,people,JG Bethell,3c55c703
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MM Ali,bb351c23
info,registry,people,Mohammad Amir,e174dadd
info,registry,people,NA Sowter,ee0c05c0
info,registry,people,PK Baldwin,6bb53c12
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,RJ Warren,9d1c62d7
info,registry,people,RK Patel,4531f249
info,registry,people,S Mahmood,0f6db197
info,registry,people,S Redfern,5b038989
info,registry,people,SA Abbott,1a2676c5
info,registry,people,SM Curran,e94915e6
info,registry,people,SW Billings,c16d4035
info,registry,people,TA Lammonby,73f1f6b0
info,registry,people,TG Helm,74a274cc
info,registry,people,TG Southee,13c35c9e
info,registry,people,TS Muyeye,10b79140
info,registry,people,WG Jacks,9caf69a1
ball,1,0.1,Birmingham Phoenix,RK Patel,AHT Donald,Mohammad Amir,0,1,,,,1,,"",""
ball,1,0.2,Birmingham Phoenix,AHT Donald,RK Patel,Mohammad Amir,1,0,,,,,,"",""
ball,1,0.3,Birmingham Phoenix,RK Patel,AHT Donald,Mohammad Amir,0,0,,,,,,"",""
ball,1,0.4,Birmingham Phoenix,RK Patel,AHT Donald,Mohammad Amir,2,0,,,,,,"",""
ball,1,0.5,Birmingham Phoenix,RK Patel,AHT Donald,Mohammad Amir,1,0,,,,,,"",""
ball,1,1.1,Birmingham Phoenix,AHT Donald,RK Patel,S Mahmood,0,0,,,,,,caught,AHT Donald
ball,1,1.2,Birmingham Phoenix,LS Livingstone,RK Patel,S Mahmood,0,0,,,,,,"",""
ball,1,1.3,Birmingham Phoenix,LS Livingstone,RK Patel,S Mahmood,0,0,,,,,,caught,LS Livingstone
ball,1,1.4,Birmingham Phoenix,DR Mousley,RK Patel,S Mahmood,1,0,,,,,,"",""
ball,1,1.5,Birmingham Phoenix,RK Patel,DR Mousley,S Mahmood,0,2,,2,,,,"",""
ball,1,1.6,Birmingham Phoenix,RK Patel,DR Mousley,S Mahmood,0,0,,,,,,"",""
ball,1,2.1,Birmingham Phoenix,DR Mousley,RK Patel,Mohammad Amir,0,0,,,,,,"",""
ball,1,2.2,Birmingham Phoenix,DR Mousley,RK Patel,Mohammad Amir,0,0,,,,,,caught,DR Mousley
ball,1,2.3,Birmingham Phoenix,MM Ali,RK Patel,Mohammad Amir,1,0,,,,,,"",""
ball,1,2.4,Birmingham Phoenix,RK Patel,MM Ali,Mohammad Amir,0,1,,,,1,,"",""
ball,1,2.5,Birmingham Phoenix,MM Ali,RK Patel,Mohammad Amir,0,0,,,,,,"",""
ball,1,3.1,Birmingham Phoenix,MM Ali,RK Patel,Mohammad Amir,0,0,,,,,,"",""
ball,1,3.2,Birmingham Phoenix,MM Ali,RK Patel,Mohammad Amir,0,0,,,,,,caught,MM Ali
ball,1,3.3,Birmingham Phoenix,JG Bethell,RK Patel,Mohammad Amir,0,1,1,,,,,"",""
ball,1,3.4,Birmingham Phoenix,JG Bethell,RK Patel,Mohammad Amir,0,0,,,,,,"",""
ball,1,3.5,Birmingham Phoenix,JG Bethell,RK Patel,Mohammad Amir,1,0,,,,,,"",""
ball,1,3.6,Birmingham Phoenix,RK Patel,JG Bethell,Mohammad Amir,0,0,,,,,,"",""
ball,1,4.1,Birmingham Phoenix,JG Bethell,RK Patel,S Mahmood,0,0,,,,,,"",""
ball,1,4.2,Birmingham Phoenix,JG Bethell,RK Patel,S Mahmood,0,0,,,,,,"",""
ball,1,4.3,Birmingham Phoenix,JG Bethell,RK Patel,S Mahmood,0,0,,,,,,"",""
ball,1,4.4,Birmingham Phoenix,JG Bethell,RK Patel,S Mahmood,0,1,1,,,,,"",""
ball,1,4.5,Birmingham Phoenix,JG Bethell,RK Patel,S Mahmood,0,1,1,,,,,"",""
ball,1,4.6,Birmingham Phoenix,JG Bethell,RK Patel,S Mahmood,4,0,,,,,,"",""
ball,1,4.7,Birmingham Phoenix,JG Bethell,RK Patel,S Mahmood,0,0,,,,,,"",""
ball,1,5.1,Birmingham Phoenix,JG Bethell,RK Patel,SM Curran,1,0,,,,,,"",""
