version,1.7.0
info,balls_per_over,5
info,team,Manchester Originals
info,team,Northern Superchargers
info,gender,male
info,season,2023
info,date,2023/08/20
info,event,The Hundred Men's Competition
info,match_number,27
info,venue,"Old Trafford, Manchester"
info,city,Manchester
info,toss_winner,Manchester Originals
info,toss_decision,bat
info,player_of_match,CG Harrison
info,umpire,Hassan Adnan
info,umpire,James Middlebrook
info,reserve_umpire,RA Kettleborough
info,tv_umpire,GD Lloyd
info,match_referee,Phil Whitticase
info,winner,Manchester Originals
info,winner_runs,81
info,player,Manchester Originals,PD Salt
info,player,Manchester Originals,JC Buttler
info,player,Manchester Originals,LJ Evans
info,player,Manchester Originals,PI Walter
info,player,Manchester Originals,MDE Holden
info,player,Manchester Originals,J Overton
info,player,Manchester Originals,AJ Turner
info,player,Manchester Originals,CG Harrison
info,player,Manchester Originals,TW Hartley
info,player,Manchester Originals,JC Tongue
info,player,Manchester Originals,Zaman Khan
info,player,Northern Superchargers,A Lyth
info,player,Northern Superchargers,MW Short
info,player,Northern Superchargers,T Banton
info,player,Northern Superchargers,AJ Hose
info,player,Northern Superchargers,HC Brook
info,player,Northern Superchargers,WD Parnell
info,player,Northern Superchargers,BA Carse
info,player,Northern Superchargers,D Wiese
info,player,Northern Superchargers,AU Rashid
info,player,Northern Superchargers,CF Parkinson
info,player,Northern Superchargers,RJW Topley
info,registry,people,A Lyth,70b8fd28
info,registry,people,AJ Hose,104e88a4
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,AU Rashid,249d60c9
info,registry,people,BA Carse,cad40f5e
info,registry,people,CF Parkinson,aa1210d8
info,registry,people,CG Harrison,f655d740
info,registry,people,D Wiese,aa8d28ae
info,registry,people,GD Lloyd,36e0770d
info,registry,people,HC Brook,4ae1755b
info,registry,people,Hassan Adnan,56ca7a8c
info,registry,people,J Overton,59559bc2
info,registry,people,JC Buttler,99b75528
info,registry,people,JC Tongue,1f1b4c89
info,registry,people,James Middlebrook,ddcd1520
info,registry,people,LJ Evans,1c513d54
info,registry,people,MDE Holden,d34a2268
info,registry,people,MW Short,a90e53ec
info,registry,people,PD Salt,3d284ca3
info,registry,people,PI Walter,57590dbb
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RJW Topley,8db7f47f
info,registry,people,T Banton,25f7b7d6
info,registry,people,TW Hartley,22b98d7c
info,registry,people,WD Parnell,3a60e0b5
info,registry,people,Zaman Khan,28392e11
ball,1,0.1,Manchester Originals,PD Salt,JC Buttler,RJW Topley,1,0,,,,,,"",""
ball,1,0.2,Manchester Originals,JC Buttler,PD Salt,RJW Topley,0,1,1,,,,,"",""
ball,1,0.3,Manchester Originals,JC Buttler,PD Salt,RJW Topley,0,0,,,,,,"",""
ball,1,0.4,Manchester Originals,JC Buttler,PD Salt,RJW Topley,1,0,,,,,,"",""
ball,1,0.5,Manchester Originals,PD Salt,JC Buttler,RJW Topley,1,0,,,,,,"",""
ball,1,0.6,Manchester Originals,JC Buttler,PD Salt,RJW Topley,0,0,,,,,,"",""
ball,1,1.1,Manchester Originals,JC Buttler,PD Salt,CF Parkinson,1,0,,,,,,"",""
ball,1,1.2,Manchester Originals,PD Salt,JC Buttler,CF Parkinson,1,0,,,,,,"",""
ball,1,1.3,Manchester Originals,JC Buttler,PD Salt,CF Parkinson,0,0,,,,,,"",""
ball,1,1.4,Manchester Originals,JC Buttler,PD Salt,CF Parkinson,4,0,,,,,,"",""
ball,1,1.5,Manchester Originals,JC Buttler,PD Salt,CF Parkinson,1,0,,,,,,"",""
ball,1,2.1,Manchester Originals,JC Buttler,PD Salt,RJW Topley,0,0,,,,,,"",""
ball,1,2.2,Manchester Originals,JC Buttler,PD Salt,RJW Topley,0,1,,,,1,,"",""
ball,1,2.3,Manchester Originals,PD Salt,JC Buttler,RJW Topley,0,4,,,,4,,"",""
ball,1,2.4,Manchester Originals,PD Salt,JC Buttler,RJW Topley,0,1,1,,,,,"",""
ball,1,2.5,Manchester Originals,PD Salt,JC Buttler,RJW Topley,4,0,,,,,,"",""
ball,1,2.6,Manchester Originals,PD Salt,JC Buttler,RJW Topley,0,0,,,,,,"",""
ball,1,3.1,Manchester Originals,PD Salt,JC Buttler,CF Parkinson,1,0,,,,,,"",""
ball,1,3.2,Manchester Originals,JC Buttler,PD Salt,CF Parkinson,0,0,,,,,,"",""
ball,1,3.3,Manchester Originals,JC Buttler,PD Salt,CF Parkinson,4,0,,,,,,"",""
ball,1,3.4,Manchester Originals,JC Buttler,PD Salt,CF Parkinson,3,0,,,,,,"",""
ball,1,3.5,Manchester Originals,PD Salt,JC Buttler,CF Parkinson,0,0,,,,,,"",""
ball,1,4.1,Manchester Originals,JC Buttler,PD Salt,BA Carse,2,0,,,,,,"",""
ball,1,4.2,Manchester Originals,JC Buttler,PD Salt,BA Carse,4,0,,,,,,"",""
ball,1,4.3,Manchester Originals,JC Buttler,PD Salt,BA Carse,4,0,,,,,,"",""
ball,1,4.4,Manchester Originals,JC Buttler,PD Salt,BA Carse,4,0,,,,,,"",""
ball,1,4.5,Manchester Originals,JC Buttler,PD Salt,BA Carse,0,0,,,,,,"",""
ball,1,5.1,Manchester Originals,JC Buttler,PD Salt,D Wiese,1,0,,,,,,"",""
ball,1,5.2,Manchester Originals,PD Salt,JC Buttler,D Wiese,1,0,,,,,,"",""
ball,1,5.3,Manchester Originals,JC Buttler,PD Salt,D Wiese,1,0,,,,,,"",""
ball,1,5.4,Manchester Originals,PD Salt,JC Buttler,D Wiese,6,0,,,,,,"",""
ball,1,5.5,Manchester Originals,PD Salt,JC Buttler,D Wiese,0,1,,,,1,,"",""
ball,1,6.1,Manchester Originals,PD Salt,JC Buttler,AU Rashid,2,0,,,,,,"",""
ball,1,6.2,Manchester Originals,PD Salt,JC Buttler,AU Rashid,1,0,,,,,,"",""
ball,1,6.3,Manchester Originals,JC Buttler,PD Salt,AU Rashid,1,0,,,,,,"",""
ball,1,6.4,Manchester Originals,PD Salt,JC Buttler,AU Rashid,2,0,,,,,,"",""
ball,1,6.5,Manchester Originals,PD Salt,JC Buttler,AU Rashid,1,0,,,,,,"",""
ball,1,7.1,Manchester Originals,JC Buttler,PD Salt,WD Parnell,2,0,,,,,,"",""
ball,1,7.2,Manchester Originals,JC Buttler,PD Salt,WD Parnell,1,0,,,,,,"",""
ball,1,7.3,Manchester Originals,PD Salt,JC Buttler,WD Parnell,6,0,,,,,,"",""
ball,1,7.4,Manchester Originals,PD Salt,JC Buttler,WD Parnell,1,0,,,,,,"",""
ball,1,7.5,Manchester Originals,JC Buttler,PD Salt,WD Parnell,1,0,,,,,,"",""
ball,1,8.1,Manchester Originals,JC Buttler,PD Salt,AU Rashid,1,0,,,,,,"",""
ball,1,8.2,Manchester Originals,PD Salt,JC Buttler,AU Rashid,0,0,,,,,,caught,PD Salt
ball,1,8.3,Manchester Originals,LJ Evans,JC Buttler,AU Rashid,0,0,,,,,,"",""
ball,1,8.4,Manchester Originals,LJ Evans,JC Buttler,AU Rashid,1,0,,,,,,"",""
ball,1,8.5,Manchester Originals,JC Buttler,LJ Evans,AU Rashid,1,0,,,,,,"",""
ball,1,9.1,Manchester Originals,LJ Evans,JC Buttler,CF Parkinson,6,0,,,,,,"",""
