version,1.7.0
info,balls_per_over,6
info,team,Royal Challengers Bengaluru
info,team,Mumbai Indians
info,gender,male
info,season,2025
info,date,2025/04/07
info,event,Indian Premier League
info,match_number,20
info,venue,"Wankhede Stadium, Mumbai"
info,city,Mumbai
info,toss_winner,Mumbai Indians
info,toss_decision,field
info,player_of_match,RM Patidar
info,umpire,P Joshi
info,umpire,Vinod Seshan
info,reserve_umpire,TM Srivastava
info,tv_umpire,J Madanagopal
info,match_referee,Prakash Bhatt
info,winner,Royal Challengers Bengaluru
info,winner_runs,12
info,player,Royal Challengers Bengaluru,PD Salt
info,player,Royal Challengers Bengaluru,V Kohli
info,player,Royal Challengers Bengaluru,D Padikkal
info,player,Royal Challengers Bengaluru,RM Patidar
info,player,Royal Challengers Bengaluru,LS Livingstone
info,player,Royal Challengers Bengaluru,JM Sharma
info,player,Royal Challengers Bengaluru,TH David
info,player,Royal Challengers Bengaluru,KH Pandya
info,player,Royal Challengers Bengaluru,B Kumar
info,player,Royal Challengers Bengaluru,JR Hazlewood
info,player,Royal Challengers Bengaluru,Yash Dayal
info,player,Royal Challengers Bengaluru,Suyash Sharma
info,player,Mumbai Indians,V Puthur
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,RD Rickelton
info,player,Mumbai Indians,WG Jacks
info,player,Mumbai Indians,SA Yadav
info,player,Mumbai Indians,Tilak Varma
info,player,Mumbai Indians,HH Pandya
info,player,Mumbai Indians,Naman Dhir
info,player,Mumbai Indians,MJ Santner
info,player,Mumbai Indians,DL Chahar
info,player,Mumbai Indians,TA Boult
info,player,Mumbai Indians,JJ Bumrah
info,registry,people,B Kumar,2e81a32d
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,DL Chahar,23eeb873
info,registry,people,HH Pandya,dbe50b21
info,registry,people,J Madanagopal,8275b04a
info,registry,people,JJ Bumrah,462411b3
info,registry,people,JM Sharma,800d2d97
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,KH Pandya,5b8c830e
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MJ Santner,e4a0deae
info,registry,people,Naman Dhir,fffa744b
info,registry,people,P Joshi,ffc0e370
info,registry,people,PD Salt,3d284ca3
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RG Sharma,740742ef
info,registry,people,RM Patidar,c740ea83
info,registry,people,SA Yadav,271f83cd
info,registry,people,Suyash Sharma,9440ef41
info,registry,people,TA Boult,a818c1be
info,registry,people,TH David,f1f99156
info,registry,people,TM Srivastava,a76d10ba
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,V Kohli,ba607b88
info,registry,people,V Puthur,1e030637
info,registry,people,Vinod Seshan,a3357a27
info,registry,people,WG Jacks,9caf69a1
info,registry,people,Yash Dayal,7210d461
ball,1,0.1,Royal Challengers Bengaluru,PD Salt,V Kohli,TA Boult,4,0,,,,,,"",""
ball,1,0.2,Royal Challengers Bengaluru,PD Salt,V Kohli,TA Boult,0,0,,,,,,bowled,PD Salt
ball,1,0.3,Royal Challengers Bengaluru,D Padikkal,V Kohli,TA Boult,4,0,,,,,,"",""
ball,1,0.4,Royal Challengers Bengaluru,D Padikkal,V Kohli,TA Boult,0,0,,,,,,"",""
ball,1,0.5,Royal Challengers Bengaluru,D Padikkal,V Kohli,TA Boult,0,0,,,,,,"",""
ball,1,0.6,Royal Challengers Bengaluru,D Padikkal,V Kohli,TA Boult,0,0,,,,,,"",""
ball,1,1.1,Royal Challengers Bengaluru,V Kohli,D Padikkal,DL Chahar,0,0,,,,,,"",""
ball,1,1.2,Royal Challengers Bengaluru,V Kohli,D Padikkal,DL Chahar,0,0,,,,,,"",""
ball,1,1.3,Royal Challengers Bengaluru,V Kohli,D Padikkal,DL Chahar,2,0,,,,,,"",""
ball,1,1.4,Royal Challengers Bengaluru,V Kohli,D Padikkal,DL Chahar,4,0,,,,,,"",""
ball,1,1.5,Royal Challengers Bengaluru,V Kohli,D Padikkal,DL Chahar,2,0,,,,,,"",""
ball,1,1.6,Royal Challengers Bengaluru,V Kohli,D Padikkal,DL Chahar,1,0,,,,,,"",""
ball,1,2.1,Royal Challengers Bengaluru,V Kohli,D Padikkal,TA Boult,1,0,,,,,,"",""
ball,1,2.2,Royal Challengers Bengaluru,D Padikkal,V Kohli,TA Boult,0,0,,,,,,"",""
ball,1,2.3,Royal Challengers Bengaluru,D Padikkal,V Kohli,TA Boult,6,0,,,,,,"",""
ball,1,2.4,Royal Challengers Bengaluru,D Padikkal,V Kohli,TA Boult,1,0,,,,,,"",""
ball,1,2.5,Royal Challengers Bengaluru,V Kohli,D Padikkal,TA Boult,4,0,,,,,,"",""
ball,1,2.6,Royal Challengers Bengaluru,V Kohli,D Padikkal,TA Boult,4,0,,,,,,"",""
ball,1,3.1,Royal Challengers Bengaluru,D Padikkal,V Kohli,JJ Bumrah,1,0,,,,,,"",""
ball,1,3.2,Royal Challengers Bengaluru,V Kohli,D Padikkal,JJ Bumrah,6,0,,,,,,"",""
ball,1,3.3,Royal Challengers Bengaluru,V Kohli,D Padikkal,JJ Bumrah,1,0,,,,,,"",""
ball,1,3.4,Royal Challengers Bengaluru,D Padikkal,V Kohli,JJ Bumrah,1,0,,,,,,"",""
ball,1,3.5,Royal Challengers Bengaluru,V Kohli,D Padikkal,JJ Bumrah,0,0,,,,,,"",""
ball,1,3.6,Royal Challengers Bengaluru,V Kohli,D Padikkal,JJ Bumrah,1,0,,,,,,"",""
ball,1,4.1,Royal Challengers Bengaluru,V Kohli,D Padikkal,WG Jacks,4,0,,,,,,"",""
ball,1,4.2,Royal Challengers Bengaluru,V Kohli,D Padikkal,WG Jacks,0,0,,,,,,"",""
ball,1,4.3,Royal Challengers Bengaluru,V Kohli,D Padikkal,WG Jacks,0,0,,,,,,"",""
ball,1,4.4,Royal Challengers Bengaluru,V Kohli,D Padikkal,WG Jacks,1,0,,,,,,"",""
ball,1,4.5,Royal Challengers Bengaluru,D Padikkal,V Kohli,WG Jacks,1,0,,,,,,"",""
ball,1,4.6,Royal Challengers Bengaluru,V Kohli,D Padikkal,WG Jacks,4,0,,,,,,"",""
ball,1,5.1,Royal Challengers Bengaluru,D Padikkal,V Kohli,DL Chahar,1,0,,,,,,"",""
ball,1,5.2,Royal Challengers Bengaluru,V Kohli,D Padikkal,DL Chahar,0,1,1,,,,,"",""
ball,1,5.3,Royal Challengers Bengaluru,V Kohli,D Padikkal,DL Chahar,1,0,,,,,,"",""
ball,1,5.4,Royal Challengers Bengaluru,D Padikkal,V Kohli,DL Chahar,6,0,,,,,,"",""
ball,1,5.5,Royal Challengers Bengaluru,D Padikkal,V Kohli,DL Chahar,6,0,,,,,,"",""
ball,1,5.6,Royal Challengers Bengaluru,D Padikkal,V Kohli,DL Chahar,4,0,,,,,,"",""
ball,1,5.7,Royal Challengers Bengaluru,D Padikkal,V Kohli,DL Chahar,1,0,,,,,,"",""
