version,1.7.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Gujarat Titans
info,gender,male
info,season,2024
info,date,2024/04/10
info,event,Indian Premier League
info,match_number,24
info,venue,"Sawai Mansingh Stadium, Jaipur"
info,city,Jaipur
info,toss_winner,Gujarat Titans
info,toss_decision,field
info,player_of_match,Rashid Khan
info,umpire,HDPK Dharmasena
info,umpire,Vinod Seshan
info,reserve_umpire,VM Dhokre
info,tv_umpire,KN Ananthapadmanabhan
info,match_referee,Prakash Bhatt
info,winner,Gujarat Titans
info,winner_wickets,3
info,player,Rajasthan Royals,KA Maharaj
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,JC Buttler
info,player,Rajasthan Royals,SV Samson
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,R Ashwin
info,player,Rajasthan Royals,TA Boult
info,player,Rajasthan Royals,Avesh Khan
info,player,Rajasthan Royals,KR Sen
info,player,Rajasthan Royals,YS Chahal
info,player,Gujarat Titans,MM Sharma
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,MS Wade
info,player,Gujarat Titans,A Manohar
info,player,Gujarat Titans,V Shankar
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,M Shahrukh Khan
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,Noor Ahmad
info,player,Gujarat Titans,UT Yadav
info,player,Gujarat Titans,SH Johnson
info,registry,people,A Manohar,0890552f
info,registry,people,Avesh Khan,eef2536f
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,JC Buttler,99b75528
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,KR Sen,2e78f685
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,MM Sharma,759ac88f
info,registry,people,MS Wade,afa7e784
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,R Ashwin,495d42a5
info,registry,people,R Parag,04a418e8
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SH Johnson,83c3e8e3
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Shubman Gill,b4b99816
info,registry,people,TA Boult,a818c1be
info,registry,people,UT Yadav,cc1e8c68
info,registry,people,V Shankar,0994d0ae
info,registry,people,VM Dhokre,67df71c9
info,registry,people,Vinod Seshan,a3357a27
info,registry,people,YBK Jaiswal,6c19c6e5
info,registry,people,YS Chahal,57ee1fde
ball,1,0.1,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,0,0,,,,,,"",""
ball,1,0.2,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,0,0,,,,,,"",""
ball,1,0.3,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,0,0,,,,,,"",""
ball,1,0.4,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,0,0,,,,,,"",""
ball,1,0.5,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,4,0,,,,,,"",""
ball,1,0.6,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,2,0,,,,,,"",""
ball,1,1.1,Rajasthan Royals,JC Buttler,YBK Jaiswal,SH Johnson,2,0,,,,,,"",""
ball,1,1.2,Rajasthan Royals,JC Buttler,YBK Jaiswal,SH Johnson,1,0,,,,,,"",""
ball,1,1.3,Rajasthan Royals,YBK Jaiswal,JC Buttler,SH Johnson,0,0,,,,,,"",""
ball,1,1.4,Rajasthan Royals,YBK Jaiswal,JC Buttler,SH Johnson,0,0,,,,,,"",""
ball,1,1.5,Rajasthan Royals,YBK Jaiswal,JC Buttler,SH Johnson,0,0,,,,,,"",""
ball,1,1.6,Rajasthan Royals,YBK Jaiswal,JC Buttler,SH Johnson,4,0,,,,,,"",""
ball,1,2.1,Rajasthan Royals,JC Buttler,YBK Jaiswal,UT Yadav,1,0,,,,,,"",""
ball,1,2.2,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,0,0,,,,,,"",""
ball,1,2.3,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,0,0,,,,,,"",""
ball,1,2.4,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,0,0,,,,,,"",""
ball,1,2.5,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,4,0,,,,,,"",""
ball,1,2.6,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,4,0,,,,,,"",""
ball,1,3.1,Rajasthan Royals,JC Buttler,YBK Jaiswal,SH Johnson,0,0,,,,,,"",""
ball,1,3.2,Rajasthan Royals,JC Buttler,YBK Jaiswal,SH Johnson,1,0,,,,,,"",""
ball,1,3.3,Rajasthan Royals,YBK Jaiswal,JC Buttler,SH Johnson,1,0,,,,,,"",""
ball,1,3.4,Rajasthan Royals,JC Buttler,YBK Jaiswal,SH Johnson,1,0,,,,,,"",""
ball,1,3.5,Rajasthan Royals,YBK Jaiswal,JC Buttler,SH Johnson,1,0,,,,,,"",""
ball,1,3.6,Rajasthan Royals,JC Buttler,YBK Jaiswal,SH Johnson,2,0,,,,,,"",""
ball,1,4.1,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,4,0,,,,,,"",""
ball,1,4.2,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,0,0,,,,,,caught,YBK Jaiswal
ball,1,4.3,Rajasthan Royals,SV Samson,JC Buttler,UT Yadav,0,0,,,,,,"",""
ball,1,4.4,Rajasthan Royals,SV Samson,JC Buttler,UT Yadav,4,0,,,,,,"",""
ball,1,4.5,Rajasthan Royals,SV Samson,JC Buttler,UT Yadav,4,0,,,,,,"",""
ball,1,4.6,Rajasthan Royals,SV Samson,JC Buttler,UT Yadav,1,0,,,,,,"",""
ball,1,5.1,Rajasthan Royals,SV Samson,JC Buttler,Rashid Khan,1,0,,,,,,"",""
ball,1,5.2,Rajasthan Royals,JC Buttler,SV Samson,Rashid Khan,0,0,,,,,,"",""
ball,1,5.3,Rajasthan Royals,JC Buttler,SV Samson,Rashid Khan,0,0,,,,,,"",""
ball,1,5.4,Rajasthan Royals,JC Buttler,SV Samson,Rashid Khan,0,0,,,,,,caught,JC Buttler
ball,1,5.5,Rajasthan Royals,R Parag,SV Samson,Rashid Khan,0,0,,,,,,"",""
ball,1,5.6,Rajasthan Royals,R Parag,SV Samson,Rashid Khan,1,0,,,,,,"",""
ball,1,6.1,Rajasthan Royals,R Parag,SV Samson,Noor Ahmad,0,0,,,,,,"",""
ball,1,6.2,Rajasthan Royals,R Parag,SV Samson,Noor Ahmad,0,1,1,,,,,"",""
ball,1,6.3,Rajasthan Royals,R Parag,SV Samson,Noor Ahmad,1,0,,,,,,"",""
ball,1,6.4,Rajasthan Royals,SV Samson,R Parag,Noor Ahmad,1,0,,,,,,"",""
ball,1,6.5,Rajasthan Royals,R Parag,SV Samson,Noor Ahmad,2,0,,,,,,"",""
ball,1,6.6,Rajasthan Royals,R Parag,SV Samson,Noor Ahmad,0,0,,,,,,"",""
ball,1,6.7,Rajasthan Royals,R Parag,SV Samson,Noor Ahmad,1,0,,,,,,"",""
ball,1,7.1,Rajasthan Royals,R Parag,SV Samson,Rashid Khan,0,0,,,,,,"",""
ball,1,7.2,Rajasthan Royals,R Parag,SV Samson,Rashid Khan,0,0,,,,,,"",""
ball,1,7.3,Rajasthan Royals,R Parag,SV Samson,Rashid Khan,1,0,,,,,,"",""
ball,1,7.4,Rajasthan Royals,SV Samson,R Parag,Rashid Khan,1,0,,,,,,"",""
ball,1,7.5,Rajasthan Royals,R Parag,SV Samson,Rashid Khan,0,0,,,,,,"",""
ball,1,7.6,Rajasthan Royals,R Parag,SV Samson,Rashid Khan,1,0,,,,,,"",""
ball,1,8.1,Rajasthan Royals,R Parag,SV Samson,Noor Ahmad,0,0,,,,,,"",""
ball,1,8.2,Rajasthan Royals,R Parag,SV Samson,Noor Ahmad,6,0,,,,,,"",""
ball,1,8.3,Rajasthan Royals,R Parag,SV Samson,Noor Ahmad,1,0,,,,,,"",""
ball,1,8.4,Rajasthan Royals,SV Samson,R Parag,Noor Ahmad,0,0,,,,,,"",""
ball,1,8.5,Rajasthan Royals,SV Samson,R Parag,Noor Ahmad,5,0,,,,,,"",""
ball,1,8.6,Rajasthan Royals,R Parag,SV Samson,Noor Ahmad,1,0,,,,,,"",""
ball,1,9.1,Rajasthan Royals,R Parag,SV Samson,Rashid Khan,2,0,,,,,,"",""
ball,1,9.2,Rajasthan Royals,R Parag,SV Samson,Rashid Khan,0,0,,,,,,"",""
ball,1,9.3,Rajasthan Royals,R Parag,SV Samson,Rashid Khan,1,0,,,,,,"",""
ball,1,9.4,Rajasthan Royals,SV Samson,R Parag,Rashid Khan,1,0,,,,,,"",""
ball,1,9.5,Rajasthan Royals,R Parag,SV Samson,Rashid Khan,4,0,,,,,,"",""
ball,1,9.6,Rajasthan Royals,R Parag,SV Samson,Rashid Khan,0,0,,,,,,"",""
ball,1,10.1,Rajasthan Royals,SV Samson,R Parag,Noor Ahmad,1,0,,,,,,"",""
ball,1,10.2,Rajasthan Royals,R Parag,SV Samson,Noor Ahmad,1,0,,,,,,"",""
ball,1,10.3,Rajasthan Royals,SV Samson,R Parag,Noor Ahmad,1,0,,,,,,"",""
ball,1,10.4,Rajasthan Royals,R Parag,SV Samson,Noor Ahmad,4,0,,,,,,"",""
ball,1,10.5,Rajasthan Royals,R Parag,SV Samson,Noor Ahmad,0,0,,,,,,"",""
ball,1,10.6,Rajasthan Royals,R Parag,SV Samson,Noor Ahmad,2,0,,,,,,"",""
