version,1.7.0
info,balls_per_over,6
info,team,Royal Challengers Bangalore
info,team,Delhi Capitals
info,gender,male
info,season,2023
info,date,2023/05/06
info,event,Indian Premier League
info,match_number,50
info,venue,"Arun Jaitley Stadium, Delhi"
info,city,Delhi
info,toss_winner,Royal Challengers Bangalore
info,toss_decision,bat
info,player_of_match,PD Salt
info,umpire,RJ Tucker
info,umpire,YC Barde
info,reserve_umpire,Mohamad Rafi
info,tv_umpire,J Madanagopal
info,match_referee,M Nayyar
info,winner,Delhi Capitals
info,winner_wickets,7
info,player,Royal Challengers Bangalore,HV Patel
info,player,Royal Challengers Bangalore,V Kohli
info,player,Royal Challengers Bangalore,F du Plessis
info,player,Royal Challengers Bangalore,GJ Maxwell
info,player,Royal Challengers Bangalore,MK Lomror
info,player,Royal Challengers Bangalore,KD Karthik
info,player,Royal Challengers Bangalore,Anuj Rawat
info,player,Royal Challengers Bangalore,KM Jadhav
info,player,Royal Challengers Bangalore,PWH de Silva
info,player,Royal Challengers Bangalore,KV Sharma
info,player,Royal Challengers Bangalore,Mohammed Siraj
info,player,Royal Challengers Bangalore,JR Hazlewood
info,player,Delhi Capitals,I Sharma
info,player,Delhi Capitals,DA Warner
info,player,Delhi Capitals,PD Salt
info,player,Delhi Capitals,MR Marsh
info,player,Delhi Capitals,RR Rossouw
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,Aman Hakim Khan
info,player,Delhi Capitals,MK Pandey
info,player,Delhi Capitals,Kuldeep Yadav
info,player,Delhi Capitals,Mukesh Kumar
info,player,Delhi Capitals,KK Ahmed
info,player,Delhi Capitals,RV Patel
info,registry,people,AR Patel,2e171977
info,registry,people,Aman Hakim Khan,378daa89
info,registry,people,Anuj Rawat,c8f5f961
info,registry,people,DA Warner,dcce6f09
info,registry,people,F du Plessis,3355b542
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,HV Patel,f986ca1a
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,J Madanagopal,8275b04a
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,KD Karthik,c03f1114
info,registry,people,KK Ahmed,a2f46292
info,registry,people,KM Jadhav,99d63244
info,registry,people,KV Sharma,119678fd
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,M Nayyar,b7bccddb
info,registry,people,MK Lomror,da934ee8
info,registry,people,MK Pandey,93b4fc78
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,Mohamad Rafi,0479de6b
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,Mukesh Kumar,2cffab74
info,registry,people,PD Salt,3d284ca3
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,RV Patel,60500956
info,registry,people,V Kohli,ba607b88
info,registry,people,YC Barde,b90f3346
ball,1,0.1,Royal Challengers Bangalore,V Kohli,F du Plessis,KK Ahmed,0,0,,,,,,"",""
ball,1,0.2,Royal Challengers Bangalore,V Kohli,F du Plessis,KK Ahmed,4,0,,,,,,"",""
ball,1,0.3,Royal Challengers Bangalore,V Kohli,F du Plessis,KK Ahmed,0,0,,,,,,"",""
ball,1,0.4,Royal Challengers Bangalore,V Kohli,F du Plessis,KK Ahmed,0,0,,,,,,"",""
ball,1,0.5,Royal Challengers Bangalore,V Kohli,F du Plessis,KK Ahmed,2,0,,,,,,"",""
ball,1,0.6,Royal Challengers Bangalore,V Kohli,F du Plessis,KK Ahmed,1,0,,,,,,"",""
ball,1,1.1,Royal Challengers Bangalore,V Kohli,F du Plessis,AR Patel,0,0,,,,,,"",""
ball,1,1.2,Royal Challengers Bangalore,V Kohli,F du Plessis,AR Patel,0,0,,,,,,"",""
ball,1,1.3,Royal Challengers Bangalore,V Kohli,F du Plessis,AR Patel,1,0,,,,,,"",""
ball,1,1.4,Royal Challengers Bangalore,F du Plessis,V Kohli,AR Patel,1,0,,,,,,"",""
ball,1,1.5,Royal Challengers Bangalore,V Kohli,F du Plessis,AR Patel,4,0,,,,,,"",""
ball,1,1.6,Royal Challengers Bangalore,V Kohli,F du Plessis,AR Patel,0,0,,,,,,"",""
ball,1,2.1,Royal Challengers Bangalore,F du Plessis,V Kohli,I Sharma,1,0,,,,,,"",""
ball,1,2.2,Royal Challengers Bangalore,V Kohli,F du Plessis,I Sharma,0,0,,,,,,"",""
ball,1,2.3,Royal Challengers Bangalore,V Kohli,F du Plessis,I Sharma,0,0,,,,,,"",""
ball,1,2.4,Royal Challengers Bangalore,V Kohli,F du Plessis,I Sharma,4,0,,,,,,"",""
ball,1,2.5,Royal Challengers Bangalore,V Kohli,F du Plessis,I Sharma,0,0,,,,,,"",""
ball,1,2.6,Royal Challengers Bangalore,V Kohli,F du Plessis,I Sharma,2,0,,,,,,"",""
ball,1,3.1,Royal Challengers Bangalore,F du Plessis,V Kohli,AR Patel,0,0,,,,,,"",""
ball,1,3.2,Royal Challengers Bangalore,F du Plessis,V Kohli,AR Patel,0,0,,,,,,"",""
ball,1,3.3,Royal Challengers Bangalore,F du Plessis,V Kohli,AR Patel,1,0,,,,,,"",""
ball,1,3.4,Royal Challengers Bangalore,V Kohli,F du Plessis,AR Patel,1,0,,,,,,"",""
ball,1,3.5,Royal Challengers Bangalore,F du Plessis,V Kohli,AR Patel,1,0,,,,,,"",""
ball,1,3.6,Royal Challengers Bangalore,V Kohli,F du Plessis,AR Patel,0,0,,,,,,"",""
ball,1,4.1,Royal Challengers Bangalore,F du Plessis,V Kohli,Mukesh Kumar,0,0,,,,,,"",""
ball,1,4.2,Royal Challengers Bangalore,F du Plessis,V Kohli,Mukesh Kumar,4,0,,,,,,"",""
ball,1,4.3,Royal Challengers Bangalore,F du Plessis,V Kohli,Mukesh Kumar,0,0,,,,,,"",""
ball,1,4.4,Royal Challengers Bangalore,F du Plessis,V Kohli,Mukesh Kumar,4,0,,,,,,"",""
ball,1,4.5,Royal Challengers Bangalore,F du Plessis,V Kohli,Mukesh Kumar,4,0,,,,,,"",""
ball,1,4.6,Royal Challengers Bangalore,F du Plessis,V Kohli,Mukesh Kumar,1,0,,,,,,"",""
ball,1,5.1,Royal Challengers Bangalore,F du Plessis,V Kohli,KK Ahmed,1,0,,,,,,"",""
ball,1,5.2,Royal Challengers Bangalore,V Kohli,F du Plessis,KK Ahmed,2,0,,,,,,"",""
ball,1,5.3,Royal Challengers Bangalore,V Kohli,F du Plessis,KK Ahmed,1,0,,,,,,"",""
ball,1,5.4,Royal Challengers Bangalore,F du Plessis,V Kohli,KK Ahmed,6,0,,,,,,"",""
ball,1,5.5,Royal Challengers Bangalore,F du Plessis,V Kohli,KK Ahmed,4,0,,,,,,"",""
ball,1,5.6,Royal Challengers Bangalore,F du Plessis,V Kohli,KK Ahmed,1,0,,,,,,"",""
ball,1,6.1,Royal Challengers Bangalore,F du Plessis,V Kohli,MR Marsh,1,0,,,,,,"",""
ball,1,6.2,Royal Challengers Bangalore,V Kohli,F du Plessis,MR Marsh,1,0,,,,,,"",""
ball,1,6.3,Royal Challengers Bangalore,F du Plessis,V Kohli,MR Marsh,1,0,,,,,,"",""
ball,1,6.4,Royal Challengers Bangalore,V Kohli,F du Plessis,MR Marsh,1,0,,,,,,"",""
ball,1,6.5,Royal Challengers Bangalore,F du Plessis,V Kohli,MR Marsh,1,0,,,,,,"",""
ball,1,6.6,Royal Challengers Bangalore,V Kohli,F du Plessis,MR Marsh,1,0,,,,,,"",""
ball,1,7.1,Royal Challengers Bangalore,V Kohli,F du Plessis,Kuldeep Yadav,4,0,,,,,,"",""
ball,1,7.2,Royal Challengers Bangalore,V Kohli,F du Plessis,Kuldeep Yadav,1,0,,,,,,"",""
ball,1,7.3,Royal Challengers Bangalore,F du Plessis,V Kohli,Kuldeep Yadav,0,0,,,,,,"",""
ball,1,7.4,Royal Challengers Bangalore,F du Plessis,V Kohli,Kuldeep Yadav,0,0,,,,,,"",""
ball,1,7.5,Royal Challengers Bangalore,F du Plessis,V Kohli,Kuldeep Yadav,1,0,,,,,,"",""
ball,1,7.6,Royal Challengers Bangalore,V Kohli,F du Plessis,Kuldeep Yadav,1,0,,,,,,"",""
ball,1,8.1,Royal Challengers Bangalore,V Kohli,F du Plessis,AR Patel,1,0,,,,,,"",""
ball,1,8.2,Royal Challengers Bangalore,F du Plessis,V Kohli,AR Patel,1,0,,,,,,"",""
ball,1,8.3,Royal Challengers Bangalore,V Kohli,F du Plessis,AR Patel,1,0,,,,,,"",""
ball,1,8.4,Royal Challengers Bangalore,F du Plessis,V Kohli,AR Patel,0,0,,,,,,"",""
ball,1,8.5,Royal Challengers Bangalore,F du Plessis,V Kohli,AR Patel,4,0,,,,,,"",""
ball,1,8.6,Royal Challengers Bangalore,F du Plessis,V Kohli,AR Patel,1,0,,,,,,"",""
ball,1,9.1,Royal Challengers Bangalore,F du Plessis,V Kohli,Kuldeep Yadav,2,0,,,,,,"",""
ball,1,9.2,Royal Challengers Bangalore,F du Plessis,V Kohli,Kuldeep Yadav,1,0,,,,,,"",""
ball,1,9.3,Royal Challengers Bangalore,V Kohli,F du Plessis,Kuldeep Yadav,1,0,,,,,,"",""
ball,1,9.4,Royal Challengers Bangalore,F du Plessis,V Kohli,Kuldeep Yadav,1,0,,,,,,"",""
ball,1,9.5,Royal Challengers Bangalore,V Kohli,F du Plessis,Kuldeep Yadav,1,0,,,,,,"",""
ball,1,9.6,Royal Challengers Bangalore,F du Plessis,V Kohli,Kuldeep Yadav,1,0,,,,,,"",""
ball,1,10.1,Royal Challengers Bangalore,F du Plessis,V Kohli,MR Marsh,0,1,1,,,,,"",""
ball,1,10.2,Royal Challengers Bangalore,F du Plessis,V Kohli,MR Marsh,1,0,,,,,,"",""
ball,1,10.3,Royal Challengers Bangalore,V Kohli,F du Plessis,MR Marsh,1,0,,,,,,"",""
ball,1,10.4,Royal Challengers Bangalore,F du Plessis,V Kohli,MR Marsh,0,0,,,,,,caught,F du Plessis
ball,1,10.5,Royal Challengers Bangalore,GJ Maxwell,V Kohli,MR Marsh,0,0,,,,,,caught,GJ Maxwell
ball,1,10.6,Royal Challengers Bangalore,MK Lomror,V Kohli,MR Marsh,0,0,,,,,,"",""
ball,1,10.7,Royal Challengers Bangalore,MK Lomror,V Kohli,MR Marsh,1,0,,,,,,"",""
ball,1,11.1,Royal Challengers Bangalore,MK Lomror,V Kohli,Kuldeep Yadav,1,0,,,,,,"",""
ball,1,11.2,Royal Challengers Bangalore,V Kohli,MK Lomror,Kuldeep Yadav,1,0,,,,,,"",""
ball,1,11.3,Royal Challengers Bangalore,MK Lomror,V Kohli,Kuldeep Yadav,0,0,,,,,,"",""
ball,1,11.4,Royal Challengers Bangalore,MK Lomror,V Kohli,Kuldeep Yadav,6,0,,,,,,"",""
ball,1,11.5,Royal Challengers Bangalore,MK Lomror,V Kohli,Kuldeep Yadav,0,0,,,,,,"",""
ball,1,11.6,Royal Challengers Bangalore,MK Lomror,V Kohli,Kuldeep Yadav,2,0,,,,,,"",""
ball,1,12.1,Royal Challengers Bangalore,V Kohli,MK Lomror,I Sharma,4,0,,,,,,"",""
ball,1,12.2,Royal Challengers Bangalore,V Kohli,MK Lomror,I Sharma,1,0,,,,,,"",""
ball,1,12.3,Royal Challengers Bangalore,MK Lomror,V Kohli,I Sharma,0,1,,,,1,,"",""
ball,1,12.4,Royal Challengers Bangalore,V Kohli,MK Lomror,I Sharma,2,0,,,,,,"",""
ball,1,12.5,Royal Challengers Bangalore,V Kohli,MK Lomror,I Sharma,1,0,,,,,,"",""
ball,1,12.6,Royal Challengers Bangalore,MK Lomror,V Kohli,I Sharma,0,0,,,,,,"",""
ball,1,13.1,Royal Challengers Bangalore,V Kohli,MK Lomror,Kuldeep Yadav,1,0,,,,,,"",""
ball,1,13.2,Royal Challengers Bangalore,MK Lomror,V Kohli,Kuldeep Yadav,4,0,,,,,,"",""
ball,1,13.3,Royal Challengers Bangalore,MK Lomror,V Kohli,Kuldeep Yadav,6,0,,,,,,"",""
ball,1,13.4,Royal Challengers Bangalore,MK Lomror,V Kohli,Kuldeep Yadav,1,0,,,,,,"",""
ball,1,13.5,Royal Challengers Bangalore,V Kohli,MK Lomror,Kuldeep Yadav,0,0,,,,,,"",""
ball,1,13.6,Royal Challengers Bangalore,V Kohli,MK Lomror,Kuldeep Yadav,1,0,,,,,,"",""
ball,1,14.1,Royal Challengers Bangalore,V Kohli,MK Lomror,MR Marsh,1,0,,,,,,"",""
ball,1,14.2,Royal Challengers Bangalore,MK Lomror,V Kohli,MR Marsh,6,0,,,,,,"",""
ball,1,14.3,Royal Challengers Bangalore,MK Lomror,V Kohli,MR Marsh,1,0,,,,,,"",""
ball,1,14.4,Royal Challengers Bangalore,V Kohli,MK Lomror,MR Marsh,1,0,,,,,,"",""
ball,1,14.5,Royal Challengers Bangalore,MK Lomror,V Kohli,MR Marsh,1,0,,,,,,"",""
