version,1.7.0
info,balls_per_over,6
info,team,Lucknow Super Giants
info,team,Gujarat Titans
info,gender,male
info,season,2024
info,date,2024/04/07
info,event,Indian Premier League
info,match_number,21
info,venue,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
info,city,Lucknow
info,toss_winner,Lucknow Super Giants
info,toss_decision,bat
info,player_of_match,Yash Thakur
info,umpire,A Nand Kishore
info,umpire,VK Sharma
info,reserve_umpire,M Kuppuraj
info,tv_umpire,Nitin Menon
info,match_referee,J Srinath
info,winner,Lucknow Super Giants
info,winner_runs,33
info,player,Lucknow Super Giants,M Siddharth
info,player,Lucknow Super Giants,Q de Kock
info,player,Lucknow Super Giants,KL Rahul
info,player,Lucknow Super Giants,D Padikkal
info,player,Lucknow Super Giants,MP Stoinis
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,KH Pandya
info,player,Lucknow Super Giants,Ravi Bishnoi
info,player,Lucknow Super Giants,Naveen-ul-Haq
info,player,Lucknow Super Giants,Yash Thakur
info,player,Lucknow Super Giants,MP Yadav
info,player,Gujarat Titans,MM Sharma
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,KS Williamson
info,player,Gujarat Titans,BR Sharath
info,player,Gujarat Titans,V Shankar
info,player,Gujarat Titans,DG Nalkande
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,UT Yadav
info,player,Gujarat Titans,SH Johnson
info,player,Gujarat Titans,Noor Ahmad
info,registry,people,A Badoni,872b03f7
info,registry,people,A Nand Kishore,84424f4f
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,BR Sharath,c2dd89ea
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,DG Nalkande,cd8d2859
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,J Srinath,bad31fac
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KL Rahul,b17e2f24
info,registry,people,KS Williamson,d027ba9f
info,registry,people,M Kuppuraj,aa4063d0
info,registry,people,M Siddharth,cf0ccafa
info,registry,people,MM Sharma,759ac88f
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MP Yadav,b1ad996b
info,registry,people,N Pooran,3241e3fd
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,Q de Kock,372455c4
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SH Johnson,83c3e8e3
info,registry,people,Shubman Gill,b4b99816
info,registry,people,UT Yadav,cc1e8c68
info,registry,people,V Shankar,0994d0ae
info,registry,people,VK Sharma,a7a49df4
info,registry,people,Yash Thakur,4b31f3a3
ball,1,0.1,Lucknow Super Giants,Q de Kock,KL Rahul,UT Yadav,0,0,,,,,,"",""
ball,1,0.2,Lucknow Super Giants,Q de Kock,KL Rahul,UT Yadav,6,0,,,,,,"",""
ball,1,0.3,Lucknow Super Giants,Q de Kock,KL Rahul,UT Yadav,0,0,,,,,,"",""
ball,1,0.4,Lucknow Super Giants,Q de Kock,KL Rahul,UT Yadav,0,0,,,,,,caught,Q de Kock
ball,1,0.5,Lucknow Super Giants,D Padikkal,KL Rahul,UT Yadav,0,0,,,,,,"",""
ball,1,0.6,Lucknow Super Giants,D Padikkal,KL Rahul,UT Yadav,0,0,,,,,,"",""
ball,1,1.1,Lucknow Super Giants,KL Rahul,D Padikkal,SH Johnson,0,0,,,,,,"",""
ball,1,1.2,Lucknow Super Giants,KL Rahul,D Padikkal,SH Johnson,0,4,,,,4,,"",""
ball,1,1.3,Lucknow Super Giants,KL Rahul,D Padikkal,SH Johnson,1,0,,,,,,"",""
ball,1,1.4,Lucknow Super Giants,D Padikkal,KL Rahul,SH Johnson,0,0,,,,,,"",""
ball,1,1.5,Lucknow Super Giants,D Padikkal,KL Rahul,SH Johnson,0,0,,,,,,"",""
ball,1,1.6,Lucknow Super Giants,D Padikkal,KL Rahul,SH Johnson,3,0,,,,,,"",""
ball,1,2.1,Lucknow Super Giants,D Padikkal,KL Rahul,UT Yadav,4,0,,,,,,"",""
ball,1,2.2,Lucknow Super Giants,D Padikkal,KL Rahul,UT Yadav,0,0,,,,,,caught,D Padikkal
ball,1,2.3,Lucknow Super Giants,MP Stoinis,KL Rahul,UT Yadav,0,0,,,,,,"",""
ball,1,2.4,Lucknow Super Giants,MP Stoinis,KL Rahul,UT Yadav,0,0,,,,,,"",""
ball,1,2.5,Lucknow Super Giants,MP Stoinis,KL Rahul,UT Yadav,0,0,,,,,,"",""
ball,1,2.6,Lucknow Super Giants,MP Stoinis,KL Rahul,UT Yadav,0,0,,,,,,"",""
ball,1,3.1,Lucknow Super Giants,KL Rahul,MP Stoinis,SH Johnson,4,0,,,,,,"",""
ball,1,3.2,Lucknow Super Giants,KL Rahul,MP Stoinis,SH Johnson,4,0,,,,,,"",""
ball,1,3.3,Lucknow Super Giants,KL Rahul,MP Stoinis,SH Johnson,0,0,,,,,,"",""
ball,1,3.4,Lucknow Super Giants,KL Rahul,MP Stoinis,SH Johnson,0,0,,,,,,"",""
ball,1,3.5,Lucknow Super Giants,KL Rahul,MP Stoinis,SH Johnson,1,0,,,,,,"",""
ball,1,3.6,Lucknow Super Giants,MP Stoinis,KL Rahul,SH Johnson,4,0,,,,,,"",""
ball,1,4.1,Lucknow Super Giants,KL Rahul,MP Stoinis,UT Yadav,1,0,,,,,,"",""
ball,1,4.2,Lucknow Super Giants,MP Stoinis,KL Rahul,UT Yadav,0,0,,,,,,"",""
ball,1,4.3,Lucknow Super Giants,MP Stoinis,KL Rahul,UT Yadav,5,0,,,,,,"",""
ball,1,4.4,Lucknow Super Giants,KL Rahul,MP Stoinis,UT Yadav,1,0,,,,,,"",""
ball,1,4.5,Lucknow Super Giants,MP Stoinis,KL Rahul,UT Yadav,4,0,,,,,,"",""
ball,1,4.6,Lucknow Super Giants,MP Stoinis,KL Rahul,UT Yadav,1,0,,,,,,"",""
ball,1,5.1,Lucknow Super Giants,MP Stoinis,KL Rahul,Rashid Khan,1,0,,,,,,"",""
ball,1,5.2,Lucknow Super Giants,KL Rahul,MP Stoinis,Rashid Khan,0,0,,,,,,"",""
ball,1,5.3,Lucknow Super Giants,KL Rahul,MP Stoinis,Rashid Khan,1,0,,,,,,"",""
ball,1,5.4,Lucknow Super Giants,MP Stoinis,KL Rahul,Rashid Khan,1,0,,,,,,"",""
ball,1,5.5,Lucknow Super Giants,KL Rahul,MP Stoinis,Rashid Khan,1,0,,,,,,"",""
ball,1,5.6,Lucknow Super Giants,MP Stoinis,KL Rahul,Rashid Khan,0,0,,,,,,"",""
ball,1,6.1,Lucknow Super Giants,KL Rahul,MP Stoinis,MM Sharma,0,0,,,,,,"",""
ball,1,6.2,Lucknow Super Giants,KL Rahul,MP Stoinis,MM Sharma,1,0,,,,,,"",""
ball,1,6.3,Lucknow Super Giants,MP Stoinis,KL Rahul,MM Sharma,4,0,,,,,,"",""
ball,1,6.4,Lucknow Super Giants,MP Stoinis,KL Rahul,MM Sharma,1,0,,,,,,"",""
ball,1,6.5,Lucknow Super Giants,KL Rahul,MP Stoinis,MM Sharma,1,0,,,,,,"",""
ball,1,6.6,Lucknow Super Giants,MP Stoinis,KL Rahul,MM Sharma,0,0,,,,,,"",""
ball,1,7.1,Lucknow Super Giants,KL Rahul,MP Stoinis,Noor Ahmad,4,0,,,,,,"",""
ball,1,7.2,Lucknow Super Giants,KL Rahul,MP Stoinis,Noor Ahmad,2,0,,,,,,"",""
ball,1,7.3,Lucknow Super Giants,KL Rahul,MP Stoinis,Noor Ahmad,1,0,,,,,,"",""
ball,1,7.4,Lucknow Super Giants,MP Stoinis,KL Rahul,Noor Ahmad,1,0,,,,,,"",""
ball,1,7.5,Lucknow Super Giants,KL Rahul,MP Stoinis,Noor Ahmad,1,0,,,,,,"",""
ball,1,7.6,Lucknow Super Giants,MP Stoinis,KL Rahul,Noor Ahmad,0,0,,,,,,"",""
ball,1,8.1,Lucknow Super Giants,KL Rahul,MP Stoinis,Rashid Khan,1,0,,,,,,"",""
ball,1,8.2,Lucknow Super Giants,MP Stoinis,KL Rahul,Rashid Khan,2,0,,,,,,"",""
ball,1,8.3,Lucknow Super Giants,MP Stoinis,KL Rahul,Rashid Khan,1,0,,,,,,"",""
ball,1,8.4,Lucknow Super Giants,KL Rahul,MP Stoinis,Rashid Khan,1,0,,,,,,"",""
ball,1,8.5,Lucknow Super Giants,MP Stoinis,KL Rahul,Rashid Khan,1,0,,,,,,"",""
ball,1,8.6,Lucknow Super Giants,KL Rahul,MP Stoinis,Rashid Khan,1,0,,,,,,"",""
ball,1,9.1,Lucknow Super Giants,KL Rahul,MP Stoinis,Noor Ahmad,1,0,,,,,,"",""
ball,1,9.2,Lucknow Super Giants,MP Stoinis,KL Rahul,Noor Ahmad,0,0,,,,,,"",""
ball,1,9.3,Lucknow Super Giants,MP Stoinis,KL Rahul,Noor Ahmad,2,0,,,,,,"",""
ball,1,9.4,Lucknow Super Giants,MP Stoinis,KL Rahul,Noor Ahmad,0,0,,,,,,"",""
ball,1,9.5,Lucknow Super Giants,MP Stoinis,KL Rahul,Noor Ahmad,1,0,,,,,,"",""
ball,1,9.6,Lucknow Super Giants,KL Rahul,MP Stoinis,Noor Ahmad,0,0,,,,,,"",""
ball,1,10.1,Lucknow Super Giants,MP Stoinis,KL Rahul,MM Sharma,1,0,,,,,,"",""
ball,1,10.2,Lucknow Super Giants,KL Rahul,MP Stoinis,MM Sharma,1,0,,,,,,"",""
ball,1,10.3,Lucknow Super Giants,MP Stoinis,KL Rahul,MM Sharma,4,0,,,,,,"",""
ball,1,10.4,Lucknow Super Giants,MP Stoinis,KL Rahul,MM Sharma,2,0,,,,,,"",""
ball,1,10.5,Lucknow Super Giants,MP Stoinis,KL Rahul,MM Sharma,1,0,,,,,,"",""
ball,1,10.6,Lucknow Super Giants,KL Rahul,MP Stoinis,MM Sharma,1,0,,,,,,"",""
ball,1,11.1,Lucknow Super Giants,KL Rahul,MP Stoinis,Noor Ahmad,1,0,,,,,,"",""
ball,1,11.2,Lucknow Super Giants,MP Stoinis,KL Rahul,Noor Ahmad,1,0,,,,,,"",""
ball,1,11.3,Lucknow Super Giants,KL Rahul,MP Stoinis,Noor Ahmad,1,0,,,,,,"",""
ball,1,11.4,Lucknow Super Giants,MP Stoinis,KL Rahul,Noor Ahmad,0,0,,,,,,"",""
ball,1,11.5,Lucknow Super Giants,MP Stoinis,KL Rahul,Noor Ahmad,0,0,,,,,,"",""
ball,1,11.6,Lucknow Super Giants,MP Stoinis,KL Rahul,Noor Ahmad,1,0,,,,,,"",""
ball,1,12.1,Lucknow Super Giants,MP Stoinis,KL Rahul,DG Nalkande,1,0,,,,,,"",""
