version,1.7.0
info,balls_per_over,6
info,team,Sunrisers Hyderabad
info,team,Kolkata Knight Riders
info,gender,male
info,season,2024
info,date,2024/05/21
info,event,Indian Premier League
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Sunrisers Hyderabad
info,toss_decision,bat
info,player_of_match,MA Starc
info,umpire,AK Chaudhary
info,umpire,R Pandit
info,reserve_umpire,MV Saidharshan Kumar
info,tv_umpire,KN Ananthapadmanabhan
info,match_referee,J Srinath
info,winner,Kolkata Knight Riders
info,winner_wickets,8
info,player,Sunrisers Hyderabad,TM Head
info,player,Sunrisers Hyderabad,Abhishek Sharma
info,player,Sunrisers Hyderabad,RA Tripathi
info,player,Sunrisers Hyderabad,Nithish Kumar Reddy
info,player,Sunrisers Hyderabad,Shahbaz Ahmed
info,player,Sunrisers Hyderabad,H Klaasen
info,player,Sunrisers Hyderabad,Abdul Samad
info,player,Sunrisers Hyderabad,Sanvir Singh
info,player,Sunrisers Hyderabad,PJ Cummins
info,player,Sunrisers Hyderabad,B Kumar
info,player,Sunrisers Hyderabad,V Viyaskanth
info,player,Sunrisers Hyderabad,T Natarajan
info,player,Kolkata Knight Riders,Rahmanullah Gurbaz
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,VR Iyer
info,player,Kolkata Knight Riders,SS Iyer
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,AD Russell
info,player,Kolkata Knight Riders,Ramandeep Singh
info,player,Kolkata Knight Riders,MA Starc
info,player,Kolkata Knight Riders,VG Arora
info,player,Kolkata Knight Riders,Harshit Rana
info,player,Kolkata Knight Riders,CV Varun
info,registry,people,AD Russell,bbd41817
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,Abdul Samad,8e514b4c
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,B Kumar,2e81a32d
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,H Klaasen,235c2bb6
info,registry,people,Harshit Rana,77b1aa15
info,registry,people,J Srinath,bad31fac
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,MA Starc,3fb19989
info,registry,people,MV Saidharshan Kumar,54b6007b
info,registry,people,Nithish Kumar Reddy,aad0c365
info,registry,people,PJ Cummins,ded9240e
info,registry,people,R Pandit,8a604384
info,registry,people,RA Tripathi,77255a9e
info,registry,people,RK Singh,0a509d6b
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Ramandeep Singh,be24ead0
info,registry,people,SP Narine,9d430b40
info,registry,people,SS Iyer,85ec8e33
info,registry,people,Sanvir Singh,b0f2baf4
info,registry,people,Shahbaz Ahmed,f9e6e7ef
info,registry,people,T Natarajan,ce794613
info,registry,people,TM Head,12b610c2
info,registry,people,V Viyaskanth,03a83c50
info,registry,people,VG Arora,7c3b3b78
info,registry,people,VR Iyer,a24be938
ball,1,0.1,Sunrisers Hyderabad,TM Head,Abhishek Sharma,MA Starc,0,0,,,,,,"",""
ball,1,0.2,Sunrisers Hyderabad,TM Head,Abhishek Sharma,MA Starc,0,0,,,,,,bowled,TM Head
ball,1,0.3,Sunrisers Hyderabad,RA Tripathi,Abhishek Sharma,MA Starc,0,0,,,,,,"",""
ball,1,0.4,Sunrisers Hyderabad,RA Tripathi,Abhishek Sharma,MA Starc,4,0,,,,,,"",""
ball,1,0.5,Sunrisers Hyderabad,RA Tripathi,Abhishek Sharma,MA Starc,0,0,,,,,,"",""
ball,1,0.6,Sunrisers Hyderabad,RA Tripathi,Abhishek Sharma,MA Starc,4,0,,,,,,"",""
ball,1,1.1,Sunrisers Hyderabad,Abhishek Sharma,RA Tripathi,VG Arora,2,0,,,,,,"",""
ball,1,1.2,Sunrisers Hyderabad,Abhishek Sharma,RA Tripathi,VG Arora,0,1,1,,,,,"",""
ball,1,1.3,Sunrisers Hyderabad,Abhishek Sharma,RA Tripathi,VG Arora,1,0,,,,,,"",""
ball,1,1.4,Sunrisers Hyderabad,RA Tripathi,Abhishek Sharma,VG Arora,1,0,,,,,,"",""
ball,1,1.5,Sunrisers Hyderabad,Abhishek Sharma,RA Tripathi,VG Arora,0,0,,,,,,"",""
ball,1,1.6,Sunrisers Hyderabad,Abhishek Sharma,RA Tripathi,VG Arora,0,0,,,,,,caught,Abhishek Sharma
ball,1,1.7,Sunrisers Hyderabad,Nithish Kumar Reddy,RA Tripathi,VG Arora,0,0,,,,,,"",""
ball,1,2.1,Sunrisers Hyderabad,RA Tripathi,Nithish Kumar Reddy,MA Starc,1,0,,,,,,"",""
ball,1,2.2,Sunrisers Hyderabad,Nithish Kumar Reddy,RA Tripathi,MA Starc,0,1,1,,,,,"",""
ball,1,2.3,Sunrisers Hyderabad,Nithish Kumar Reddy,RA Tripathi,MA Starc,1,0,,,,,,"",""
ball,1,2.4,Sunrisers Hyderabad,RA Tripathi,Nithish Kumar Reddy,MA Starc,4,0,,,,,,"",""
ball,1,2.5,Sunrisers Hyderabad,RA Tripathi,Nithish Kumar Reddy,MA Starc,1,0,,,,,,"",""
ball,1,2.6,Sunrisers Hyderabad,Nithish Kumar Reddy,RA Tripathi,MA Starc,0,0,,,,,,"",""
ball,1,2.7,Sunrisers Hyderabad,Nithish Kumar Reddy,RA Tripathi,MA Starc,0,0,,,,,,"",""
ball,1,3.1,Sunrisers Hyderabad,RA Tripathi,Nithish Kumar Reddy,VG Arora,2,0,,,,,,"",""
ball,1,3.2,Sunrisers Hyderabad,RA Tripathi,Nithish Kumar Reddy,VG Arora,0,0,,,,,,"",""
ball,1,3.3,Sunrisers Hyderabad,RA Tripathi,Nithish Kumar Reddy,VG Arora,4,1,,1,,,,"",""
ball,1,3.4,Sunrisers Hyderabad,RA Tripathi,Nithish Kumar Reddy,VG Arora,0,0,,,,,,"",""
ball,1,3.5,Sunrisers Hyderabad,RA Tripathi,Nithish Kumar Reddy,VG Arora,1,0,,,,,,"",""
ball,1,3.6,Sunrisers Hyderabad,Nithish Kumar Reddy,RA Tripathi,VG Arora,2,0,,,,,,"",""
ball,1,3.7,Sunrisers Hyderabad,Nithish Kumar Reddy,RA Tripathi,VG Arora,0,1,1,,,,,"",""
ball,1,3.8,Sunrisers Hyderabad,Nithish Kumar Reddy,RA Tripathi,VG Arora,1,0,,,,,,"",""
ball,1,4.1,Sunrisers Hyderabad,Nithish Kumar Reddy,RA Tripathi,MA Starc,4,0,,,,,,"",""
ball,1,4.2,Sunrisers Hyderabad,Nithish Kumar Reddy,RA Tripathi,MA Starc,1,0,,,,,,"",""
ball,1,4.3,Sunrisers Hyderabad,RA Tripathi,Nithish Kumar Reddy,MA Starc,1,0,,,,,,"",""
ball,1,4.4,Sunrisers Hyderabad,Nithish Kumar Reddy,RA Tripathi,MA Starc,0,0,,,,,,"",""
ball,1,4.5,Sunrisers Hyderabad,Nithish Kumar Reddy,RA Tripathi,MA Starc,0,0,,,,,,caught,Nithish Kumar Reddy
ball,1,4.6,Sunrisers Hyderabad,Shahbaz Ahmed,RA Tripathi,MA Starc,0,0,,,,,,bowled,Shahbaz Ahmed
ball,1,5.1,Sunrisers Hyderabad,RA Tripathi,H Klaasen,Harshit Rana,0,0,,,,,,"",""
ball,1,5.2,Sunrisers Hyderabad,RA Tripathi,H Klaasen,Harshit Rana,1,0,,,,,,"",""
ball,1,5.3,Sunrisers Hyderabad,H Klaasen,RA Tripathi,Harshit Rana,4,0,,,,,,"",""
ball,1,5.4,Sunrisers Hyderabad,H Klaasen,RA Tripathi,Harshit Rana,0,0,,,,,,"",""
ball,1,5.5,Sunrisers Hyderabad,H Klaasen,RA Tripathi,Harshit Rana,0,0,,,,,,"",""
ball,1,5.6,Sunrisers Hyderabad,H Klaasen,RA Tripathi,Harshit Rana,1,0,,,,,,"",""
ball,1,6.1,Sunrisers Hyderabad,H Klaasen,RA Tripathi,SP Narine,1,0,,,,,,"",""
ball,1,6.2,Sunrisers Hyderabad,RA Tripathi,H Klaasen,SP Narine,1,0,,,,,,"",""
ball,1,6.3,Sunrisers Hyderabad,H Klaasen,RA Tripathi,SP Narine,0,0,,,,,,"",""
ball,1,6.4,Sunrisers Hyderabad,H Klaasen,RA Tripathi,SP Narine,1,0,,,,,,"",""
ball,1,6.5,Sunrisers Hyderabad,RA Tripathi,H Klaasen,SP Narine,1,0,,,,,,"",""
ball,1,6.6,Sunrisers Hyderabad,H Klaasen,RA Tripathi,SP Narine,1,0,,,,,,"",""
ball,1,7.1,Sunrisers Hyderabad,H Klaasen,RA Tripathi,Harshit Rana,1,0,,,,,,"",""
ball,1,7.2,Sunrisers Hyderabad,RA Tripathi,H Klaasen,Harshit Rana,1,0,,,,,,"",""
ball,1,7.3,Sunrisers Hyderabad,H Klaasen,RA Tripathi,Harshit Rana,1,0,,,,,,"",""
ball,1,7.4,Sunrisers Hyderabad,RA Tripathi,H Klaasen,Harshit Rana,0,1,1,,,,,"",""
ball,1,7.5,Sunrisers Hyderabad,RA Tripathi,H Klaasen,Harshit Rana,6,0,,,,,,"",""
ball,1,7.6,Sunrisers Hyderabad,RA Tripathi,H Klaasen,Harshit Rana,1,0,,,,,,"",""
ball,1,7.7,Sunrisers Hyderabad,H Klaasen,RA Tripathi,Harshit Rana,1,0,,,,,,"",""
ball,1,8.1,Sunrisers Hyderabad,H Klaasen,RA Tripathi,SP Narine,1,0,,,,,,"",""
ball,1,8.2,Sunrisers Hyderabad,RA Tripathi,H Klaasen,SP Narine,4,0,,,,,,"",""
ball,1,8.3,Sunrisers Hyderabad,RA Tripathi,H Klaasen,SP Narine,1,0,,,,,,"",""
ball,1,8.4,Sunrisers Hyderabad,H Klaasen,RA Tripathi,SP Narine,2,0,,,,,,"",""
ball,1,8.5,Sunrisers Hyderabad,H Klaasen,RA Tripathi,SP Narine,6,0,,,,,,"",""
ball,1,8.6,Sunrisers Hyderabad,H Klaasen,RA Tripathi,SP Narine,4,0,,,,,,"",""
ball,1,9.1,Sunrisers Hyderabad,RA Tripathi,H Klaasen,AD Russell,1,0,,,,,,"",""
ball,1,9.2,Sunrisers Hyderabad,H Klaasen,RA Tripathi,AD Russell,4,0,,,,,,"",""
ball,1,9.3,Sunrisers Hyderabad,H Klaasen,RA Tripathi,AD Russell,1,0,,,,,,"",""
ball,1,9.4,Sunrisers Hyderabad,RA Tripathi,H Klaasen,AD Russell,4,0,,,,,,"",""
ball,1,9.5,Sunrisers Hyderabad,RA Tripathi,H Klaasen,AD Russell,1,0,,,,,,"",""
ball,1,9.6,Sunrisers Hyderabad,H Klaasen,RA Tripathi,AD Russell,1,0,,,,,,"",""
ball,1,10.1,Sunrisers Hyderabad,H Klaasen,RA Tripathi,CV Varun,1,1,,1,,,,"",""
ball,1,10.2,Sunrisers Hyderabad,RA Tripathi,H Klaasen,CV Varun,0,0,,,,,,"",""
ball,1,10.3,Sunrisers Hyderabad,RA Tripathi,H Klaasen,CV Varun,1,0,,,,,,"",""
ball,1,10.4,Sunrisers Hyderabad,H Klaasen,RA Tripathi,CV Varun,1,0,,,,,,"",""
ball,1,10.5,Sunrisers Hyderabad,RA Tripathi,H Klaasen,CV Varun,4,0,,,,,,"",""
ball,1,10.6,Sunrisers Hyderabad,RA Tripathi,H Klaasen,CV Varun,1,0,,,,,,"",""
ball,1,10.7,Sunrisers Hyderabad,H Klaasen,RA Tripathi,CV Varun,0,0,,,,,,caught,H Klaasen
ball,1,11.1,Sunrisers Hyderabad,RA Tripathi,Abdul Samad,SP Narine,1,0,,,,,,"",""
ball,1,11.2,Sunrisers Hyderabad,Abdul Samad,RA Tripathi,SP Narine,6,0,,,,,,"",""
ball,1,11.3,Sunrisers Hyderabad,Abdul Samad,RA Tripathi,SP Narine,0,0,,,,,,"",""
ball,1,11.4,Sunrisers Hyderabad,Abdul Samad,RA Tripathi,SP Narine,0,0,,,,,,"",""
ball,1,11.5,Sunrisers Hyderabad,Abdul Samad,RA Tripathi,SP Narine,1,0,,,,,,"",""
ball,1,11.6,Sunrisers Hyderabad,RA Tripathi,Abdul Samad,SP Narine,1,0,,,,,,"",""
ball,1,12.1,Sunrisers Hyderabad,RA Tripathi,Abdul Samad,CV Varun,0,1,1,,,,,"",""
ball,1,12.2,Sunrisers Hyderabad,RA Tripathi,Abdul Samad,CV Varun,1,0,,,,,,"",""
