version,1.7.0
info,balls_per_over,6
info,team,Gujarat Titans
info,team,Mumbai Indians
info,gender,male
info,season,2023
info,date,2023/04/25
info,event,Indian Premier League
info,match_number,35
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Mumbai Indians
info,toss_decision,field
info,player_of_match,A Manohar
info,umpire,AK Chaudhary
info,umpire,A Nand Kishore
info,reserve_umpire,M Krishnadas
info,tv_umpire,CB Gaffaney
info,match_referee,SA Satbhai
info,winner,Gujarat Titans
info,winner_runs,55
info,player,Gujarat Titans,J Little
info,player,Gujarat Titans,WP Saha
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,HH Pandya
info,player,Gujarat Titans,V Shankar
info,player,Gujarat Titans,DA Miller
info,player,Gujarat Titans,A Manohar
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,MM Sharma
info,player,Gujarat Titans,Mohammed Shami
info,player,Gujarat Titans,Noor Ahmad
info,player,Mumbai Indians,K Kartikeya
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,Ishan Kishan
info,player,Mumbai Indians,C Green
info,player,Mumbai Indians,Tilak Varma
info,player,Mumbai Indians,SA Yadav
info,player,Mumbai Indians,TH David
info,player,Mumbai Indians,N Wadhera
info,player,Mumbai Indians,PP Chawla
info,player,Mumbai Indians,Arjun Tendulkar
info,player,Mumbai Indians,JP Behrendorff
info,player,Mumbai Indians,RP Meredith
info,registry,people,A Manohar,0890552f
info,registry,people,A Nand Kishore,84424f4f
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,Arjun Tendulkar,44aac2f0
info,registry,people,C Green,eaa76d3c
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,DA Miller,d67d5f00
info,registry,people,HH Pandya,dbe50b21
info,registry,people,Ishan Kishan,752f7486
info,registry,people,J Little,9061a703
info,registry,people,JP Behrendorff,4933f499
info,registry,people,K Kartikeya,f6d8a7ab
info,registry,people,M Krishnadas,e298c588
info,registry,people,MM Sharma,759ac88f
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,N Wadhera,d1a60072
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,PP Chawla,98ae73b1
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RG Sharma,740742ef
info,registry,people,RP Meredith,64775749
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SA Satbhai,1b80ebeb
info,registry,people,SA Yadav,271f83cd
info,registry,people,Shubman Gill,b4b99816
info,registry,people,TH David,f1f99156
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,V Shankar,0994d0ae
info,registry,people,WP Saha,fe11caa6
ball,1,0.1,Gujarat Titans,WP Saha,Shubman Gill,Arjun Tendulkar,0,0,,,,,,"",""
ball,1,0.2,Gujarat Titans,WP Saha,Shubman Gill,Arjun Tendulkar,0,0,,,,,,"",""
ball,1,0.3,Gujarat Titans,WP Saha,Shubman Gill,Arjun Tendulkar,3,0,,,,,,"",""
ball,1,0.4,Gujarat Titans,Shubman Gill,WP Saha,Arjun Tendulkar,1,0,,,,,,"",""
ball,1,0.5,Gujarat Titans,WP Saha,Shubman Gill,Arjun Tendulkar,0,0,,,,,,"",""
ball,1,0.6,Gujarat Titans,WP Saha,Shubman Gill,Arjun Tendulkar,0,0,,,,,,"",""
ball,1,1.1,Gujarat Titans,Shubman Gill,WP Saha,JP Behrendorff,0,0,,,,,,"",""
ball,1,1.2,Gujarat Titans,Shubman Gill,WP Saha,JP Behrendorff,0,0,,,,,,"",""
ball,1,1.3,Gujarat Titans,Shubman Gill,WP Saha,JP Behrendorff,4,0,,,,,,"",""
ball,1,1.4,Gujarat Titans,Shubman Gill,WP Saha,JP Behrendorff,2,0,,,,,,"",""
ball,1,1.5,Gujarat Titans,Shubman Gill,WP Saha,JP Behrendorff,1,0,,,,,,"",""
ball,1,1.6,Gujarat Titans,WP Saha,Shubman Gill,JP Behrendorff,1,0,,,,,,"",""
ball,1,2.1,Gujarat Titans,WP Saha,Shubman Gill,Arjun Tendulkar,0,0,,,,,,caught,WP Saha
ball,1,2.2,Gujarat Titans,HH Pandya,Shubman Gill,Arjun Tendulkar,0,0,,,,,,"",""
ball,1,2.3,Gujarat Titans,HH Pandya,Shubman Gill,Arjun Tendulkar,0,0,,,,,,"",""
ball,1,2.4,Gujarat Titans,HH Pandya,Shubman Gill,Arjun Tendulkar,2,0,,,,,,"",""
ball,1,2.5,Gujarat Titans,HH Pandya,Shubman Gill,Arjun Tendulkar,2,0,,,,,,"",""
ball,1,2.6,Gujarat Titans,HH Pandya,Shubman Gill,Arjun Tendulkar,1,0,,,,,,"",""
ball,1,3.1,Gujarat Titans,HH Pandya,Shubman Gill,JP Behrendorff,0,0,,,,,,"",""
ball,1,3.2,Gujarat Titans,HH Pandya,Shubman Gill,JP Behrendorff,0,0,,,,,,"",""
ball,1,3.3,Gujarat Titans,HH Pandya,Shubman Gill,JP Behrendorff,0,0,,,,,,"",""
ball,1,3.4,Gujarat Titans,HH Pandya,Shubman Gill,JP Behrendorff,1,0,,,,,,"",""
ball,1,3.5,Gujarat Titans,Shubman Gill,HH Pandya,JP Behrendorff,1,0,,,,,,"",""
ball,1,3.6,Gujarat Titans,HH Pandya,Shubman Gill,JP Behrendorff,4,0,,,,,,"",""
