version,1.7.0
info,balls_per_over,6
info,team,Punjab Kings
info,team,Rajasthan Royals
info,gender,male
info,season,2023
info,date,2023/04/05
info,event,Indian Premier League
info,match_number,8
info,venue,"Barsapara Cricket Stadium, Guwahati"
info,city,Guwahati
info,toss_winner,Rajasthan Royals
info,toss_decision,field
info,player_of_match,NT Ellis
info,umpire,KN Ananthapadmanabhan
info,umpire,MV Saidharshan Kumar
info,reserve_umpire,Abhijit Bhattacharya
info,tv_umpire,R Pandit
info,match_referee,V Narayan Kutty
info,winner,Punjab Kings
info,winner_runs,5
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,S Dhawan
info,player,Punjab Kings,PBB Rajapaksa
info,player,Punjab Kings,JM Sharma
info,player,Punjab Kings,Sikandar Raza
info,player,Punjab Kings,M Shahrukh Khan
info,player,Punjab Kings,SM Curran
info,player,Punjab Kings,Harpreet Brar
info,player,Punjab Kings,NT Ellis
info,player,Punjab Kings,RD Chahar
info,player,Punjab Kings,Arshdeep Singh
info,player,Punjab Kings,R Dhawan
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,R Ashwin
info,player,Rajasthan Royals,JC Buttler
info,player,Rajasthan Royals,SV Samson
info,player,Rajasthan Royals,D Padikkal
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,JO Holder
info,player,Rajasthan Royals,YS Chahal
info,player,Rajasthan Royals,TA Boult
info,player,Rajasthan Royals,KM Asif
info,registry,people,Abhijit Bhattacharya,59ec9638
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,Harpreet Brar,c05edf8e
info,registry,people,JC Buttler,99b75528
info,registry,people,JM Sharma,800d2d97
info,registry,people,JO Holder,0f721006
info,registry,people,KM Asif,798cc28e
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,MV Saidharshan Kumar,54b6007b
info,registry,people,MW Short,a90e53ec
info,registry,people,NT Ellis,9eb1455b
info,registry,people,P Simran Singh,9418198b
info,registry,people,PBB Rajapaksa,6c882e9a
info,registry,people,R Ashwin,495d42a5
info,registry,people,R Dhawan,26a85969
info,registry,people,R Pandit,8a604384
info,registry,people,R Parag,04a418e8
info,registry,people,RD Chahar,2ed569a0
info,registry,people,S Dhawan,0a476045
info,registry,people,SM Curran,e94915e6
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,TA Boult,a818c1be
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,YBK Jaiswal,6c19c6e5
info,registry,people,YS Chahal,57ee1fde
ball,1,0.1,Punjab Kings,P Simran Singh,S Dhawan,TA Boult,1,0,,,,,,"",""
ball,1,0.2,Punjab Kings,S Dhawan,P Simran Singh,TA Boult,0,2,2,,,,,"",""
ball,1,0.3,Punjab Kings,P Simran Singh,S Dhawan,TA Boult,0,0,,,,,,"",""
ball,1,0.4,Punjab Kings,P Simran Singh,S Dhawan,TA Boult,4,0,,,,,,"",""
ball,1,0.5,Punjab Kings,P Simran Singh,S Dhawan,TA Boult,0,0,,,,,,"",""
ball,1,0.6,Punjab Kings,P Simran Singh,S Dhawan,TA Boult,0,0,,,,,,"",""
ball,1,0.7,Punjab Kings,P Simran Singh,S Dhawan,TA Boult,0,0,,,,,,"",""
ball,1,1.1,Punjab Kings,S Dhawan,P Simran Singh,KM Asif,0,0,,,,,,"",""
ball,1,1.2,Punjab Kings,S Dhawan,P Simran Singh,KM Asif,2,0,,,,,,"",""
ball,1,1.3,Punjab Kings,S Dhawan,P Simran Singh,KM Asif,0,0,,,,,,"",""
ball,1,1.4,Punjab Kings,S Dhawan,P Simran Singh,KM Asif,1,0,,,,,,"",""
ball,1,1.5,Punjab Kings,P Simran Singh,S Dhawan,KM Asif,6,0,,,,,,"",""
ball,1,1.6,Punjab Kings,P Simran Singh,S Dhawan,KM Asif,0,0,,,,,,"",""
ball,1,2.1,Punjab Kings,S Dhawan,P Simran Singh,TA Boult,0,0,,,,,,"",""
ball,1,2.2,Punjab Kings,S Dhawan,P Simran Singh,TA Boult,4,0,,,,,,"",""
ball,1,2.3,Punjab Kings,S Dhawan,P Simran Singh,TA Boult,4,0,,,,,,"",""
ball,1,2.4,Punjab Kings,S Dhawan,P Simran Singh,TA Boult,0,0,,,,,,"",""
ball,1,2.5,Punjab Kings,S Dhawan,P Simran Singh,TA Boult,1,0,,,,,,"",""
ball,1,2.6,Punjab Kings,P Simran Singh,S Dhawan,TA Boult,1,0,,,,,,"",""
ball,1,3.1,Punjab Kings,P Simran Singh,S Dhawan,KM Asif,4,0,,,,,,"",""
ball,1,3.2,Punjab Kings,P Simran Singh,S Dhawan,KM Asif,0,0,,,,,,"",""
ball,1,3.3,Punjab Kings,P Simran Singh,S Dhawan,KM Asif,4,0,,,,,,"",""
ball,1,3.4,Punjab Kings,P Simran Singh,S Dhawan,KM Asif,6,0,,,,,,"",""
ball,1,3.5,Punjab Kings,P Simran Singh,S Dhawan,KM Asif,0,0,,,,,,"",""
ball,1,3.6,Punjab Kings,P Simran Singh,S Dhawan,KM Asif,0,1,1,,,,,"",""
ball,1,3.7,Punjab Kings,P Simran Singh,S Dhawan,KM Asif,4,0,,,,,,"",""
ball,1,4.1,Punjab Kings,S Dhawan,P Simran Singh,R Ashwin,1,0,,,,,,"",""
ball,1,4.2,Punjab Kings,P Simran Singh,S Dhawan,R Ashwin,4,0,,,,,,"",""
ball,1,4.3,Punjab Kings,P Simran Singh,S Dhawan,R Ashwin,4,0,,,,,,"",""
ball,1,4.4,Punjab Kings,P Simran Singh,S Dhawan,R Ashwin,0,1,1,,,,,"",""
ball,1,4.5,Punjab Kings,P Simran Singh,S Dhawan,R Ashwin,1,0,,,,,,"",""
ball,1,4.6,Punjab Kings,S Dhawan,P Simran Singh,R Ashwin,0,0,,,,,,"",""
ball,1,4.7,Punjab Kings,S Dhawan,P Simran Singh,R Ashwin,0,0,,,,,,"",""
ball,1,5.1,Punjab Kings,P Simran Singh,S Dhawan,JO Holder,0,0,,,,,,"",""
