version,1.7.0
info,balls_per_over,6
info,team,Mumbai Indians
info,team,Rajasthan Royals
info,gender,male
info,season,2024
info,date,2024/04/22
info,event,Indian Premier League
info,match_number,38
info,venue,"Sawai Mansingh Stadium, Jaipur"
info,city,Jaipur
info,toss_winner,Mumbai Indians
info,toss_decision,bat
info,player_of_match,Sandeep Sharma
info,umpire,AK Chaudhary
info,umpire,MV Saidharshan Kumar
info,reserve_umpire,R Rajesh Kannan
info,tv_umpire,BNJ Oxenford
info,match_referee,M Nayyar
info,winner,Rajasthan Royals
info,winner_wickets,9
info,player,Mumbai Indians,N Thushara
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,Ishan Kishan
info,player,Mumbai Indians,SA Yadav
info,player,Mumbai Indians,Tilak Varma
info,player,Mumbai Indians,Mohammad Nabi
info,player,Mumbai Indians,N Wadhera
info,player,Mumbai Indians,HH Pandya
info,player,Mumbai Indians,TH David
info,player,Mumbai Indians,G Coetzee
info,player,Mumbai Indians,PP Chawla
info,player,Mumbai Indians,JJ Bumrah
info,player,Rajasthan Royals,YS Chahal
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,JC Buttler
info,player,Rajasthan Royals,SV Samson
info,player,Rajasthan Royals,R Powell
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,R Ashwin
info,player,Rajasthan Royals,TA Boult
info,player,Rajasthan Royals,Avesh Khan
info,player,Rajasthan Royals,Sandeep Sharma
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,Avesh Khan,eef2536f
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,G Coetzee,3204c99f
info,registry,people,HH Pandya,dbe50b21
info,registry,people,Ishan Kishan,752f7486
info,registry,people,JC Buttler,99b75528
info,registry,people,JJ Bumrah,462411b3
info,registry,people,M Nayyar,b7bccddb
info,registry,people,MV Saidharshan Kumar,54b6007b
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,N Thushara,ee1b6c27
info,registry,people,N Wadhera,d1a60072
info,registry,people,PP Chawla,98ae73b1
info,registry,people,R Ashwin,495d42a5
info,registry,people,R Parag,04a418e8
info,registry,people,R Powell,650d5e49
info,registry,people,R Rajesh Kannan,c9062c3e
info,registry,people,RG Sharma,740742ef
info,registry,people,SA Yadav,271f83cd
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Sandeep Sharma,ce820073
info,registry,people,TA Boult,a818c1be
info,registry,people,TH David,f1f99156
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,YBK Jaiswal,6c19c6e5
info,registry,people,YS Chahal,57ee1fde
ball,1,0.1,Mumbai Indians,RG Sharma,Ishan Kishan,TA Boult,2,0,,,,,,"",""
ball,1,0.2,Mumbai Indians,RG Sharma,Ishan Kishan,TA Boult,4,0,,,,,,"",""
ball,1,0.3,Mumbai Indians,RG Sharma,Ishan Kishan,TA Boult,0,0,,,,,,"",""
ball,1,0.4,Mumbai Indians,RG Sharma,Ishan Kishan,TA Boult,0,0,,,,,,"",""
ball,1,0.5,Mumbai Indians,RG Sharma,Ishan Kishan,TA Boult,0,0,,,,,,caught,RG Sharma
ball,1,0.6,Mumbai Indians,SA Yadav,Ishan Kishan,TA Boult,0,0,,,,,,"",""
ball,1,1.1,Mumbai Indians,Ishan Kishan,SA Yadav,Sandeep Sharma,0,0,,,,,,"",""
ball,1,1.2,Mumbai Indians,Ishan Kishan,SA Yadav,Sandeep Sharma,0,0,,,,,,"",""
ball,1,1.3,Mumbai Indians,Ishan Kishan,SA Yadav,Sandeep Sharma,0,0,,,,,,caught,Ishan Kishan
ball,1,1.4,Mumbai Indians,Tilak Varma,SA Yadav,Sandeep Sharma,1,0,,,,,,"",""
ball,1,1.5,Mumbai Indians,SA Yadav,Tilak Varma,Sandeep Sharma,1,0,,,,,,"",""
ball,1,1.6,Mumbai Indians,Tilak Varma,SA Yadav,Sandeep Sharma,1,0,,,,,,"",""
ball,1,2.1,Mumbai Indians,Tilak Varma,SA Yadav,TA Boult,0,1,1,,,,,"",""
ball,1,2.2,Mumbai Indians,Tilak Varma,SA Yadav,TA Boult,1,0,,,,,,"",""
ball,1,2.3,Mumbai Indians,SA Yadav,Tilak Varma,TA Boult,4,0,,,,,,"",""
ball,1,2.4,Mumbai Indians,SA Yadav,Tilak Varma,TA Boult,0,0,,,,,,"",""
ball,1,2.5,Mumbai Indians,SA Yadav,Tilak Varma,TA Boult,4,0,,,,,,"",""
ball,1,2.6,Mumbai Indians,SA Yadav,Tilak Varma,TA Boult,0,0,,,,,,"",""
ball,1,2.7,Mumbai Indians,SA Yadav,Tilak Varma,TA Boult,1,0,,,,,,"",""
ball,1,3.1,Mumbai Indians,SA Yadav,Tilak Varma,Sandeep Sharma,0,0,,,,,,caught,SA Yadav
ball,1,3.2,Mumbai Indians,Mohammad Nabi,Tilak Varma,Sandeep Sharma,0,0,,,,,,"",""
ball,1,3.3,Mumbai Indians,Mohammad Nabi,Tilak Varma,Sandeep Sharma,0,0,,,,,,"",""
ball,1,3.4,Mumbai Indians,Mohammad Nabi,Tilak Varma,Sandeep Sharma,0,0,,,,,,"",""
ball,1,3.5,Mumbai Indians,Mohammad Nabi,Tilak Varma,Sandeep Sharma,0,0,,,,,,"",""
ball,1,3.6,Mumbai Indians,Mohammad Nabi,Tilak Varma,Sandeep Sharma,1,0,,,,,,"",""
