version,1.7.0
info,balls_per_over,6
info,team,Chennai Super Kings
info,team,Gujarat Titans
info,gender,male
info,season,2024
info,date,2024/03/26
info,event,Indian Premier League
info,match_number,7
info,venue,"MA Chidambaram Stadium, Chepauk, Chennai"
info,city,Chennai
info,toss_winner,Gujarat Titans
info,toss_decision,field
info,player_of_match,S Dube
info,umpire,AG Wharf
info,umpire,Tapan Sharma
info,reserve_umpire,PM Joshi
info,tv_umpire,J Madanagopal
info,match_referee,V Narayan Kutty
info,winner,Chennai Super Kings
info,winner_runs,63
info,player,Chennai Super Kings,M Pathirana
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,R Ravindra
info,player,Chennai Super Kings,AM Rahane
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,DJ Mitchell
info,player,Chennai Super Kings,Sameer Rizvi
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,DL Chahar
info,player,Chennai Super Kings,TU Deshpande
info,player,Chennai Super Kings,Mustafizur Rahman
info,player,Gujarat Titans,MM Sharma
info,player,Gujarat Titans,WP Saha
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,V Shankar
info,player,Gujarat Titans,DA Miller
info,player,Gujarat Titans,Azmatullah Omarzai
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,UT Yadav
info,player,Gujarat Titans,SH Johnson
info,player,Gujarat Titans,R Sai Kishore
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AM Rahane,29e95537
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,DA Miller,d67d5f00
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DL Chahar,23eeb873
info,registry,people,J Madanagopal,8275b04a
info,registry,people,M Pathirana,64839cb3
info,registry,people,MM Sharma,759ac88f
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,PM Joshi,0dcc9a8c
info,registry,people,R Ravindra,ba5e1069
info,registry,people,R Sai Kishore,c7a995d3
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,S Dube,a4e37e47
info,registry,people,SH Johnson,83c3e8e3
info,registry,people,Sameer Rizvi,f89d3b11
info,registry,people,Shubman Gill,b4b99816
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,Tapan Sharma,b9aa2b6e
info,registry,people,UT Yadav,cc1e8c68
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,V Shankar,0994d0ae
info,registry,people,WP Saha,fe11caa6
ball,1,0.1,Chennai Super Kings,RD Gaikwad,R Ravindra,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,0.2,Chennai Super Kings,RD Gaikwad,R Ravindra,Azmatullah Omarzai,1,0,,,,,,"",""
ball,1,0.3,Chennai Super Kings,R Ravindra,RD Gaikwad,Azmatullah Omarzai,1,0,,,,,,"",""
ball,1,0.4,Chennai Super Kings,RD Gaikwad,R Ravindra,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,0.5,Chennai Super Kings,RD Gaikwad,R Ravindra,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,0.6,Chennai Super Kings,RD Gaikwad,R Ravindra,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,1.1,Chennai Super Kings,R Ravindra,RD Gaikwad,UT Yadav,0,0,,,,,,"",""
ball,1,1.2,Chennai Super Kings,R Ravindra,RD Gaikwad,UT Yadav,0,0,,,,,,"",""
ball,1,1.3,Chennai Super Kings,R Ravindra,RD Gaikwad,UT Yadav,0,0,,,,,,"",""
ball,1,1.4,Chennai Super Kings,R Ravindra,RD Gaikwad,UT Yadav,0,1,1,,,,,"",""
ball,1,1.5,Chennai Super Kings,R Ravindra,RD Gaikwad,UT Yadav,6,0,,,,,,"",""
ball,1,1.6,Chennai Super Kings,R Ravindra,RD Gaikwad,UT Yadav,4,0,,,,,,"",""
ball,1,1.7,Chennai Super Kings,R Ravindra,RD Gaikwad,UT Yadav,0,0,,,,,,"",""
ball,1,2.1,Chennai Super Kings,RD Gaikwad,R Ravindra,Azmatullah Omarzai,2,0,,,,,,"",""
ball,1,2.2,Chennai Super Kings,RD Gaikwad,R Ravindra,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,2.3,Chennai Super Kings,RD Gaikwad,R Ravindra,Azmatullah Omarzai,1,0,,,,,,"",""
ball,1,2.4,Chennai Super Kings,R Ravindra,RD Gaikwad,Azmatullah Omarzai,4,0,,,,,,"",""
ball,1,2.5,Chennai Super Kings,R Ravindra,RD Gaikwad,Azmatullah Omarzai,4,0,,,,,,"",""
ball,1,2.6,Chennai Super Kings,R Ravindra,RD Gaikwad,Azmatullah Omarzai,1,0,,,,,,"",""
ball,1,3.1,Chennai Super Kings,R Ravindra,RD Gaikwad,UT Yadav,6,0,,,,,,"",""
ball,1,3.2,Chennai Super Kings,R Ravindra,RD Gaikwad,UT Yadav,4,0,,,,,,"",""
ball,1,3.3,Chennai Super Kings,R Ravindra,RD Gaikwad,UT Yadav,1,0,,,,,,"",""
ball,1,3.4,Chennai Super Kings,RD Gaikwad,R Ravindra,UT Yadav,4,0,,,,,,"",""
ball,1,3.5,Chennai Super Kings,RD Gaikwad,R Ravindra,UT Yadav,1,0,,,,,,"",""
ball,1,3.6,Chennai Super Kings,R Ravindra,RD Gaikwad,UT Yadav,0,0,,,,,,"",""
ball,1,4.1,Chennai Super Kings,RD Gaikwad,R Ravindra,Azmatullah Omarzai,4,0,,,,,,"",""
ball,1,4.2,Chennai Super Kings,RD Gaikwad,R Ravindra,Azmatullah Omarzai,0,1,,,,1,,"",""
ball,1,4.3,Chennai Super Kings,R Ravindra,RD Gaikwad,Azmatullah Omarzai,6,0,,,,,,"",""
