version,1.7.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Punjab Kings
info,gender,male
info,season,2024
info,date,2024/05/15
info,event,Indian Premier League
info,match_number,65
info,venue,"Barsapara Cricket Stadium, Guwahati"
info,city,Guwahati
info,toss_winner,Rajasthan Royals
info,toss_decision,bat
info,player_of_match,SM Curran
info,umpire,R Pandit
info,umpire,MV Saidharshan Kumar
info,reserve_umpire,R Rajesh Kannan
info,tv_umpire,AK Chaudhary
info,match_referee,Shakti Singh
info,winner,Punjab Kings
info,winner_wickets,5
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,T Kohler-Cadmore
info,player,Rajasthan Royals,SV Samson
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,R Ashwin
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,R Powell
info,player,Rajasthan Royals,D Ferreira
info,player,Rajasthan Royals,TA Boult
info,player,Rajasthan Royals,Avesh Khan
info,player,Rajasthan Royals,Sandeep Sharma
info,player,Rajasthan Royals,YS Chahal
info,player,Punjab Kings,Arshdeep Singh
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,JM Bairstow
info,player,Punjab Kings,RR Rossouw
info,player,Punjab Kings,Shashank Singh
info,player,Punjab Kings,SM Curran
info,player,Punjab Kings,JM Sharma
info,player,Punjab Kings,Ashutosh Sharma
info,player,Punjab Kings,Harpreet Brar
info,player,Punjab Kings,HV Patel
info,player,Punjab Kings,NT Ellis
info,player,Punjab Kings,RD Chahar
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,Ashutosh Sharma,84d9c311
info,registry,people,Avesh Khan,eef2536f
info,registry,people,D Ferreira,f0af99a7
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,HV Patel,f986ca1a
info,registry,people,Harpreet Brar,c05edf8e
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JM Sharma,800d2d97
info,registry,people,MV Saidharshan Kumar,54b6007b
info,registry,people,NT Ellis,9eb1455b
info,registry,people,P Simran Singh,9418198b
info,registry,people,R Ashwin,495d42a5
info,registry,people,R Pandit,8a604384
info,registry,people,R Parag,04a418e8
info,registry,people,R Powell,650d5e49
info,registry,people,R Rajesh Kannan,c9062c3e
info,registry,people,RD Chahar,2ed569a0
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,SM Curran,e94915e6
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Sandeep Sharma,ce820073
info,registry,people,Shakti Singh,eb90d319
info,registry,people,Shashank Singh,26989d80
info,registry,people,T Kohler-Cadmore,f836b33d
info,registry,people,TA Boult,a818c1be
info,registry,people,YBK Jaiswal,6c19c6e5
info,registry,people,YS Chahal,57ee1fde
ball,1,0.1,Rajasthan Royals,YBK Jaiswal,T Kohler-Cadmore,SM Curran,4,0,,,,,,"",""
ball,1,0.2,Rajasthan Royals,YBK Jaiswal,T Kohler-Cadmore,SM Curran,0,0,,,,,,"",""
ball,1,0.3,Rajasthan Royals,YBK Jaiswal,T Kohler-Cadmore,SM Curran,0,0,,,,,,"",""
ball,1,0.4,Rajasthan Royals,YBK Jaiswal,T Kohler-Cadmore,SM Curran,0,0,,,,,,bowled,YBK Jaiswal
ball,1,0.5,Rajasthan Royals,SV Samson,T Kohler-Cadmore,SM Curran,1,0,,,,,,"",""
ball,1,0.6,Rajasthan Royals,T Kohler-Cadmore,SV Samson,SM Curran,4,0,,,,,,"",""
ball,1,1.1,Rajasthan Royals,SV Samson,T Kohler-Cadmore,Arshdeep Singh,1,0,,,,,,"",""
ball,1,1.2,Rajasthan Royals,T Kohler-Cadmore,SV Samson,Arshdeep Singh,0,0,,,,,,"",""
ball,1,1.3,Rajasthan Royals,T Kohler-Cadmore,SV Samson,Arshdeep Singh,0,0,,,,,,"",""
ball,1,1.4,Rajasthan Royals,T Kohler-Cadmore,SV Samson,Arshdeep Singh,1,0,,,,,,"",""
ball,1,1.5,Rajasthan Royals,SV Samson,T Kohler-Cadmore,Arshdeep Singh,0,0,,,,,,"",""
ball,1,1.6,Rajasthan Royals,SV Samson,T Kohler-Cadmore,Arshdeep Singh,4,0,,,,,,"",""
ball,1,2.1,Rajasthan Royals,T Kohler-Cadmore,SV Samson,SM Curran,0,0,,,,,,"",""
ball,1,2.2,Rajasthan Royals,T Kohler-Cadmore,SV Samson,SM Curran,6,0,,,,,,"",""
ball,1,2.3,Rajasthan Royals,T Kohler-Cadmore,SV Samson,SM Curran,0,0,,,,,,"",""
ball,1,2.4,Rajasthan Royals,T Kohler-Cadmore,SV Samson,SM Curran,0,0,,,,,,"",""
ball,1,2.5,Rajasthan Royals,T Kohler-Cadmore,SV Samson,SM Curran,0,0,,,,,,"",""
ball,1,2.6,Rajasthan Royals,T Kohler-Cadmore,SV Samson,SM Curran,0,0,,,,,,"",""
ball,1,3.1,Rajasthan Royals,SV Samson,T Kohler-Cadmore,Arshdeep Singh,2,0,,,,,,"",""
ball,1,3.2,Rajasthan Royals,SV Samson,T Kohler-Cadmore,Arshdeep Singh,4,0,,,,,,"",""
ball,1,3.3,Rajasthan Royals,SV Samson,T Kohler-Cadmore,Arshdeep Singh,0,0,,,,,,"",""
ball,1,3.4,Rajasthan Royals,SV Samson,T Kohler-Cadmore,Arshdeep Singh,4,0,,,,,,"",""
ball,1,3.5,Rajasthan Royals,SV Samson,T Kohler-Cadmore,Arshdeep Singh,0,0,,,,,,"",""
ball,1,3.6,Rajasthan Royals,SV Samson,T Kohler-Cadmore,Arshdeep Singh,0,0,,,,,,"",""
ball,1,4.1,Rajasthan Royals,T Kohler-Cadmore,SV Samson,NT Ellis,1,0,,,,,,"",""
ball,1,4.2,Rajasthan Royals,SV Samson,T Kohler-Cadmore,NT Ellis,0,0,,,,,,"",""
ball,1,4.3,Rajasthan Royals,SV Samson,T Kohler-Cadmore,NT Ellis,1,0,,,,,,"",""
ball,1,4.4,Rajasthan Royals,T Kohler-Cadmore,SV Samson,NT Ellis,0,0,,,,,,"",""
ball,1,4.5,Rajasthan Royals,T Kohler-Cadmore,SV Samson,NT Ellis,0,0,,,,,,"",""
ball,1,4.6,Rajasthan Royals,T Kohler-Cadmore,SV Samson,NT Ellis,1,0,,,,,,"",""
ball,1,5.1,Rajasthan Royals,T Kohler-Cadmore,SV Samson,HV Patel,4,0,,,,,,"",""
ball,1,5.2,Rajasthan Royals,T Kohler-Cadmore,SV Samson,HV Patel,0,0,,,,,,"",""
ball,1,5.3,Rajasthan Royals,T Kohler-Cadmore,SV Samson,HV Patel,0,0,,,,,,"",""
ball,1,5.4,Rajasthan Royals,T Kohler-Cadmore,SV Samson,HV Patel,0,0,,,,,,"",""
ball,1,5.5,Rajasthan Royals,T Kohler-Cadmore,SV Samson,HV Patel,0,0,,,,,,"",""
ball,1,5.6,Rajasthan Royals,T Kohler-Cadmore,SV Samson,HV Patel,0,0,,,,,,"",""
ball,1,6.1,Rajasthan Royals,SV Samson,T Kohler-Cadmore,NT Ellis,1,0,,,,,,"",""
ball,1,6.2,Rajasthan Royals,T Kohler-Cadmore,SV Samson,NT Ellis,1,0,,,,,,"",""
ball,1,6.3,Rajasthan Royals,SV Samson,T Kohler-Cadmore,NT Ellis,0,0,,,,,,"",""
