version,1.7.0
info,balls_per_over,6
info,team,Delhi Capitals
info,team,Punjab Kings
info,gender,male
info,season,2023
info,date,2023/05/17
info,event,Indian Premier League
info,match_number,64
info,venue,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
info,city,Dharamsala
info,toss_winner,Punjab Kings
info,toss_decision,field
info,player_of_match,RR Rossouw
info,umpire,KN Ananthapadmanabhan
info,umpire,MV Saidharshan Kumar
info,reserve_umpire,P Joshi
info,tv_umpire,RJ Tucker
info,match_referee,P Dharmani
info,winner,Delhi Capitals
info,winner_runs,15
info,player,Delhi Capitals,Mukesh Kumar
info,player,Delhi Capitals,DA Warner
info,player,Delhi Capitals,PP Shaw
info,player,Delhi Capitals,RR Rossouw
info,player,Delhi Capitals,PD Salt
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,Aman Hakim Khan
info,player,Delhi Capitals,YV Dhull
info,player,Delhi Capitals,Kuldeep Yadav
info,player,Delhi Capitals,A Nortje
info,player,Delhi Capitals,I Sharma
info,player,Delhi Capitals,KK Ahmed
info,player,Punjab Kings,NT Ellis
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,S Dhawan
info,player,Punjab Kings,Atharva Taide
info,player,Punjab Kings,LS Livingstone
info,player,Punjab Kings,JM Sharma
info,player,Punjab Kings,M Shahrukh Khan
info,player,Punjab Kings,SM Curran
info,player,Punjab Kings,Harpreet Brar
info,player,Punjab Kings,RD Chahar
info,player,Punjab Kings,K Rabada
info,player,Punjab Kings,Arshdeep Singh
info,registry,people,A Nortje,acdc62f5
info,registry,people,AR Patel,2e171977
info,registry,people,Aman Hakim Khan,378daa89
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,Atharva Taide,1ac746c8
info,registry,people,DA Warner,dcce6f09
info,registry,people,Harpreet Brar,c05edf8e
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,JM Sharma,800d2d97
info,registry,people,K Rabada,e62dd25d
info,registry,people,KK Ahmed,a2f46292
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,MV Saidharshan Kumar,54b6007b
info,registry,people,Mukesh Kumar,2cffab74
info,registry,people,NT Ellis,9eb1455b
info,registry,people,P Dharmani,eaa90ab4
info,registry,people,P Joshi,ffc0e370
info,registry,people,P Simran Singh,9418198b
info,registry,people,PD Salt,3d284ca3
info,registry,people,PP Shaw,8b3e9c7c
info,registry,people,RD Chahar,2ed569a0
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,S Dhawan,0a476045
info,registry,people,SM Curran,e94915e6
info,registry,people,YV Dhull,dd7e9b3b
ball,1,0.1,Delhi Capitals,DA Warner,PP Shaw,SM Curran,0,0,,,,,,"",""
ball,1,0.2,Delhi Capitals,DA Warner,PP Shaw,SM Curran,0,0,,,,,,"",""
ball,1,0.3,Delhi Capitals,DA Warner,PP Shaw,SM Curran,1,0,,,,,,"",""
ball,1,0.4,Delhi Capitals,PP Shaw,DA Warner,SM Curran,0,0,,,,,,"",""
ball,1,0.5,Delhi Capitals,PP Shaw,DA Warner,SM Curran,2,0,,,,,,"",""
ball,1,0.6,Delhi Capitals,PP Shaw,DA Warner,SM Curran,1,0,,,,,,"",""
ball,1,1.1,Delhi Capitals,PP Shaw,DA Warner,K Rabada,1,0,,,,,,"",""
ball,1,1.2,Delhi Capitals,DA Warner,PP Shaw,K Rabada,0,0,,,,,,"",""
ball,1,1.3,Delhi Capitals,DA Warner,PP Shaw,K Rabada,0,0,,,,,,"",""
ball,1,1.4,Delhi Capitals,DA Warner,PP Shaw,K Rabada,1,0,,,,,,"",""
ball,1,1.5,Delhi Capitals,PP Shaw,DA Warner,K Rabada,0,0,,,,,,"",""
ball,1,1.6,Delhi Capitals,PP Shaw,DA Warner,K Rabada,0,0,,,,,,"",""
ball,1,2.1,Delhi Capitals,DA Warner,PP Shaw,SM Curran,2,0,,,,,,"",""
ball,1,2.2,Delhi Capitals,DA Warner,PP Shaw,SM Curran,0,0,,,,,,"",""
ball,1,2.3,Delhi Capitals,DA Warner,PP Shaw,SM Curran,1,0,,,,,,"",""
ball,1,2.4,Delhi Capitals,PP Shaw,DA Warner,SM Curran,1,0,,,,,,"",""
ball,1,2.5,Delhi Capitals,DA Warner,PP Shaw,SM Curran,4,0,,,,,,"",""
ball,1,2.6,Delhi Capitals,DA Warner,PP Shaw,SM Curran,4,0,,,,,,"",""
ball,1,3.1,Delhi Capitals,PP Shaw,DA Warner,K Rabada,4,0,,,,,,"",""
ball,1,3.2,Delhi Capitals,PP Shaw,DA Warner,K Rabada,0,0,,,,,,"",""
ball,1,3.3,Delhi Capitals,PP Shaw,DA Warner,K Rabada,1,0,,,,,,"",""
ball,1,3.4,Delhi Capitals,DA Warner,PP Shaw,K Rabada,6,0,,,,,,"",""
ball,1,3.5,Delhi Capitals,DA Warner,PP Shaw,K Rabada,0,0,,,,,,"",""
ball,1,3.6,Delhi Capitals,DA Warner,PP Shaw,K Rabada,6,0,,,,,,"",""
ball,1,4.1,Delhi Capitals,PP Shaw,DA Warner,Arshdeep Singh,0,1,1,,,,,"",""
ball,1,4.2,Delhi Capitals,PP Shaw,DA Warner,Arshdeep Singh,0,0,,,,,,"",""
ball,1,4.3,Delhi Capitals,PP Shaw,DA Warner,Arshdeep Singh,4,0,,,,,,"",""
