version,1.7.0
info,balls_per_over,6
info,team,Kolkata Knight Riders
info,team,Royal Challengers Bangalore
info,gender,male
info,season,2023
info,date,2023/04/06
info,event,Indian Premier League
info,match_number,9
info,venue,"Eden Gardens, Kolkata"
info,city,Kolkata
info,toss_winner,Royal Challengers Bangalore
info,toss_decision,field
info,player_of_match,SN Thakur
info,umpire,Vinod Seshan
info,umpire,VK Sharma
info,reserve_umpire,A Bengeri
info,tv_umpire,Nitin Menon
info,match_referee,Shakti Singh
info,winner,Kolkata Knight Riders
info,winner_runs,81
info,player,Kolkata Knight Riders,Suyash Sharma
info,player,Kolkata Knight Riders,Rahmanullah Gurbaz
info,player,Kolkata Knight Riders,VR Iyer
info,player,Kolkata Knight Riders,Mandeep Singh
info,player,Kolkata Knight Riders,N Rana
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,AD Russell
info,player,Kolkata Knight Riders,SN Thakur
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,UT Yadav
info,player,Kolkata Knight Riders,TG Southee
info,player,Kolkata Knight Riders,CV Varun
info,player,Royal Challengers Bangalore,Mohammed Siraj
info,player,Royal Challengers Bangalore,V Kohli
info,player,Royal Challengers Bangalore,F du Plessis
info,player,Royal Challengers Bangalore,MG Bracewell
info,player,Royal Challengers Bangalore,GJ Maxwell
info,player,Royal Challengers Bangalore,HV Patel
info,player,Royal Challengers Bangalore,Shahbaz Ahmed
info,player,Royal Challengers Bangalore,KD Karthik
info,player,Royal Challengers Bangalore,Anuj Rawat
info,player,Royal Challengers Bangalore,DJ Willey
info,player,Royal Challengers Bangalore,KV Sharma
info,player,Royal Challengers Bangalore,Akash Deep
info,registry,people,A Bengeri,c109497d
info,registry,people,AD Russell,bbd41817
info,registry,people,Akash Deep,0a67aec0
info,registry,people,Anuj Rawat,c8f5f961
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,DJ Willey,7f048519
info,registry,people,F du Plessis,3355b542
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,HV Patel,f986ca1a
info,registry,people,KD Karthik,c03f1114
info,registry,people,KV Sharma,119678fd
info,registry,people,MG Bracewell,e38bce7a
info,registry,people,Mandeep Singh,c3a96caf
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,N Rana,fb2d1dda
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,RK Singh,0a509d6b
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,SN Thakur,1abb78f8
info,registry,people,SP Narine,9d430b40
info,registry,people,Shahbaz Ahmed,f9e6e7ef
info,registry,people,Shakti Singh,eb90d319
info,registry,people,Suyash Sharma,9440ef41
info,registry,people,TG Southee,13c35c9e
info,registry,people,UT Yadav,cc1e8c68
info,registry,people,V Kohli,ba607b88
info,registry,people,VK Sharma,a7a49df4
info,registry,people,VR Iyer,a24be938
info,registry,people,Vinod Seshan,a3357a27
ball,1,0.1,Kolkata Knight Riders,Rahmanullah Gurbaz,VR Iyer,Mohammed Siraj,0,0,,,,,,"",""
ball,1,0.2,Kolkata Knight Riders,Rahmanullah Gurbaz,VR Iyer,Mohammed Siraj,0,0,,,,,,"",""
ball,1,0.3,Kolkata Knight Riders,Rahmanullah Gurbaz,VR Iyer,Mohammed Siraj,0,5,5,,,,,"",""
ball,1,0.4,Kolkata Knight Riders,Rahmanullah Gurbaz,VR Iyer,Mohammed Siraj,0,0,,,,,,"",""
ball,1,0.5,Kolkata Knight Riders,Rahmanullah Gurbaz,VR Iyer,Mohammed Siraj,0,0,,,,,,"",""
ball,1,0.6,Kolkata Knight Riders,Rahmanullah Gurbaz,VR Iyer,Mohammed Siraj,4,0,,,,,,"",""
ball,1,0.7,Kolkata Knight Riders,Rahmanullah Gurbaz,VR Iyer,Mohammed Siraj,0,0,,,,,,"",""
ball,1,1.1,Kolkata Knight Riders,VR Iyer,Rahmanullah Gurbaz,DJ Willey,0,0,,,,,,"",""
ball,1,1.2,Kolkata Knight Riders,VR Iyer,Rahmanullah Gurbaz,DJ Willey,1,0,,,,,,"",""
ball,1,1.3,Kolkata Knight Riders,Rahmanullah Gurbaz,VR Iyer,DJ Willey,0,0,,,,,,"",""
ball,1,1.4,Kolkata Knight Riders,Rahmanullah Gurbaz,VR Iyer,DJ Willey,1,0,,,,,,"",""
ball,1,1.5,Kolkata Knight Riders,VR Iyer,Rahmanullah Gurbaz,DJ Willey,1,0,,,,,,"",""
ball,1,1.6,Kolkata Knight Riders,Rahmanullah Gurbaz,VR Iyer,DJ Willey,0,0,,,,,,"",""
ball,1,2.1,Kolkata Knight Riders,VR Iyer,Rahmanullah Gurbaz,Mohammed Siraj,0,0,,,,,,"",""
ball,1,2.2,Kolkata Knight Riders,VR Iyer,Rahmanullah Gurbaz,Mohammed Siraj,1,0,,,,,,"",""
ball,1,2.3,Kolkata Knight Riders,Rahmanullah Gurbaz,VR Iyer,Mohammed Siraj,4,0,,,,,,"",""
ball,1,2.4,Kolkata Knight Riders,Rahmanullah Gurbaz,VR Iyer,Mohammed Siraj,0,4,,,4,,,"",""
ball,1,2.5,Kolkata Knight Riders,Rahmanullah Gurbaz,VR Iyer,Mohammed Siraj,4,0,,,,,,"",""
ball,1,2.6,Kolkata Knight Riders,Rahmanullah Gurbaz,VR Iyer,Mohammed Siraj,0,1,1,,,,,"",""
ball,1,2.7,Kolkata Knight Riders,Rahmanullah Gurbaz,VR Iyer,Mohammed Siraj,0,0,,,,,,"",""
ball,1,3.1,Kolkata Knight Riders,VR Iyer,Rahmanullah Gurbaz,DJ Willey,0,0,,,,,,"",""
ball,1,3.2,Kolkata Knight Riders,VR Iyer,Rahmanullah Gurbaz,DJ Willey,0,0,,,,,,bowled,VR Iyer
