version,1.7.0
info,balls_per_over,6
info,team,Royal Challengers Bengaluru
info,team,Chennai Super Kings
info,gender,male
info,season,2024
info,date,2024/03/22
info,event,Indian Premier League
info,match_number,1
info,venue,"MA Chidambaram Stadium, Chepauk, Chennai"
info,city,Chennai
info,toss_winner,Royal Challengers Bengaluru
info,toss_decision,bat
info,player_of_match,Mustafizur Rahman
info,umpire,HAS Khalid
info,umpire,VK Sharma
info,reserve_umpire,M Kuppuraj
info,tv_umpire,Nitin Menon
info,match_referee,J Srinath
info,winner,Chennai Super Kings
info,winner_wickets,6
info,player,Royal Challengers Bengaluru,V Kohli
info,player,Royal Challengers Bengaluru,F du Plessis
info,player,Royal Challengers Bengaluru,RM Patidar
info,player,Royal Challengers Bengaluru,GJ Maxwell
info,player,Royal Challengers Bengaluru,C Green
info,player,Royal Challengers Bengaluru,Anuj Rawat
info,player,Royal Challengers Bengaluru,KD Karthik
info,player,Royal Challengers Bengaluru,KV Sharma
info,player,Royal Challengers Bengaluru,AS Joseph
info,player,Royal Challengers Bengaluru,Mayank Dagar
info,player,Royal Challengers Bengaluru,Mohammed Siraj
info,player,Royal Challengers Bengaluru,Yash Dayal
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,R Ravindra
info,player,Chennai Super Kings,AM Rahane
info,player,Chennai Super Kings,DJ Mitchell
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,Sameer Rizvi
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,DL Chahar
info,player,Chennai Super Kings,M Theekshana
info,player,Chennai Super Kings,TU Deshpande
info,player,Chennai Super Kings,Mustafizur Rahman
info,registry,people,AM Rahane,29e95537
info,registry,people,AS Joseph,b0946605
info,registry,people,Anuj Rawat,c8f5f961
info,registry,people,C Green,eaa76d3c
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DL Chahar,23eeb873
info,registry,people,F du Plessis,3355b542
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,HAS Khalid,291ded7c
info,registry,people,J Srinath,bad31fac
info,registry,people,KD Karthik,c03f1114
info,registry,people,KV Sharma,119678fd
info,registry,people,M Kuppuraj,aa4063d0
info,registry,people,M Theekshana,f24c6701
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Mayank Dagar,a457cfb5
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,R Ravindra,ba5e1069
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,RM Patidar,c740ea83
info,registry,people,S Dube,a4e37e47
info,registry,people,Sameer Rizvi,f89d3b11
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,V Kohli,ba607b88
info,registry,people,VK Sharma,a7a49df4
info,registry,people,Yash Dayal,7210d461
ball,1,0.1,Royal Challengers Bengaluru,V Kohli,F du Plessis,DL Chahar,0,1,1,,,,,"",""
ball,1,0.2,Royal Challengers Bengaluru,V Kohli,F du Plessis,DL Chahar,1,0,,,,,,"",""
ball,1,0.3,Royal Challengers Bengaluru,F du Plessis,V Kohli,DL Chahar,0,0,,,,,,"",""
ball,1,0.4,Royal Challengers Bengaluru,F du Plessis,V Kohli,DL Chahar,0,0,,,,,,"",""
ball,1,0.5,Royal Challengers Bengaluru,F du Plessis,V Kohli,DL Chahar,0,0,,,,,,"",""
ball,1,0.6,Royal Challengers Bengaluru,F du Plessis,V Kohli,DL Chahar,4,0,,,,,,"",""
ball,1,0.7,Royal Challengers Bengaluru,F du Plessis,V Kohli,DL Chahar,1,0,,,,,,"",""
ball,1,1.1,Royal Challengers Bengaluru,F du Plessis,V Kohli,TU Deshpande,4,0,,,,,,"",""
ball,1,1.2,Royal Challengers Bengaluru,F du Plessis,V Kohli,TU Deshpande,0,0,,,,,,"",""
ball,1,1.3,Royal Challengers Bengaluru,F du Plessis,V Kohli,TU Deshpande,4,0,,,,,,"",""
ball,1,1.4,Royal Challengers Bengaluru,F du Plessis,V Kohli,TU Deshpande,0,0,,,,,,"",""
ball,1,1.5,Royal Challengers Bengaluru,F du Plessis,V Kohli,TU Deshpande,0,0,,,,,,"",""
ball,1,1.6,Royal Challengers Bengaluru,F du Plessis,V Kohli,TU Deshpande,1,0,,,,,,"",""
ball,1,2.1,Royal Challengers Bengaluru,F du Plessis,V Kohli,DL Chahar,4,0,,,,,,"",""
ball,1,2.2,Royal Challengers Bengaluru,F du Plessis,V Kohli,DL Chahar,0,1,1,,,,,"",""
ball,1,2.3,Royal Challengers Bengaluru,F du Plessis,V Kohli,DL Chahar,0,0,,,,,,"",""
ball,1,2.4,Royal Challengers Bengaluru,F du Plessis,V Kohli,DL Chahar,4,0,,,,,,"",""
ball,1,2.5,Royal Challengers Bengaluru,F du Plessis,V Kohli,DL Chahar,4,0,,,,,,"",""
ball,1,2.6,Royal Challengers Bengaluru,F du Plessis,V Kohli,DL Chahar,0,0,,,,,,"",""
ball,1,2.7,Royal Challengers Bengaluru,F du Plessis,V Kohli,DL Chahar,4,0,,,,,,"",""
ball,1,3.1,Royal Challengers Bengaluru,V Kohli,F du Plessis,M Theekshana,0,0,,,,,,"",""
ball,1,3.2,Royal Challengers Bengaluru,V Kohli,F du Plessis,M Theekshana,1,0,,,,,,"",""
ball,1,3.3,Royal Challengers Bengaluru,F du Plessis,V Kohli,M Theekshana,0,0,,,,,,"",""
ball,1,3.4,Royal Challengers Bengaluru,F du Plessis,V Kohli,M Theekshana,0,1,,,1,,,"",""
ball,1,3.5,Royal Challengers Bengaluru,V Kohli,F du Plessis,M Theekshana,1,0,,,,,,"",""
ball,1,3.6,Royal Challengers Bengaluru,F du Plessis,V Kohli,M Theekshana,1,0,,,,,,"",""
