version,1.7.0
info,balls_per_over,6
info,team,Punjab Kings
info,team,Delhi Capitals
info,gender,male
info,season,2023
info,date,2023/05/13
info,event,Indian Premier League
info,match_number,59
info,venue,"Arun Jaitley Stadium, Delhi"
info,city,Delhi
info,toss_winner,Delhi Capitals
info,toss_decision,field
info,player_of_match,P Simran Singh
info,umpire,CB Gaffaney
info,umpire,NA Patwardhan
info,reserve_umpire,M Krishnadas
info,tv_umpire,GR Sadashiv Iyer
info,match_referee,Sanjay Verma
info,winner,Punjab Kings
info,winner_runs,31
info,player,Punjab Kings,NT Ellis
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,S Dhawan
info,player,Punjab Kings,LS Livingstone
info,player,Punjab Kings,JM Sharma
info,player,Punjab Kings,SM Curran
info,player,Punjab Kings,Harpreet Brar
info,player,Punjab Kings,M Shahrukh Khan
info,player,Punjab Kings,Sikandar Raza
info,player,Punjab Kings,R Dhawan
info,player,Punjab Kings,RD Chahar
info,player,Punjab Kings,Arshdeep Singh
info,player,Delhi Capitals,KK Ahmed
info,player,Delhi Capitals,DA Warner
info,player,Delhi Capitals,PD Salt
info,player,Delhi Capitals,MR Marsh
info,player,Delhi Capitals,RR Rossouw
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,MK Pandey
info,player,Delhi Capitals,Aman Hakim Khan
info,player,Delhi Capitals,P Dubey
info,player,Delhi Capitals,Kuldeep Yadav
info,player,Delhi Capitals,Mukesh Kumar
info,player,Delhi Capitals,I Sharma
info,registry,people,AR Patel,2e171977
info,registry,people,Aman Hakim Khan,378daa89
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,DA Warner,dcce6f09
info,registry,people,GR Sadashiv Iyer,0be62e31
info,registry,people,Harpreet Brar,c05edf8e
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,JM Sharma,800d2d97
info,registry,people,KK Ahmed,a2f46292
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,M Krishnadas,e298c588
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,MK Pandey,93b4fc78
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,Mukesh Kumar,2cffab74
info,registry,people,NA Patwardhan,e6ef687d
info,registry,people,NT Ellis,9eb1455b
info,registry,people,P Dubey,ed5a5510
info,registry,people,P Simran Singh,9418198b
info,registry,people,PD Salt,3d284ca3
info,registry,people,R Dhawan,26a85969
info,registry,people,RD Chahar,2ed569a0
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,S Dhawan,0a476045
info,registry,people,SM Curran,e94915e6
info,registry,people,Sanjay Verma,bc19a37f
info,registry,people,Sikandar Raza,26d041c4
ball,1,0.1,Punjab Kings,P Simran Singh,S Dhawan,KK Ahmed,0,0,,,,,,"",""
ball,1,0.2,Punjab Kings,P Simran Singh,S Dhawan,KK Ahmed,1,0,,,,,,"",""
ball,1,0.3,Punjab Kings,S Dhawan,P Simran Singh,KK Ahmed,0,1,1,,,,,"",""
ball,1,0.4,Punjab Kings,S Dhawan,P Simran Singh,KK Ahmed,0,0,,,,,,"",""
ball,1,0.5,Punjab Kings,S Dhawan,P Simran Singh,KK Ahmed,0,1,1,,,,,"",""
ball,1,0.6,Punjab Kings,S Dhawan,P Simran Singh,KK Ahmed,0,0,,,,,,"",""
ball,1,0.7,Punjab Kings,S Dhawan,P Simran Singh,KK Ahmed,1,0,,,,,,"",""
ball,1,0.8,Punjab Kings,P Simran Singh,S Dhawan,KK Ahmed,0,0,,,,,,"",""
ball,1,1.1,Punjab Kings,S Dhawan,P Simran Singh,I Sharma,6,0,,,,,,"",""
ball,1,1.2,Punjab Kings,S Dhawan,P Simran Singh,I Sharma,0,0,,,,,,caught,S Dhawan
ball,1,1.3,Punjab Kings,LS Livingstone,P Simran Singh,I Sharma,0,0,,,,,,"",""
ball,1,1.4,Punjab Kings,LS Livingstone,P Simran Singh,I Sharma,4,0,,,,,,"",""
ball,1,1.5,Punjab Kings,LS Livingstone,P Simran Singh,I Sharma,0,0,,,,,,"",""
ball,1,1.6,Punjab Kings,LS Livingstone,P Simran Singh,I Sharma,0,0,,,,,,"",""
ball,1,2.1,Punjab Kings,P Simran Singh,LS Livingstone,KK Ahmed,0,0,,,,,,"",""
ball,1,2.2,Punjab Kings,P Simran Singh,LS Livingstone,KK Ahmed,0,0,,,,,,"",""
ball,1,2.3,Punjab Kings,P Simran Singh,LS Livingstone,KK Ahmed,4,0,,,,,,"",""
ball,1,2.4,Punjab Kings,P Simran Singh,LS Livingstone,KK Ahmed,0,0,,,,,,"",""
ball,1,2.5,Punjab Kings,P Simran Singh,LS Livingstone,KK Ahmed,4,0,,,,,,"",""
ball,1,2.6,Punjab Kings,P Simran Singh,LS Livingstone,KK Ahmed,1,0,,,,,,"",""
ball,1,3.1,Punjab Kings,P Simran Singh,LS Livingstone,AR Patel,0,0,,,,,,"",""
ball,1,3.2,Punjab Kings,P Simran Singh,LS Livingstone,AR Patel,4,0,,,,,,"",""
ball,1,3.3,Punjab Kings,P Simran Singh,LS Livingstone,AR Patel,0,0,,,,,,"",""
ball,1,3.4,Punjab Kings,P Simran Singh,LS Livingstone,AR Patel,0,0,,,,,,"",""
ball,1,3.5,Punjab Kings,P Simran Singh,LS Livingstone,AR Patel,0,0,,,,,,"",""
ball,1,3.6,Punjab Kings,P Simran Singh,LS Livingstone,AR Patel,0,5,5,,,,,"",""
ball,1,3.7,Punjab Kings,P Simran Singh,LS Livingstone,AR Patel,0,0,,,,,,"",""
ball,1,4.1,Punjab Kings,LS Livingstone,P Simran Singh,I Sharma,0,0,,,,,,bowled,LS Livingstone
ball,1,4.2,Punjab Kings,JM Sharma,P Simran Singh,I Sharma,0,0,,,,,,"",""
ball,1,4.3,Punjab Kings,JM Sharma,P Simran Singh,I Sharma,1,0,,,,,,"",""
ball,1,4.4,Punjab Kings,P Simran Singh,JM Sharma,I Sharma,0,1,,,,1,,"",""
ball,1,4.5,Punjab Kings,JM Sharma,P Simran Singh,I Sharma,4,0,,,,,,"",""
ball,1,4.6,Punjab Kings,JM Sharma,P Simran Singh,I Sharma,0,0,,,,,,"",""
ball,1,5.1,Punjab Kings,P Simran Singh,JM Sharma,AR Patel,6,0,,,,,,"",""
ball,1,5.2,Punjab Kings,P Simran Singh,JM Sharma,AR Patel,0,0,,,,,,"",""
ball,1,5.3,Punjab Kings,P Simran Singh,JM Sharma,AR Patel,1,0,,,,,,"",""
ball,1,5.4,Punjab Kings,JM Sharma,P Simran Singh,AR Patel,0,0,,,,,,bowled,JM Sharma
ball,1,5.5,Punjab Kings,SM Curran,P Simran Singh,AR Patel,1,0,,,,,,"",""
ball,1,5.6,Punjab Kings,P Simran Singh,SM Curran,AR Patel,0,0,,,,,,"",""
ball,1,6.1,Punjab Kings,SM Curran,P Simran Singh,P Dubey,1,0,,,,,,"",""
ball,1,6.2,Punjab Kings,P Simran Singh,SM Curran,P Dubey,0,0,,,,,,"",""
ball,1,6.3,Punjab Kings,P Simran Singh,SM Curran,P Dubey,1,0,,,,,,"",""
ball,1,6.4,Punjab Kings,SM Curran,P Simran Singh,P Dubey,1,0,,,,,,"",""
ball,1,6.5,Punjab Kings,P Simran Singh,SM Curran,P Dubey,1,0,,,,,,"",""
ball,1,6.6,Punjab Kings,SM Curran,P Simran Singh,P Dubey,0,0,,,,,,"",""
ball,1,7.1,Punjab Kings,P Simran Singh,SM Curran,Kuldeep Yadav,0,0,,,,,,"",""
ball,1,7.2,Punjab Kings,P Simran Singh,SM Curran,Kuldeep Yadav,1,0,,,,,,"",""
ball,1,7.3,Punjab Kings,SM Curran,P Simran Singh,Kuldeep Yadav,0,0,,,,,,"",""
ball,1,7.4,Punjab Kings,SM Curran,P Simran Singh,Kuldeep Yadav,1,0,,,,,,"",""
