version,1.7.0
info,balls_per_over,6
info,team,Chennai Super Kings
info,team,Royal Challengers Bangalore
info,gender,male
info,season,2023
info,date,2023/04/17
info,event,Indian Premier League
info,match_number,24
info,venue,"M Chinnaswamy Stadium, Bengaluru"
info,city,Bengaluru
info,toss_winner,Royal Challengers Bangalore
info,toss_decision,field
info,player_of_match,DP Conway
info,umpire,KN Ananthapadmanabhan
info,umpire,Navdeep Singh
info,reserve_umpire,Abhijit Bhattacharya
info,tv_umpire,MA Gough
info,match_referee,Amit Sharma
info,winner,Chennai Super Kings
info,winner_runs,8
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,DP Conway
info,player,Chennai Super Kings,AM Rahane
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,AT Rayudu
info,player,Chennai Super Kings,MM Ali
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,TU Deshpande
info,player,Chennai Super Kings,M Theekshana
info,player,Chennai Super Kings,M Pathirana
info,player,Chennai Super Kings,Akash Singh
info,player,Royal Challengers Bangalore,V Kohli
info,player,Royal Challengers Bangalore,F du Plessis
info,player,Royal Challengers Bangalore,MK Lomror
info,player,Royal Challengers Bangalore,GJ Maxwell
info,player,Royal Challengers Bangalore,Shahbaz Ahmed
info,player,Royal Challengers Bangalore,KD Karthik
info,player,Royal Challengers Bangalore,SS Prabhudessai
info,player,Royal Challengers Bangalore,WD Parnell
info,player,Royal Challengers Bangalore,PWH de Silva
info,player,Royal Challengers Bangalore,HV Patel
info,player,Royal Challengers Bangalore,Mohammed Siraj
info,player,Royal Challengers Bangalore,Vijaykumar Vyshak
info,registry,people,AM Rahane,29e95537
info,registry,people,AT Rayudu,70d205c9
info,registry,people,Abhijit Bhattacharya,59ec9638
info,registry,people,Akash Singh,b483905d
info,registry,people,Amit Sharma,7ea3e0cc
info,registry,people,DP Conway,df5a6881
info,registry,people,F du Plessis,3355b542
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,HV Patel,f986ca1a
info,registry,people,KD Karthik,c03f1114
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,M Pathirana,64839cb3
info,registry,people,M Theekshana,f24c6701
info,registry,people,MA Gough,76752ac8
info,registry,people,MK Lomror,da934ee8
info,registry,people,MM Ali,bb351c23
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,Navdeep Singh,a3e3d8a4
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,S Dube,a4e37e47
info,registry,people,SS Prabhudessai,9385de2e
info,registry,people,Shahbaz Ahmed,f9e6e7ef
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,V Kohli,ba607b88
info,registry,people,Vijaykumar Vyshak,54e52590
info,registry,people,WD Parnell,3a60e0b5
ball,1,0.1,Chennai Super Kings,RD Gaikwad,DP Conway,Mohammed Siraj,1,0,,,,,,"",""
ball,1,0.2,Chennai Super Kings,DP Conway,RD Gaikwad,Mohammed Siraj,2,0,,,,,,"",""
ball,1,0.3,Chennai Super Kings,DP Conway,RD Gaikwad,Mohammed Siraj,0,0,,,,,,"",""
ball,1,0.4,Chennai Super Kings,DP Conway,RD Gaikwad,Mohammed Siraj,0,0,,,,,,"",""
ball,1,0.5,Chennai Super Kings,DP Conway,RD Gaikwad,Mohammed Siraj,0,0,,,,,,"",""
ball,1,0.6,Chennai Super Kings,DP Conway,RD Gaikwad,Mohammed Siraj,0,0,,,,,,"",""
ball,1,1.1,Chennai Super Kings,RD Gaikwad,DP Conway,WD Parnell,0,0,,,,,,"",""
ball,1,1.2,Chennai Super Kings,RD Gaikwad,DP Conway,WD Parnell,1,0,,,,,,"",""
ball,1,1.3,Chennai Super Kings,DP Conway,RD Gaikwad,WD Parnell,4,0,,,,,,"",""
ball,1,1.4,Chennai Super Kings,DP Conway,RD Gaikwad,WD Parnell,1,0,,,,,,"",""
ball,1,1.5,Chennai Super Kings,RD Gaikwad,DP Conway,WD Parnell,1,0,,,,,,"",""
ball,1,1.6,Chennai Super Kings,DP Conway,RD Gaikwad,WD Parnell,6,0,,,,,,"",""
ball,1,2.1,Chennai Super Kings,RD Gaikwad,DP Conway,Mohammed Siraj,0,0,,,,,,"",""
ball,1,2.2,Chennai Super Kings,RD Gaikwad,DP Conway,Mohammed Siraj,0,0,,,,,,caught,RD Gaikwad
ball,1,2.3,Chennai Super Kings,AM Rahane,DP Conway,Mohammed Siraj,0,0,,,,,,"",""
ball,1,2.4,Chennai Super Kings,AM Rahane,DP Conway,Mohammed Siraj,1,0,,,,,,"",""
ball,1,2.5,Chennai Super Kings,DP Conway,AM Rahane,Mohammed Siraj,1,0,,,,,,"",""
ball,1,2.6,Chennai Super Kings,AM Rahane,DP Conway,Mohammed Siraj,1,0,,,,,,"",""
ball,1,3.1,Chennai Super Kings,AM Rahane,DP Conway,WD Parnell,1,0,,,,,,"",""
ball,1,3.2,Chennai Super Kings,DP Conway,AM Rahane,WD Parnell,0,0,,,,,,"",""
ball,1,3.3,Chennai Super Kings,DP Conway,AM Rahane,WD Parnell,1,0,,,,,,"",""
ball,1,3.4,Chennai Super Kings,AM Rahane,DP Conway,WD Parnell,2,0,,,,,,"",""
ball,1,3.5,Chennai Super Kings,AM Rahane,DP Conway,WD Parnell,0,0,,,,,,"",""
ball,1,3.6,Chennai Super Kings,AM Rahane,DP Conway,WD Parnell,2,0,,,,,,"",""
ball,1,4.1,Chennai Super Kings,DP Conway,AM Rahane,Vijaykumar Vyshak,4,0,,,,,,"",""
ball,1,4.2,Chennai Super Kings,DP Conway,AM Rahane,Vijaykumar Vyshak,1,0,,,,,,"",""
ball,1,4.3,Chennai Super Kings,AM Rahane,DP Conway,Vijaykumar Vyshak,6,0,,,,,,"",""
ball,1,4.4,Chennai Super Kings,AM Rahane,DP Conway,Vijaykumar Vyshak,1,0,,,,,,"",""
ball,1,4.5,Chennai Super Kings,DP Conway,AM Rahane,Vijaykumar Vyshak,0,0,,,,,,"",""
ball,1,4.6,Chennai Super Kings,DP Conway,AM Rahane,Vijaykumar Vyshak,1,0,,,,,,"",""
ball,1,5.1,Chennai Super Kings,DP Conway,AM Rahane,WD Parnell,1,0,,,,,,"",""
ball,1,5.2,Chennai Super Kings,AM Rahane,DP Conway,WD Parnell,4,0,,,,,,"",""
ball,1,5.3,Chennai Super Kings,AM Rahane,DP Conway,WD Parnell,0,0,,,,,,"",""
ball,1,5.4,Chennai Super Kings,AM Rahane,DP Conway,WD Parnell,0,0,,,,,,"",""
ball,1,5.5,Chennai Super Kings,AM Rahane,DP Conway,WD Parnell,6,0,,,,,,"",""
ball,1,5.6,Chennai Super Kings,AM Rahane,DP Conway,WD Parnell,4,0,,,,,,"",""
ball,1,6.1,Chennai Super Kings,DP Conway,AM Rahane,GJ Maxwell,1,0,,,,,,"",""
ball,1,6.2,Chennai Super Kings,AM Rahane,DP Conway,GJ Maxwell,1,0,,,,,,"",""
ball,1,6.3,Chennai Super Kings,DP Conway,AM Rahane,GJ Maxwell,0,0,,,,,,"",""
ball,1,6.4,Chennai Super Kings,DP Conway,AM Rahane,GJ Maxwell,0,0,,,,,,"",""
ball,1,6.5,Chennai Super Kings,DP Conway,AM Rahane,GJ Maxwell,6,0,,,,,,"",""
ball,1,6.6,Chennai Super Kings,DP Conway,AM Rahane,GJ Maxwell,1,0,,,,,,"",""
ball,1,7.1,Chennai Super Kings,DP Conway,AM Rahane,PWH de Silva,1,0,,,,,,"",""
ball,1,7.2,Chennai Super Kings,AM Rahane,DP Conway,PWH de Silva,1,0,,,,,,"",""
ball,1,7.3,Chennai Super Kings,DP Conway,AM Rahane,PWH de Silva,1,0,,,,,,"",""
ball,1,7.4,Chennai Super Kings,AM Rahane,DP Conway,PWH de Silva,1,0,,,,,,"",""
ball,1,7.5,Chennai Super Kings,DP Conway,AM Rahane,PWH de Silva,1,0,,,,,,"",""
