version,1.7.0
info,balls_per_over,6
info,team,Royal Challengers Bengaluru
info,team,Rajasthan Royals
info,gender,male
info,season,2025
info,date,2025/04/24
info,event,Indian Premier League
info,match_number,42
info,venue,"M Chinnaswamy Stadium, Bengaluru"
info,city,Bengaluru
info,toss_winner,Rajasthan Royals
info,toss_decision,field
info,player_of_match,JR Hazlewood
info,umpire,MA Gough
info,umpire,UV Gandhe
info,reserve_umpire,K Swaroopanand
info,tv_umpire,VK Sharma
info,match_referee,R Seth
info,winner,Royal Challengers Bengaluru
info,winner_runs,11
info,player,Royal Challengers Bengaluru,Suyash Sharma
info,player,Royal Challengers Bengaluru,PD Salt
info,player,Royal Challengers Bengaluru,V Kohli
info,player,Royal Challengers Bengaluru,D Padikkal
info,player,Royal Challengers Bengaluru,TH David
info,player,Royal Challengers Bengaluru,RM Patidar
info,player,Royal Challengers Bengaluru,JM Sharma
info,player,Royal Challengers Bengaluru,R Shepherd
info,player,Royal Challengers Bengaluru,KH Pandya
info,player,Royal Challengers Bengaluru,B Kumar
info,player,Royal Challengers Bengaluru,JR Hazlewood
info,player,Royal Challengers Bengaluru,Yash Dayal
info,player,Rajasthan Royals,Sandeep Sharma
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,V Suryavanshi
info,player,Rajasthan Royals,N Rana
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,SB Dubey
info,player,Rajasthan Royals,JC Archer
info,player,Rajasthan Royals,PWH de Silva
info,player,Rajasthan Royals,TU Deshpande
info,player,Rajasthan Royals,Fazalhaq Farooqi
info,registry,people,B Kumar,2e81a32d
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,JC Archer,5574750c
info,registry,people,JM Sharma,800d2d97
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,K Swaroopanand,aa2a4962
info,registry,people,KH Pandya,5b8c830e
info,registry,people,MA Gough,76752ac8
info,registry,people,N Rana,fb2d1dda
info,registry,people,PD Salt,3d284ca3
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,R Parag,04a418e8
info,registry,people,R Seth,540a44ba
info,registry,people,R Shepherd,c5aef772
info,registry,people,RM Patidar,c740ea83
info,registry,people,SB Dubey,6b2ff18f
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,Sandeep Sharma,ce820073
info,registry,people,Suyash Sharma,9440ef41
info,registry,people,TH David,f1f99156
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,UV Gandhe,43dd4011
info,registry,people,V Kohli,ba607b88
info,registry,people,V Suryavanshi,470f446b
info,registry,people,VK Sharma,a7a49df4
info,registry,people,YBK Jaiswal,6c19c6e5
info,registry,people,Yash Dayal,7210d461
ball,1,0.1,Royal Challengers Bengaluru,PD Salt,V Kohli,JC Archer,0,1,1,,,,,"",""
ball,1,0.2,Royal Challengers Bengaluru,PD Salt,V Kohli,JC Archer,0,0,,,,,,"",""
ball,1,0.3,Royal Challengers Bengaluru,PD Salt,V Kohli,JC Archer,0,0,,,,,,"",""
ball,1,0.4,Royal Challengers Bengaluru,PD Salt,V Kohli,JC Archer,0,0,,,,,,"",""
ball,1,0.5,Royal Challengers Bengaluru,PD Salt,V Kohli,JC Archer,1,0,,,,,,"",""
ball,1,0.6,Royal Challengers Bengaluru,V Kohli,PD Salt,JC Archer,0,5,5,,,,,"",""
ball,1,0.7,Royal Challengers Bengaluru,V Kohli,PD Salt,JC Archer,4,0,,,,,,"",""
ball,1,0.8,Royal Challengers Bengaluru,V Kohli,PD Salt,JC Archer,0,0,,,,,,"",""
ball,1,1.1,Royal Challengers Bengaluru,PD Salt,V Kohli,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,1.2,Royal Challengers Bengaluru,PD Salt,V Kohli,Fazalhaq Farooqi,0,1,1,,,,,"",""
ball,1,1.3,Royal Challengers Bengaluru,PD Salt,V Kohli,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,1.4,Royal Challengers Bengaluru,PD Salt,V Kohli,Fazalhaq Farooqi,1,0,,,,,,"",""
ball,1,1.5,Royal Challengers Bengaluru,V Kohli,PD Salt,Fazalhaq Farooqi,1,0,,,,,,"",""
ball,1,1.6,Royal Challengers Bengaluru,PD Salt,V Kohli,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,1.7,Royal Challengers Bengaluru,PD Salt,V Kohli,Fazalhaq Farooqi,4,0,,,,,,"",""
ball,1,2.1,Royal Challengers Bengaluru,V Kohli,PD Salt,JC Archer,0,0,,,,,,"",""
ball,1,2.2,Royal Challengers Bengaluru,V Kohli,PD Salt,JC Archer,1,0,,,,,,"",""
ball,1,2.3,Royal Challengers Bengaluru,PD Salt,V Kohli,JC Archer,1,0,,,,,,"",""
ball,1,2.4,Royal Challengers Bengaluru,V Kohli,PD Salt,JC Archer,0,0,,,,,,"",""
ball,1,2.5,Royal Challengers Bengaluru,V Kohli,PD Salt,JC Archer,4,0,,,,,,"",""
ball,1,2.6,Royal Challengers Bengaluru,V Kohli,PD Salt,JC Archer,4,0,,,,,,"",""
ball,1,3.1,Royal Challengers Bengaluru,PD Salt,V Kohli,Fazalhaq Farooqi,1,0,,,,,,"",""
ball,1,3.2,Royal Challengers Bengaluru,V Kohli,PD Salt,Fazalhaq Farooqi,1,0,,,,,,"",""
ball,1,3.3,Royal Challengers Bengaluru,PD Salt,V Kohli,Fazalhaq Farooqi,1,0,,,,,,"",""
ball,1,3.4,Royal Challengers Bengaluru,V Kohli,PD Salt,Fazalhaq Farooqi,1,0,,,,,,"",""
