version,1.7.0
info,balls_per_over,6
info,team,Punjab Kings
info,team,Mumbai Indians
info,gender,male
info,season,2023
info,date,2023/04/22
info,event,Indian Premier League
info,match_number,31
info,venue,"Wankhede Stadium, Mumbai"
info,city,Mumbai
info,toss_winner,Mumbai Indians
info,toss_decision,field
info,player_of_match,SM Curran
info,umpire,CB Gaffaney
info,umpire,GR Sadashiv Iyer
info,reserve_umpire,M Kuppuraj
info,tv_umpire,AK Chaudhary
info,match_referee,Prakash Bhatt
info,winner,Punjab Kings
info,winner_runs,13
info,player,Punjab Kings,NT Ellis
info,player,Punjab Kings,MW Short
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,Atharva Taide
info,player,Punjab Kings,LS Livingstone
info,player,Punjab Kings,Harpreet Singh
info,player,Punjab Kings,SM Curran
info,player,Punjab Kings,JM Sharma
info,player,Punjab Kings,M Shahrukh Khan
info,player,Punjab Kings,Harpreet Brar
info,player,Punjab Kings,Arshdeep Singh
info,player,Punjab Kings,RD Chahar
info,player,Mumbai Indians,JP Behrendorff
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,Ishan Kishan
info,player,Mumbai Indians,C Green
info,player,Mumbai Indians,SA Yadav
info,player,Mumbai Indians,TH David
info,player,Mumbai Indians,Tilak Varma
info,player,Mumbai Indians,N Wadhera
info,player,Mumbai Indians,JC Archer
info,player,Mumbai Indians,Arjun Tendulkar
info,player,Mumbai Indians,HR Shokeen
info,player,Mumbai Indians,PP Chawla
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,Arjun Tendulkar,44aac2f0
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,Atharva Taide,1ac746c8
info,registry,people,C Green,eaa76d3c
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,GR Sadashiv Iyer,0be62e31
info,registry,people,HR Shokeen,0c9652b0
info,registry,people,Harpreet Brar,c05edf8e
info,registry,people,Harpreet Singh,28c78fb3
info,registry,people,Ishan Kishan,752f7486
info,registry,people,JC Archer,5574750c
info,registry,people,JM Sharma,800d2d97
info,registry,people,JP Behrendorff,4933f499
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,M Kuppuraj,aa4063d0
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,MW Short,a90e53ec
info,registry,people,N Wadhera,d1a60072
info,registry,people,NT Ellis,9eb1455b
info,registry,people,P Simran Singh,9418198b
info,registry,people,PP Chawla,98ae73b1
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,RD Chahar,2ed569a0
info,registry,people,RG Sharma,740742ef
info,registry,people,SA Yadav,271f83cd
info,registry,people,SM Curran,e94915e6
info,registry,people,TH David,f1f99156
info,registry,people,Tilak Varma,b0482a1d
ball,1,0.1,Punjab Kings,MW Short,P Simran Singh,Arjun Tendulkar,0,0,,,,,,"",""
ball,1,0.2,Punjab Kings,MW Short,P Simran Singh,Arjun Tendulkar,1,0,,,,,,"",""
ball,1,0.3,Punjab Kings,P Simran Singh,MW Short,Arjun Tendulkar,0,1,1,,,,,"",""
ball,1,0.4,Punjab Kings,P Simran Singh,MW Short,Arjun Tendulkar,1,0,,,,,,"",""
ball,1,0.5,Punjab Kings,MW Short,P Simran Singh,Arjun Tendulkar,0,0,,,,,,"",""
ball,1,0.6,Punjab Kings,MW Short,P Simran Singh,Arjun Tendulkar,0,1,1,,,,,"",""
ball,1,0.7,Punjab Kings,MW Short,P Simran Singh,Arjun Tendulkar,1,0,,,,,,"",""
ball,1,0.8,Punjab Kings,P Simran Singh,MW Short,Arjun Tendulkar,0,0,,,,,,"",""
ball,1,1.1,Punjab Kings,MW Short,P Simran Singh,JP Behrendorff,1,0,,,,,,"",""
ball,1,1.2,Punjab Kings,P Simran Singh,MW Short,JP Behrendorff,2,0,,,,,,"",""
ball,1,1.3,Punjab Kings,P Simran Singh,MW Short,JP Behrendorff,1,0,,,,,,"",""
ball,1,1.4,Punjab Kings,MW Short,P Simran Singh,JP Behrendorff,0,0,,,,,,"",""
ball,1,1.5,Punjab Kings,MW Short,P Simran Singh,JP Behrendorff,0,0,,,,,,"",""
ball,1,1.6,Punjab Kings,MW Short,P Simran Singh,JP Behrendorff,4,0,,,,,,"",""
ball,1,2.1,Punjab Kings,P Simran Singh,MW Short,C Green,1,0,,,,,,"",""
ball,1,2.2,Punjab Kings,MW Short,P Simran Singh,C Green,4,0,,,,,,"",""
ball,1,2.3,Punjab Kings,MW Short,P Simran Singh,C Green,0,0,,,,,,caught,MW Short
ball,1,2.4,Punjab Kings,Atharva Taide,P Simran Singh,C Green,0,0,,,,,,"",""
ball,1,2.5,Punjab Kings,Atharva Taide,P Simran Singh,C Green,1,0,,,,,,"",""
ball,1,2.6,Punjab Kings,P Simran Singh,Atharva Taide,C Green,1,0,,,,,,"",""
ball,1,3.1,Punjab Kings,P Simran Singh,Atharva Taide,JP Behrendorff,6,0,,,,,,"",""
ball,1,3.2,Punjab Kings,P Simran Singh,Atharva Taide,JP Behrendorff,0,0,,,,,,"",""
ball,1,3.3,Punjab Kings,P Simran Singh,Atharva Taide,JP Behrendorff,6,0,,,,,,"",""
ball,1,3.4,Punjab Kings,P Simran Singh,Atharva Taide,JP Behrendorff,0,0,,,,,,"",""
ball,1,3.5,Punjab Kings,P Simran Singh,Atharva Taide,JP Behrendorff,1,0,,,,,,"",""
ball,1,3.6,Punjab Kings,Atharva Taide,P Simran Singh,JP Behrendorff,0,1,1,,,,,"",""
