version,1.7.0
info,balls_per_over,6
info,team,Royal Challengers Bengaluru
info,team,Delhi Capitals
info,gender,male
info,season,2025
info,date,2025/04/10
info,event,Indian Premier League
info,match_number,24
info,venue,"M Chinnaswamy Stadium, Bengaluru"
info,city,Bengaluru
info,toss_winner,Delhi Capitals
info,toss_decision,field
info,player_of_match,KL Rahul
info,umpire,KN Ananthapadmanabhan
info,umpire,MV Saidharshan Kumar
info,reserve_umpire,HAS Khalid
info,tv_umpire,Nitin Menon
info,match_referee,J Srinath
info,winner,Delhi Capitals
info,winner_wickets,6
info,player,Royal Challengers Bengaluru,PD Salt
info,player,Royal Challengers Bengaluru,V Kohli
info,player,Royal Challengers Bengaluru,D Padikkal
info,player,Royal Challengers Bengaluru,RM Patidar
info,player,Royal Challengers Bengaluru,LS Livingstone
info,player,Royal Challengers Bengaluru,JM Sharma
info,player,Royal Challengers Bengaluru,KH Pandya
info,player,Royal Challengers Bengaluru,TH David
info,player,Royal Challengers Bengaluru,B Kumar
info,player,Royal Challengers Bengaluru,JR Hazlewood
info,player,Royal Challengers Bengaluru,Yash Dayal
info,player,Royal Challengers Bengaluru,Suyash Sharma
info,player,Delhi Capitals,F du Plessis
info,player,Delhi Capitals,J Fraser-McGurk
info,player,Delhi Capitals,Abishek Porel
info,player,Delhi Capitals,KL Rahul
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,T Stubbs
info,player,Delhi Capitals,Ashutosh Sharma
info,player,Delhi Capitals,V Nigam
info,player,Delhi Capitals,MA Starc
info,player,Delhi Capitals,Kuldeep Yadav
info,player,Delhi Capitals,MM Sharma
info,player,Delhi Capitals,Mukesh Kumar
info,registry,people,AR Patel,2e171977
info,registry,people,Abishek Porel,ad3b6e95
info,registry,people,Ashutosh Sharma,84d9c311
info,registry,people,B Kumar,2e81a32d
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,F du Plessis,3355b542
info,registry,people,HAS Khalid,291ded7c
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,J Srinath,bad31fac
info,registry,people,JM Sharma,800d2d97
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KL Rahul,b17e2f24
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MA Starc,3fb19989
info,registry,people,MM Sharma,759ac88f
info,registry,people,MV Saidharshan Kumar,54b6007b
info,registry,people,Mukesh Kumar,2cffab74
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,PD Salt,3d284ca3
info,registry,people,RM Patidar,c740ea83
info,registry,people,Suyash Sharma,9440ef41
info,registry,people,T Stubbs,85b3fab2
info,registry,people,TH David,f1f99156
info,registry,people,V Kohli,ba607b88
info,registry,people,V Nigam,5ffc0565
info,registry,people,Yash Dayal,7210d461
ball,1,0.1,Royal Challengers Bengaluru,PD Salt,V Kohli,MA Starc,0,0,,,,,,"",""
ball,1,0.2,Royal Challengers Bengaluru,PD Salt,V Kohli,MA Starc,0,0,,,,,,"",""
ball,1,0.3,Royal Challengers Bengaluru,PD Salt,V Kohli,MA Starc,0,5,5,,,,,"",""
ball,1,0.4,Royal Challengers Bengaluru,PD Salt,V Kohli,MA Starc,1,0,,,,,,"",""
ball,1,0.5,Royal Challengers Bengaluru,V Kohli,PD Salt,MA Starc,1,0,,,,,,"",""
ball,1,0.6,Royal Challengers Bengaluru,PD Salt,V Kohli,MA Starc,0,0,,,,,,"",""
ball,1,0.7,Royal Challengers Bengaluru,PD Salt,V Kohli,MA Starc,0,0,,,,,,"",""
ball,1,1.1,Royal Challengers Bengaluru,V Kohli,PD Salt,AR Patel,4,0,,,,,,"",""
ball,1,1.2,Royal Challengers Bengaluru,V Kohli,PD Salt,AR Patel,0,0,,,,,,"",""
ball,1,1.3,Royal Challengers Bengaluru,V Kohli,PD Salt,AR Patel,1,0,,,,,,"",""
ball,1,1.4,Royal Challengers Bengaluru,PD Salt,V Kohli,AR Patel,6,0,,,,,,"",""
ball,1,1.5,Royal Challengers Bengaluru,PD Salt,V Kohli,AR Patel,4,0,,,,,,"",""
ball,1,1.6,Royal Challengers Bengaluru,PD Salt,V Kohli,AR Patel,1,0,,,,,,"",""
ball,1,2.1,Royal Challengers Bengaluru,PD Salt,V Kohli,MA Starc,6,0,,,,,,"",""
ball,1,2.2,Royal Challengers Bengaluru,PD Salt,V Kohli,MA Starc,4,0,,,,,,"",""
ball,1,2.3,Royal Challengers Bengaluru,PD Salt,V Kohli,MA Starc,4,0,,,,,,"",""
ball,1,2.4,Royal Challengers Bengaluru,PD Salt,V Kohli,MA Starc,4,1,,1,,,,"",""
ball,1,2.5,Royal Challengers Bengaluru,PD Salt,V Kohli,MA Starc,6,0,,,,,,"",""
ball,1,2.6,Royal Challengers Bengaluru,PD Salt,V Kohli,MA Starc,0,1,,,,1,,"",""
ball,1,2.7,Royal Challengers Bengaluru,V Kohli,PD Salt,MA Starc,0,4,,,,4,,"",""
ball,1,3.1,Royal Challengers Bengaluru,PD Salt,V Kohli,AR Patel,0,0,,,,,,"",""
ball,1,3.2,Royal Challengers Bengaluru,PD Salt,V Kohli,AR Patel,1,0,,,,,,"",""
ball,1,3.3,Royal Challengers Bengaluru,V Kohli,PD Salt,AR Patel,6,0,,,,,,"",""
ball,1,3.4,Royal Challengers Bengaluru,V Kohli,PD Salt,AR Patel,1,0,,,,,,"",""
ball,1,3.5,Royal Challengers Bengaluru,PD Salt,V Kohli,AR Patel,0,0,,,,,,run out,PD Salt
ball,1,3.6,Royal Challengers Bengaluru,D Padikkal,V Kohli,AR Patel,0,1,1,,,,,"",""
