version,1.7.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Delhi Capitals
info,gender,male
info,season,2023
info,date,2023/04/08
info,event,Indian Premier League
info,match_number,11
info,venue,"Barsapara Cricket Stadium, Guwahati"
info,city,Guwahati
info,toss_winner,Delhi Capitals
info,toss_decision,field
info,player_of_match,YBK Jaiswal
info,umpire,Navdeep Singh
info,umpire,MV Saidharshan Kumar
info,reserve_umpire,Abhijit Bhattacharya
info,tv_umpire,KN Ananthapadmanabhan
info,match_referee,V Narayan Kutty
info,winner,Rajasthan Royals
info,winner_runs,57
info,player,Rajasthan Royals,M Ashwin
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,JC Buttler
info,player,Rajasthan Royals,SV Samson
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,JO Holder
info,player,Rajasthan Royals,R Ashwin
info,player,Rajasthan Royals,YS Chahal
info,player,Rajasthan Royals,TA Boult
info,player,Rajasthan Royals,Sandeep Sharma
info,player,Delhi Capitals,KK Ahmed
info,player,Delhi Capitals,PP Shaw
info,player,Delhi Capitals,DA Warner
info,player,Delhi Capitals,MK Pandey
info,player,Delhi Capitals,RR Rossouw
info,player,Delhi Capitals,Lalit Yadav
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,R Powell
info,player,Delhi Capitals,Abishek Porel
info,player,Delhi Capitals,Kuldeep Yadav
info,player,Delhi Capitals,A Nortje
info,player,Delhi Capitals,Mukesh Kumar
info,registry,people,A Nortje,acdc62f5
info,registry,people,AR Patel,2e171977
info,registry,people,Abhijit Bhattacharya,59ec9638
info,registry,people,Abishek Porel,ad3b6e95
info,registry,people,DA Warner,dcce6f09
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,JC Buttler,99b75528
info,registry,people,JO Holder,0f721006
info,registry,people,KK Ahmed,a2f46292
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,Lalit Yadav,ad427b5c
info,registry,people,M Ashwin,e2db2409
info,registry,people,MK Pandey,93b4fc78
info,registry,people,MV Saidharshan Kumar,54b6007b
info,registry,people,Mukesh Kumar,2cffab74
info,registry,people,Navdeep Singh,a3e3d8a4
info,registry,people,PP Shaw,8b3e9c7c
info,registry,people,R Ashwin,495d42a5
info,registry,people,R Parag,04a418e8
info,registry,people,R Powell,650d5e49
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Sandeep Sharma,ce820073
info,registry,people,TA Boult,a818c1be
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,YBK Jaiswal,6c19c6e5
info,registry,people,YS Chahal,57ee1fde
ball,1,0.1,Rajasthan Royals,YBK Jaiswal,JC Buttler,KK Ahmed,4,0,,,,,,"",""
ball,1,0.2,Rajasthan Royals,YBK Jaiswal,JC Buttler,KK Ahmed,4,0,,,,,,"",""
ball,1,0.3,Rajasthan Royals,YBK Jaiswal,JC Buttler,KK Ahmed,4,0,,,,,,"",""
ball,1,0.4,Rajasthan Royals,YBK Jaiswal,JC Buttler,KK Ahmed,0,0,,,,,,"",""
ball,1,0.5,Rajasthan Royals,YBK Jaiswal,JC Buttler,KK Ahmed,4,0,,,,,,"",""
ball,1,0.6,Rajasthan Royals,YBK Jaiswal,JC Buttler,KK Ahmed,4,0,,,,,,"",""
ball,1,1.1,Rajasthan Royals,JC Buttler,YBK Jaiswal,A Nortje,0,0,,,,,,"",""
ball,1,1.2,Rajasthan Royals,JC Buttler,YBK Jaiswal,A Nortje,0,0,,,,,,"",""
ball,1,1.3,Rajasthan Royals,JC Buttler,YBK Jaiswal,A Nortje,4,0,,,,,,"",""
ball,1,1.4,Rajasthan Royals,JC Buttler,YBK Jaiswal,A Nortje,0,0,,,,,,"",""
ball,1,1.5,Rajasthan Royals,JC Buttler,YBK Jaiswal,A Nortje,4,0,,,,,,"",""
ball,1,1.6,Rajasthan Royals,JC Buttler,YBK Jaiswal,A Nortje,4,0,,,,,,"",""
ball,1,2.1,Rajasthan Royals,YBK Jaiswal,JC Buttler,Mukesh Kumar,0,0,,,,,,"",""
ball,1,2.2,Rajasthan Royals,YBK Jaiswal,JC Buttler,Mukesh Kumar,1,0,,,,,,"",""
ball,1,2.3,Rajasthan Royals,JC Buttler,YBK Jaiswal,Mukesh Kumar,0,0,,,,,,"",""
ball,1,2.4,Rajasthan Royals,JC Buttler,YBK Jaiswal,Mukesh Kumar,4,0,,,,,,"",""
ball,1,2.5,Rajasthan Royals,JC Buttler,YBK Jaiswal,Mukesh Kumar,1,0,,,,,,"",""
ball,1,2.6,Rajasthan Royals,YBK Jaiswal,JC Buttler,Mukesh Kumar,1,0,,,,,,"",""
ball,1,3.1,Rajasthan Royals,YBK Jaiswal,JC Buttler,KK Ahmed,4,0,,,,,,"",""
ball,1,3.2,Rajasthan Royals,YBK Jaiswal,JC Buttler,KK Ahmed,0,1,1,,,,,"",""
ball,1,3.3,Rajasthan Royals,YBK Jaiswal,JC Buttler,KK Ahmed,0,0,,,,,,"",""
ball,1,3.4,Rajasthan Royals,YBK Jaiswal,JC Buttler,KK Ahmed,1,0,,,,,,"",""
ball,1,3.5,Rajasthan Royals,JC Buttler,YBK Jaiswal,KK Ahmed,0,0,,,,,,"",""
ball,1,3.6,Rajasthan Royals,JC Buttler,YBK Jaiswal,KK Ahmed,1,0,,,,,,"",""
ball,1,3.7,Rajasthan Royals,YBK Jaiswal,JC Buttler,KK Ahmed,0,2,2,,,,,"",""
ball,1,3.8,Rajasthan Royals,JC Buttler,YBK Jaiswal,KK Ahmed,2,0,,,,,,"",""
ball,1,4.1,Rajasthan Royals,YBK Jaiswal,JC Buttler,AR Patel,0,0,,,,,,"",""
ball,1,4.2,Rajasthan Royals,YBK Jaiswal,JC Buttler,AR Patel,0,0,,,,,,"",""
ball,1,4.3,Rajasthan Royals,YBK Jaiswal,JC Buttler,AR Patel,4,0,,,,,,"",""
ball,1,4.4,Rajasthan Royals,YBK Jaiswal,JC Buttler,AR Patel,4,0,,,,,,"",""
ball,1,4.5,Rajasthan Royals,YBK Jaiswal,JC Buttler,AR Patel,4,0,,,,,,"",""
ball,1,4.6,Rajasthan Royals,YBK Jaiswal,JC Buttler,AR Patel,1,0,,,,,,"",""
ball,1,5.1,Rajasthan Royals,YBK Jaiswal,JC Buttler,A Nortje,0,0,,,,,,"",""
ball,1,5.2,Rajasthan Royals,YBK Jaiswal,JC Buttler,A Nortje,0,0,,,,,,"",""
ball,1,5.3,Rajasthan Royals,YBK Jaiswal,JC Buttler,A Nortje,1,0,,,,,,"",""
ball,1,5.4,Rajasthan Royals,JC Buttler,YBK Jaiswal,A Nortje,4,0,,,,,,"",""
