version,1.7.0
info,balls_per_over,6
info,team,Kolkata Knight Riders
info,team,Delhi Capitals
info,gender,male
info,season,2023
info,date,2023/04/20
info,event,Indian Premier League
info,match_number,28
info,venue,"Arun Jaitley Stadium, Delhi"
info,city,Delhi
info,toss_winner,Delhi Capitals
info,toss_decision,field
info,player_of_match,I Sharma
info,umpire,MA Gough
info,umpire,R Pandit
info,reserve_umpire,Abhijit Bhattacharya
info,tv_umpire,KN Ananthapadmanabhan
info,match_referee,Amit Sharma
info,winner,Delhi Capitals
info,winner_wickets,4
info,player,Kolkata Knight Riders,JJ Roy
info,player,Kolkata Knight Riders,Liton Das
info,player,Kolkata Knight Riders,VR Iyer
info,player,Kolkata Knight Riders,N Rana
info,player,Kolkata Knight Riders,Mandeep Singh
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,AD Russell
info,player,Kolkata Knight Riders,AS Roy
info,player,Kolkata Knight Riders,UT Yadav
info,player,Kolkata Knight Riders,CV Varun
info,player,Kolkata Knight Riders,K Khejroliya
info,player,Delhi Capitals,I Sharma
info,player,Delhi Capitals,DA Warner
info,player,Delhi Capitals,PP Shaw
info,player,Delhi Capitals,MR Marsh
info,player,Delhi Capitals,PD Salt
info,player,Delhi Capitals,MK Pandey
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,Aman Hakim Khan
info,player,Delhi Capitals,Lalit Yadav
info,player,Delhi Capitals,Mukesh Kumar
info,player,Delhi Capitals,Kuldeep Yadav
info,player,Delhi Capitals,A Nortje
info,registry,people,A Nortje,acdc62f5
info,registry,people,AD Russell,bbd41817
info,registry,people,AR Patel,2e171977
info,registry,people,AS Roy,e4cdf230
info,registry,people,Abhijit Bhattacharya,59ec9638
info,registry,people,Aman Hakim Khan,378daa89
info,registry,people,Amit Sharma,7ea3e0cc
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,D Wiese,aa8d28ae
info,registry,people,DA Warner,dcce6f09
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,K Khejroliya,fa2f1dde
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,Lalit Yadav,ad427b5c
info,registry,people,Liton Das,0404d43c
info,registry,people,MA Gough,76752ac8
info,registry,people,MK Pandey,93b4fc78
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,Mandeep Singh,c3a96caf
info,registry,people,Mukesh Kumar,2cffab74
info,registry,people,N Rana,fb2d1dda
info,registry,people,PD Salt,3d284ca3
info,registry,people,PP Shaw,8b3e9c7c
info,registry,people,R Pandit,8a604384
info,registry,people,RK Singh,0a509d6b
info,registry,people,SP Narine,9d430b40
info,registry,people,UT Yadav,cc1e8c68
info,registry,people,VR Iyer,a24be938
info,registry,people,YV Dhull,dd7e9b3b
ball,1,0.1,Kolkata Knight Riders,JJ Roy,Liton Das,I Sharma,0,0,,,,,,"",""
ball,1,0.2,Kolkata Knight Riders,JJ Roy,Liton Das,I Sharma,0,0,,,,,,"",""
ball,1,0.3,Kolkata Knight Riders,JJ Roy,Liton Das,I Sharma,1,0,,,,,,"",""
ball,1,0.4,Kolkata Knight Riders,Liton Das,JJ Roy,I Sharma,4,0,,,,,,"",""
ball,1,0.5,Kolkata Knight Riders,Liton Das,JJ Roy,I Sharma,0,0,,,,,,"",""
ball,1,0.6,Kolkata Knight Riders,Liton Das,JJ Roy,I Sharma,0,0,,,,,,"",""
ball,1,1.1,Kolkata Knight Riders,JJ Roy,Liton Das,Mukesh Kumar,4,0,,,,,,"",""
ball,1,1.2,Kolkata Knight Riders,JJ Roy,Liton Das,Mukesh Kumar,0,0,,,,,,"",""
ball,1,1.3,Kolkata Knight Riders,JJ Roy,Liton Das,Mukesh Kumar,0,0,,,,,,"",""
ball,1,1.4,Kolkata Knight Riders,JJ Roy,Liton Das,Mukesh Kumar,4,0,,,,,,"",""
ball,1,1.5,Kolkata Knight Riders,JJ Roy,Liton Das,Mukesh Kumar,0,1,1,,,,,"",""
ball,1,1.6,Kolkata Knight Riders,JJ Roy,Liton Das,Mukesh Kumar,1,0,,,,,,"",""
ball,1,1.7,Kolkata Knight Riders,Liton Das,JJ Roy,Mukesh Kumar,0,0,,,,,,caught,Liton Das
ball,1,2.1,Kolkata Knight Riders,JJ Roy,VR Iyer,I Sharma,0,0,,,,,,"",""
ball,1,2.2,Kolkata Knight Riders,JJ Roy,VR Iyer,I Sharma,0,0,,,,,,"",""
ball,1,2.3,Kolkata Knight Riders,JJ Roy,VR Iyer,I Sharma,4,0,,,,,,"",""
ball,1,2.4,Kolkata Knight Riders,JJ Roy,VR Iyer,I Sharma,0,0,,,,,,"",""
ball,1,2.5,Kolkata Knight Riders,JJ Roy,VR Iyer,I Sharma,1,0,,,,,,"",""
ball,1,2.6,Kolkata Knight Riders,VR Iyer,JJ Roy,I Sharma,0,0,,,,,,"",""
ball,1,3.1,Kolkata Knight Riders,JJ Roy,VR Iyer,A Nortje,4,0,,,,,,"",""
ball,1,3.2,Kolkata Knight Riders,JJ Roy,VR Iyer,A Nortje,0,1,,,,1,,"",""
ball,1,3.3,Kolkata Knight Riders,VR Iyer,JJ Roy,A Nortje,0,0,,,,,,caught,VR Iyer
ball,1,3.4,Kolkata Knight Riders,N Rana,JJ Roy,A Nortje,0,0,,,,,,"",""
ball,1,3.5,Kolkata Knight Riders,N Rana,JJ Roy,A Nortje,4,0,,,,,,"",""
ball,1,3.6,Kolkata Knight Riders,N Rana,JJ Roy,A Nortje,0,0,,,,,,"",""
ball,1,4.1,Kolkata Knight Riders,JJ Roy,N Rana,Mukesh Kumar,0,1,1,,,,,"",""
