version,1.7.0
info,balls_per_over,6
info,team,Royal Challengers Bengaluru
info,team,Punjab Kings
info,gender,male
info,season,2025
info,date,2025/06/03
info,event,Indian Premier League
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Punjab Kings
info,toss_decision,field
info,player_of_match,KH Pandya
info,umpire,J Madanagopal
info,umpire,Nitin Menon
info,reserve_umpire,KN Ananthapadmanabhan
info,tv_umpire,CB Gaffaney
info,match_referee,J Srinath
info,winner,Royal Challengers Bengaluru
info,winner_runs,6
info,player,Royal Challengers Bengaluru,Suyash Sharma
info,player,Royal Challengers Bengaluru,PD Salt
info,player,Royal Challengers Bengaluru,V Kohli
info,player,Royal Challengers Bengaluru,MA Agarwal
info,player,Royal Challengers Bengaluru,RM Patidar
info,player,Royal Challengers Bengaluru,LS Livingstone
info,player,Royal Challengers Bengaluru,JM Sharma
info,player,Royal Challengers Bengaluru,R Shepherd
info,player,Royal Challengers Bengaluru,KH Pandya
info,player,Royal Challengers Bengaluru,B Kumar
info,player,Royal Challengers Bengaluru,Yash Dayal
info,player,Royal Challengers Bengaluru,JR Hazlewood
info,player,Punjab Kings,YS Chahal
info,player,Punjab Kings,Priyansh Arya
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,JP Inglis
info,player,Punjab Kings,SS Iyer
info,player,Punjab Kings,N Wadhera
info,player,Punjab Kings,Shashank Singh
info,player,Punjab Kings,MP Stoinis
info,player,Punjab Kings,Azmatullah Omarzai
info,player,Punjab Kings,KA Jamieson
info,player,Punjab Kings,Vijaykumar Vyshak
info,player,Punjab Kings,Arshdeep Singh
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,B Kumar,2e81a32d
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,J Madanagopal,8275b04a
info,registry,people,J Srinath,bad31fac
info,registry,people,JM Sharma,800d2d97
info,registry,people,JP Inglis,989889ff
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,KA Jamieson,68c56d09
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MA Agarwal,00ea847a
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MS Bhandage,e96801ea
info,registry,people,N Wadhera,d1a60072
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,P Simran Singh,9418198b
info,registry,people,PD Salt,3d284ca3
info,registry,people,Priyansh Arya,b5797845
info,registry,people,R Shepherd,c5aef772
info,registry,people,RM Patidar,c740ea83
info,registry,people,SS Iyer,85ec8e33
info,registry,people,Shashank Singh,26989d80
info,registry,people,Suyash Sharma,9440ef41
info,registry,people,V Kohli,ba607b88
info,registry,people,Vijaykumar Vyshak,54e52590
info,registry,people,YS Chahal,57ee1fde
info,registry,people,Yash Dayal,7210d461
ball,1,0.1,Royal Challengers Bengaluru,PD Salt,V Kohli,Arshdeep Singh,0,1,1,,,,,"",""
ball,1,0.2,Royal Challengers Bengaluru,PD Salt,V Kohli,Arshdeep Singh,0,0,,,,,,"",""
ball,1,0.3,Royal Challengers Bengaluru,PD Salt,V Kohli,Arshdeep Singh,0,0,,,,,,"",""
ball,1,0.4,Royal Challengers Bengaluru,PD Salt,V Kohli,Arshdeep Singh,6,0,,,,,,"",""
ball,1,0.5,Royal Challengers Bengaluru,PD Salt,V Kohli,Arshdeep Singh,2,0,,,,,,"",""
ball,1,0.6,Royal Challengers Bengaluru,PD Salt,V Kohli,Arshdeep Singh,4,0,,,,,,"",""
ball,1,0.7,Royal Challengers Bengaluru,PD Salt,V Kohli,Arshdeep Singh,0,0,,,,,,"",""
ball,1,1.1,Royal Challengers Bengaluru,V Kohli,PD Salt,KA Jamieson,1,0,,,,,,"",""
ball,1,1.2,Royal Challengers Bengaluru,PD Salt,V Kohli,KA Jamieson,4,0,,,,,,"",""
ball,1,1.3,Royal Challengers Bengaluru,PD Salt,V Kohli,KA Jamieson,0,0,,,,,,"",""
ball,1,1.4,Royal Challengers Bengaluru,PD Salt,V Kohli,KA Jamieson,0,0,,,,,,caught,PD Salt
ball,1,1.5,Royal Challengers Bengaluru,MA Agarwal,V Kohli,KA Jamieson,0,0,,,,,,"",""
ball,1,1.6,Royal Challengers Bengaluru,MA Agarwal,V Kohli,KA Jamieson,1,0,,,,,,"",""
ball,1,2.1,Royal Challengers Bengaluru,MA Agarwal,V Kohli,Arshdeep Singh,2,0,,,,,,"",""
ball,1,2.2,Royal Challengers Bengaluru,MA Agarwal,V Kohli,Arshdeep Singh,0,0,,,,,,"",""
ball,1,2.3,Royal Challengers Bengaluru,MA Agarwal,V Kohli,Arshdeep Singh,1,0,,,,,,"",""
ball,1,2.4,Royal Challengers Bengaluru,V Kohli,MA Agarwal,Arshdeep Singh,1,0,,,,,,"",""
ball,1,2.5,Royal Challengers Bengaluru,MA Agarwal,V Kohli,Arshdeep Singh,0,1,1,,,,,"",""
ball,1,2.6,Royal Challengers Bengaluru,MA Agarwal,V Kohli,Arshdeep Singh,0,0,,,,,,"",""
ball,1,2.7,Royal Challengers Bengaluru,MA Agarwal,V Kohli,Arshdeep Singh,6,0,,,,,,"",""
ball,1,3.1,Royal Challengers Bengaluru,V Kohli,MA Agarwal,KA Jamieson,4,0,,,,,,"",""
ball,1,3.2,Royal Challengers Bengaluru,V Kohli,MA Agarwal,KA Jamieson,1,0,,,,,,"",""
ball,1,3.3,Royal Challengers Bengaluru,MA Agarwal,V Kohli,KA Jamieson,4,0,,,,,,"",""
ball,1,3.4,Royal Challengers Bengaluru,MA Agarwal,V Kohli,KA Jamieson,0,0,,,,,,"",""
ball,1,3.5,Royal Challengers Bengaluru,MA Agarwal,V Kohli,KA Jamieson,0,0,,,,,,"",""
