version,1.7.0
info,balls_per_over,6
info,team,Kolkata Knight Riders
info,team,Mumbai Indians
info,gender,male
info,season,2023
info,date,2023/04/16
info,event,Indian Premier League
info,match_number,22
info,venue,"Wankhede Stadium, Mumbai"
info,city,Mumbai
info,toss_winner,Mumbai Indians
info,toss_decision,field
info,player_of_match,VR Iyer
info,umpire,BNJ Oxenford
info,umpire,UV Gandhe
info,reserve_umpire,PM Joshi
info,tv_umpire,J Madanagopal
info,match_referee,R Seth
info,winner,Mumbai Indians
info,winner_wickets,5
info,player,Kolkata Knight Riders,Suyash Sharma
info,player,Kolkata Knight Riders,Rahmanullah Gurbaz
info,player,Kolkata Knight Riders,N Jagadeesan
info,player,Kolkata Knight Riders,VR Iyer
info,player,Kolkata Knight Riders,N Rana
info,player,Kolkata Knight Riders,SN Thakur
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,AD Russell
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,UT Yadav
info,player,Kolkata Knight Riders,LH Ferguson
info,player,Kolkata Knight Riders,CV Varun
info,player,Mumbai Indians,RP Meredith
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,Ishan Kishan
info,player,Mumbai Indians,SA Yadav
info,player,Mumbai Indians,Tilak Varma
info,player,Mumbai Indians,TH David
info,player,Mumbai Indians,N Wadhera
info,player,Mumbai Indians,C Green
info,player,Mumbai Indians,Arjun Tendulkar
info,player,Mumbai Indians,HR Shokeen
info,player,Mumbai Indians,PP Chawla
info,player,Mumbai Indians,D Jansen
info,registry,people,AD Russell,bbd41817
info,registry,people,Arjun Tendulkar,44aac2f0
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,C Green,eaa76d3c
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,D Jansen,8dc152d1
info,registry,people,HR Shokeen,0c9652b0
info,registry,people,Ishan Kishan,752f7486
info,registry,people,J Madanagopal,8275b04a
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,N Jagadeesan,bd54eef5
info,registry,people,N Rana,fb2d1dda
info,registry,people,N Wadhera,d1a60072
info,registry,people,PM Joshi,0dcc9a8c
info,registry,people,PP Chawla,98ae73b1
info,registry,people,R Seth,540a44ba
info,registry,people,RG Sharma,740742ef
info,registry,people,RK Singh,0a509d6b
info,registry,people,RP Meredith,64775749
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Ramandeep Singh,be24ead0
info,registry,people,SA Yadav,271f83cd
info,registry,people,SN Thakur,1abb78f8
info,registry,people,SP Narine,9d430b40
info,registry,people,Suyash Sharma,9440ef41
info,registry,people,TH David,f1f99156
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,UT Yadav,cc1e8c68
info,registry,people,UV Gandhe,43dd4011
info,registry,people,VR Iyer,a24be938
ball,1,0.1,Kolkata Knight Riders,Rahmanullah Gurbaz,N Jagadeesan,Arjun Tendulkar,0,0,,,,,,"",""
ball,1,0.2,Kolkata Knight Riders,Rahmanullah Gurbaz,N Jagadeesan,Arjun Tendulkar,2,0,,,,,,"",""
ball,1,0.3,Kolkata Knight Riders,Rahmanullah Gurbaz,N Jagadeesan,Arjun Tendulkar,1,0,,,,,,"",""
ball,1,0.4,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,Arjun Tendulkar,0,1,,,,1,,"",""
ball,1,0.5,Kolkata Knight Riders,Rahmanullah Gurbaz,N Jagadeesan,Arjun Tendulkar,0,0,,,,,,"",""
ball,1,0.6,Kolkata Knight Riders,Rahmanullah Gurbaz,N Jagadeesan,Arjun Tendulkar,1,0,,,,,,"",""
ball,1,1.1,Kolkata Knight Riders,Rahmanullah Gurbaz,N Jagadeesan,C Green,1,0,,,,,,"",""
ball,1,1.2,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,C Green,0,0,,,,,,"",""
ball,1,1.3,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,C Green,0,0,,,,,,"",""
ball,1,1.4,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,C Green,0,5,5,,,,,"",""
ball,1,1.5,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,C Green,0,0,,,,,,"",""
ball,1,1.6,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,C Green,0,0,,,,,,caught,N Jagadeesan
ball,1,1.7,Kolkata Knight Riders,VR Iyer,Rahmanullah Gurbaz,C Green,1,0,,,,,,"",""
ball,1,2.1,Kolkata Knight Riders,VR Iyer,Rahmanullah Gurbaz,Arjun Tendulkar,0,0,,,,,,"",""
ball,1,2.2,Kolkata Knight Riders,VR Iyer,Rahmanullah Gurbaz,Arjun Tendulkar,0,0,,,,,,"",""
ball,1,2.3,Kolkata Knight Riders,VR Iyer,Rahmanullah Gurbaz,Arjun Tendulkar,0,1,1,,,,,"",""
ball,1,2.4,Kolkata Knight Riders,VR Iyer,Rahmanullah Gurbaz,Arjun Tendulkar,2,0,,,,,,"",""
ball,1,2.5,Kolkata Knight Riders,VR Iyer,Rahmanullah Gurbaz,Arjun Tendulkar,0,0,,,,,,"",""
ball,1,2.6,Kolkata Knight Riders,VR Iyer,Rahmanullah Gurbaz,Arjun Tendulkar,4,0,,,,,,"",""
ball,1,2.7,Kolkata Knight Riders,VR Iyer,Rahmanullah Gurbaz,Arjun Tendulkar,6,0,,,,,,"",""
ball,1,3.1,Kolkata Knight Riders,Rahmanullah Gurbaz,VR Iyer,C Green,0,1,1,,,,,"",""
