version,1.7.0
info,balls_per_over,6
info,team,Royal Challengers Bangalore
info,team,Mumbai Indians
info,gender,male
info,season,2023
info,date,2023/05/09
info,event,Indian Premier League
info,match_number,54
info,venue,"Wankhede Stadium, Mumbai"
info,city,Mumbai
info,toss_winner,Mumbai Indians
info,toss_decision,field
info,player_of_match,SA Yadav
info,umpire,HAS Khalid
info,umpire,VK Sharma
info,reserve_umpire,VM Dhokre
info,tv_umpire,Nitin Menon
info,match_referee,RS Sodhi
info,winner,Mumbai Indians
info,winner_wickets,6
info,player,Royal Challengers Bangalore,V Kohli
info,player,Royal Challengers Bangalore,F du Plessis
info,player,Royal Challengers Bangalore,Anuj Rawat
info,player,Royal Challengers Bangalore,GJ Maxwell
info,player,Royal Challengers Bangalore,MK Lomror
info,player,Royal Challengers Bangalore,KD Karthik
info,player,Royal Challengers Bangalore,KM Jadhav
info,player,Royal Challengers Bangalore,PWH de Silva
info,player,Royal Challengers Bangalore,JR Hazlewood
info,player,Royal Challengers Bangalore,Mohammed Siraj
info,player,Royal Challengers Bangalore,Vijaykumar Vyshak
info,player,Royal Challengers Bangalore,HV Patel
info,player,Mumbai Indians,Ishan Kishan
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,SA Yadav
info,player,Mumbai Indians,N Wadhera
info,player,Mumbai Indians,TH David
info,player,Mumbai Indians,C Green
info,player,Mumbai Indians,CJ Jordan
info,player,Mumbai Indians,PP Chawla
info,player,Mumbai Indians,JP Behrendorff
info,player,Mumbai Indians,K Kartikeya
info,player,Mumbai Indians,Akash Madhwal
info,registry,people,Akash Madhwal,4bd09374
info,registry,people,Anuj Rawat,c8f5f961
info,registry,people,C Green,eaa76d3c
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,F du Plessis,3355b542
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,HAS Khalid,291ded7c
info,registry,people,HV Patel,f986ca1a
info,registry,people,Ishan Kishan,752f7486
info,registry,people,JP Behrendorff,4933f499
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,K Kartikeya,f6d8a7ab
info,registry,people,KD Karthik,c03f1114
info,registry,people,KM Jadhav,99d63244
info,registry,people,MK Lomror,da934ee8
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,N Wadhera,d1a60072
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,PP Chawla,98ae73b1
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,RG Sharma,740742ef
info,registry,people,RS Sodhi,a3ecf01f
info,registry,people,SA Yadav,271f83cd
info,registry,people,TH David,f1f99156
info,registry,people,V Kohli,ba607b88
info,registry,people,VK Sharma,a7a49df4
info,registry,people,VM Dhokre,67df71c9
info,registry,people,Vijaykumar Vyshak,54e52590
info,registry,people,Vishnu Vinod,0494fa6e
ball,1,0.1,Royal Challengers Bangalore,V Kohli,F du Plessis,JP Behrendorff,0,0,,,,,,"",""
ball,1,0.2,Royal Challengers Bangalore,V Kohli,F du Plessis,JP Behrendorff,0,0,,,,,,"",""
ball,1,0.3,Royal Challengers Bangalore,V Kohli,F du Plessis,JP Behrendorff,1,0,,,,,,"",""
ball,1,0.4,Royal Challengers Bangalore,F du Plessis,V Kohli,JP Behrendorff,1,0,,,,,,"",""
ball,1,0.5,Royal Challengers Bangalore,V Kohli,F du Plessis,JP Behrendorff,0,0,,,,,,caught,V Kohli
ball,1,0.6,Royal Challengers Bangalore,Anuj Rawat,F du Plessis,JP Behrendorff,1,0,,,,,,"",""
ball,1,1.1,Royal Challengers Bangalore,Anuj Rawat,F du Plessis,PP Chawla,1,0,,,,,,"",""
ball,1,1.2,Royal Challengers Bangalore,F du Plessis,Anuj Rawat,PP Chawla,0,0,,,,,,"",""
ball,1,1.3,Royal Challengers Bangalore,F du Plessis,Anuj Rawat,PP Chawla,0,0,,,,,,"",""
ball,1,1.4,Royal Challengers Bangalore,F du Plessis,Anuj Rawat,PP Chawla,4,0,,,,,,"",""
ball,1,1.5,Royal Challengers Bangalore,F du Plessis,Anuj Rawat,PP Chawla,4,0,,,,,,"",""
ball,1,1.6,Royal Challengers Bangalore,F du Plessis,Anuj Rawat,PP Chawla,0,0,,,,,,"",""
ball,1,2.1,Royal Challengers Bangalore,Anuj Rawat,F du Plessis,JP Behrendorff,4,0,,,,,,"",""
ball,1,2.2,Royal Challengers Bangalore,Anuj Rawat,F du Plessis,JP Behrendorff,0,0,,,,,,caught,Anuj Rawat
ball,1,2.3,Royal Challengers Bangalore,GJ Maxwell,F du Plessis,JP Behrendorff,0,0,,,,,,"",""
ball,1,2.4,Royal Challengers Bangalore,GJ Maxwell,F du Plessis,JP Behrendorff,4,0,,,,,,"",""
ball,1,2.5,Royal Challengers Bangalore,GJ Maxwell,F du Plessis,JP Behrendorff,0,0,,,,,,"",""
ball,1,2.6,Royal Challengers Bangalore,GJ Maxwell,F du Plessis,JP Behrendorff,0,0,,,,,,"",""
ball,1,3.1,Royal Challengers Bangalore,F du Plessis,GJ Maxwell,C Green,4,0,,,,,,"",""
ball,1,3.2,Royal Challengers Bangalore,F du Plessis,GJ Maxwell,C Green,0,0,,,,,,"",""
ball,1,3.3,Royal Challengers Bangalore,F du Plessis,GJ Maxwell,C Green,4,0,,,,,,"",""
ball,1,3.4,Royal Challengers Bangalore,F du Plessis,GJ Maxwell,C Green,0,0,,,,,,"",""
ball,1,3.5,Royal Challengers Bangalore,F du Plessis,GJ Maxwell,C Green,1,0,,,,,,"",""
ball,1,3.6,Royal Challengers Bangalore,GJ Maxwell,F du Plessis,C Green,0,0,,,,,,"",""
