version,1.7.0
info,balls_per_over,6
info,team,Chennai Super Kings
info,team,Sunrisers Hyderabad
info,gender,male
info,season,2024
info,date,2024/04/28
info,event,Indian Premier League
info,match_number,46
info,venue,"MA Chidambaram Stadium, Chepauk, Chennai"
info,city,Chennai
info,toss_winner,Sunrisers Hyderabad
info,toss_decision,field
info,player_of_match,RD Gaikwad
info,umpire,R Pandit
info,umpire,MV Saidharshan Kumar
info,reserve_umpire,K Kelkar
info,tv_umpire,AK Chaudhary
info,match_referee,Sanjay Verma
info,winner,Chennai Super Kings
info,winner_runs,78
info,player,Chennai Super Kings,SN Thakur
info,player,Chennai Super Kings,AM Rahane
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,DJ Mitchell
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,MM Ali
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,DL Chahar
info,player,Chennai Super Kings,TU Deshpande
info,player,Chennai Super Kings,Mustafizur Rahman
info,player,Chennai Super Kings,M Pathirana
info,player,Sunrisers Hyderabad,T Natarajan
info,player,Sunrisers Hyderabad,TM Head
info,player,Sunrisers Hyderabad,Abhishek Sharma
info,player,Sunrisers Hyderabad,Anmolpreet Singh
info,player,Sunrisers Hyderabad,AK Markram
info,player,Sunrisers Hyderabad,Nithish Kumar Reddy
info,player,Sunrisers Hyderabad,H Klaasen
info,player,Sunrisers Hyderabad,Abdul Samad
info,player,Sunrisers Hyderabad,Shahbaz Ahmed
info,player,Sunrisers Hyderabad,PJ Cummins
info,player,Sunrisers Hyderabad,B Kumar
info,player,Sunrisers Hyderabad,JD Unadkat
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,AK Markram,6a26221c
info,registry,people,AM Rahane,29e95537
info,registry,people,Abdul Samad,8e514b4c
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,Anmolpreet Singh,1399b39c
info,registry,people,B Kumar,2e81a32d
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DL Chahar,23eeb873
info,registry,people,H Klaasen,235c2bb6
info,registry,people,JD Unadkat,1e66c162
info,registry,people,K Kelkar,1d88908d
info,registry,people,M Pathirana,64839cb3
info,registry,people,MM Ali,bb351c23
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,MV Saidharshan Kumar,54b6007b
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,Nithish Kumar Reddy,aad0c365
info,registry,people,PJ Cummins,ded9240e
info,registry,people,R Pandit,8a604384
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,S Dube,a4e37e47
info,registry,people,SN Thakur,1abb78f8
info,registry,people,Sameer Rizvi,f89d3b11
info,registry,people,Sanjay Verma,bc19a37f
info,registry,people,Shahbaz Ahmed,f9e6e7ef
info,registry,people,T Natarajan,ce794613
info,registry,people,TM Head,12b610c2
info,registry,people,TU Deshpande,46a9bea1
ball,1,0.1,Chennai Super Kings,AM Rahane,RD Gaikwad,B Kumar,2,0,,,,,,"",""
ball,1,0.2,Chennai Super Kings,AM Rahane,RD Gaikwad,B Kumar,0,0,,,,,,"",""
ball,1,0.3,Chennai Super Kings,AM Rahane,RD Gaikwad,B Kumar,0,0,,,,,,"",""
ball,1,0.4,Chennai Super Kings,AM Rahane,RD Gaikwad,B Kumar,0,0,,,,,,"",""
ball,1,0.5,Chennai Super Kings,AM Rahane,RD Gaikwad,B Kumar,1,0,,,,,,"",""
ball,1,0.6,Chennai Super Kings,RD Gaikwad,AM Rahane,B Kumar,1,0,,,,,,"",""
ball,1,1.1,Chennai Super Kings,RD Gaikwad,AM Rahane,Nithish Kumar Reddy,0,1,1,,,,,"",""
ball,1,1.2,Chennai Super Kings,RD Gaikwad,AM Rahane,Nithish Kumar Reddy,1,0,,,,,,"",""
ball,1,1.3,Chennai Super Kings,AM Rahane,RD Gaikwad,Nithish Kumar Reddy,1,0,,,,,,"",""
ball,1,1.4,Chennai Super Kings,RD Gaikwad,AM Rahane,Nithish Kumar Reddy,1,0,,,,,,"",""
ball,1,1.5,Chennai Super Kings,AM Rahane,RD Gaikwad,Nithish Kumar Reddy,0,0,,,,,,"",""
ball,1,1.6,Chennai Super Kings,AM Rahane,RD Gaikwad,Nithish Kumar Reddy,0,1,,,,1,,"",""
ball,1,1.7,Chennai Super Kings,RD Gaikwad,AM Rahane,Nithish Kumar Reddy,4,0,,,,,,"",""
ball,1,2.1,Chennai Super Kings,AM Rahane,RD Gaikwad,B Kumar,4,0,,,,,,"",""
ball,1,2.2,Chennai Super Kings,AM Rahane,RD Gaikwad,B Kumar,1,0,,,,,,"",""
ball,1,2.3,Chennai Super Kings,RD Gaikwad,AM Rahane,B Kumar,1,0,,,,,,"",""
ball,1,2.4,Chennai Super Kings,AM Rahane,RD Gaikwad,B Kumar,0,0,,,,,,"",""
ball,1,2.5,Chennai Super Kings,AM Rahane,RD Gaikwad,B Kumar,0,0,,,,,,caught,AM Rahane
ball,1,2.6,Chennai Super Kings,DJ Mitchell,RD Gaikwad,B Kumar,0,0,,,,,,"",""
ball,1,3.1,Chennai Super Kings,RD Gaikwad,DJ Mitchell,Shahbaz Ahmed,0,0,,,,,,"",""
ball,1,3.2,Chennai Super Kings,RD Gaikwad,DJ Mitchell,Shahbaz Ahmed,1,0,,,,,,"",""
ball,1,3.3,Chennai Super Kings,DJ Mitchell,RD Gaikwad,Shahbaz Ahmed,1,0,,,,,,"",""
ball,1,3.4,Chennai Super Kings,RD Gaikwad,DJ Mitchell,Shahbaz Ahmed,4,0,,,,,,"",""
ball,1,3.5,Chennai Super Kings,RD Gaikwad,DJ Mitchell,Shahbaz Ahmed,4,0,,,,,,"",""
ball,1,3.6,Chennai Super Kings,RD Gaikwad,DJ Mitchell,Shahbaz Ahmed,1,0,,,,,,"",""
