version,1.7.0
info,balls_per_over,6
info,team,Royal Challengers Bengaluru
info,team,Gujarat Titans
info,gender,male
info,season,2025
info,date,2025/04/02
info,event,Indian Premier League
info,match_number,14
info,venue,"M Chinnaswamy Stadium, Bengaluru"
info,city,Bengaluru
info,toss_winner,Gujarat Titans
info,toss_decision,field
info,player_of_match,Mohammed Siraj
info,umpire,Abhijit Bhattacharya
info,umpire,UV Gandhe
info,reserve_umpire,AK Argal
info,tv_umpire,VK Sharma
info,match_referee,V Narayan Kutty
info,winner,Gujarat Titans
info,winner_wickets,8
info,player,Royal Challengers Bengaluru,Rasikh Salam
info,player,Royal Challengers Bengaluru,PD Salt
info,player,Royal Challengers Bengaluru,V Kohli
info,player,Royal Challengers Bengaluru,D Padikkal
info,player,Royal Challengers Bengaluru,RM Patidar
info,player,Royal Challengers Bengaluru,LS Livingstone
info,player,Royal Challengers Bengaluru,JM Sharma
info,player,Royal Challengers Bengaluru,KH Pandya
info,player,Royal Challengers Bengaluru,TH David
info,player,Royal Challengers Bengaluru,B Kumar
info,player,Royal Challengers Bengaluru,JR Hazlewood
info,player,Royal Challengers Bengaluru,Yash Dayal
info,player,Gujarat Titans,I Sharma
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,JC Buttler
info,player,Gujarat Titans,SE Rutherford
info,player,Gujarat Titans,M Shahrukh Khan
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Arshad Khan
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,R Sai Kishore
info,player,Gujarat Titans,Mohammed Siraj
info,player,Gujarat Titans,M Prasidh Krishna
info,registry,people,AK Argal,0ee78cf3
info,registry,people,Abhijit Bhattacharya,59ec9638
info,registry,people,Arshad Khan,12314277
info,registry,people,B Kumar,2e81a32d
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,JC Buttler,99b75528
info,registry,people,JM Sharma,800d2d97
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,KH Pandya,5b8c830e
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,M Prasidh Krishna,85e0cf10
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,PD Salt,3d284ca3
info,registry,people,R Sai Kishore,c7a995d3
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RM Patidar,c740ea83
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Rasikh Salam,b8527c3d
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,Shubman Gill,b4b99816
info,registry,people,TH David,f1f99156
info,registry,people,UV Gandhe,43dd4011
info,registry,people,V Kohli,ba607b88
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,VK Sharma,a7a49df4
info,registry,people,Yash Dayal,7210d461
ball,1,0.1,Royal Challengers Bengaluru,PD Salt,V Kohli,Mohammed Siraj,1,0,,,,,,"",""
ball,1,0.2,Royal Challengers Bengaluru,V Kohli,PD Salt,Mohammed Siraj,4,0,,,,,,"",""
ball,1,0.3,Royal Challengers Bengaluru,V Kohli,PD Salt,Mohammed Siraj,1,0,,,,,,"",""
ball,1,0.4,Royal Challengers Bengaluru,PD Salt,V Kohli,Mohammed Siraj,0,0,,,,,,"",""
ball,1,0.5,Royal Challengers Bengaluru,PD Salt,V Kohli,Mohammed Siraj,0,0,,,,,,"",""
ball,1,0.6,Royal Challengers Bengaluru,PD Salt,V Kohli,Mohammed Siraj,0,0,,,,,,"",""
ball,1,1.1,Royal Challengers Bengaluru,V Kohli,PD Salt,Arshad Khan,2,0,,,,,,"",""
ball,1,1.2,Royal Challengers Bengaluru,V Kohli,PD Salt,Arshad Khan,0,0,,,,,,"",""
ball,1,1.3,Royal Challengers Bengaluru,V Kohli,PD Salt,Arshad Khan,0,0,,,,,,"",""
ball,1,1.4,Royal Challengers Bengaluru,V Kohli,PD Salt,Arshad Khan,0,0,,,,,,caught,V Kohli
ball,1,1.5,Royal Challengers Bengaluru,D Padikkal,PD Salt,Arshad Khan,4,0,,,,,,"",""
ball,1,1.6,Royal Challengers Bengaluru,D Padikkal,PD Salt,Arshad Khan,0,0,,,,,,"",""
ball,1,2.1,Royal Challengers Bengaluru,PD Salt,D Padikkal,Mohammed Siraj,0,1,,,,1,,"",""
ball,1,2.2,Royal Challengers Bengaluru,D Padikkal,PD Salt,Mohammed Siraj,0,0,,,,,,bowled,D Padikkal
ball,1,2.3,Royal Challengers Bengaluru,RM Patidar,PD Salt,Mohammed Siraj,0,0,,,,,,"",""
ball,1,2.4,Royal Challengers Bengaluru,RM Patidar,PD Salt,Mohammed Siraj,0,1,,,,1,,"",""
ball,1,2.5,Royal Challengers Bengaluru,PD Salt,RM Patidar,Mohammed Siraj,0,0,,,,,,"",""
ball,1,2.6,Royal Challengers Bengaluru,PD Salt,RM Patidar,Mohammed Siraj,1,0,,,,,,"",""
ball,1,3.1,Royal Challengers Bengaluru,PD Salt,RM Patidar,Arshad Khan,0,1,,,,1,,"",""
ball,1,3.2,Royal Challengers Bengaluru,RM Patidar,PD Salt,Arshad Khan,0,1,1,,,,,"",""
ball,1,3.3,Royal Challengers Bengaluru,RM Patidar,PD Salt,Arshad Khan,4,0,,,,,,"",""
ball,1,3.4,Royal Challengers Bengaluru,RM Patidar,PD Salt,Arshad Khan,0,0,,,,,,"",""
ball,1,3.5,Royal Challengers Bengaluru,RM Patidar,PD Salt,Arshad Khan,1,0,,,,,,"",""
ball,1,3.6,Royal Challengers Bengaluru,PD Salt,RM Patidar,Arshad Khan,4,0,,,,,,"",""
ball,1,3.7,Royal Challengers Bengaluru,PD Salt,RM Patidar,Arshad Khan,1,0,,,,,,"",""
