version,1.7.0
info,balls_per_over,6
info,team,Kolkata Knight Riders
info,team,Gujarat Titans
info,gender,male
info,season,2023
info,date,2023/04/29
info,event,Indian Premier League
info,match_number,39
info,venue,"Eden Gardens, Kolkata"
info,city,Kolkata
info,toss_winner,Gujarat Titans
info,toss_decision,field
info,player_of_match,J Little
info,umpire,NA Patwardhan
info,umpire,GR Sadashiv Iyer
info,reserve_umpire,M Krishnadas
info,tv_umpire,CB Gaffaney
info,match_referee,SA Satbhai
info,winner,Gujarat Titans
info,winner_wickets,7
info,player,Kolkata Knight Riders,Suyash Sharma
info,player,Kolkata Knight Riders,N Jagadeesan
info,player,Kolkata Knight Riders,Rahmanullah Gurbaz
info,player,Kolkata Knight Riders,SN Thakur
info,player,Kolkata Knight Riders,VR Iyer
info,player,Kolkata Knight Riders,N Rana
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,AD Russell
info,player,Kolkata Knight Riders,D Wiese
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,Harshit Rana
info,player,Kolkata Knight Riders,CV Varun
info,player,Gujarat Titans,MM Sharma
info,player,Gujarat Titans,WP Saha
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,HH Pandya
info,player,Gujarat Titans,V Shankar
info,player,Gujarat Titans,DA Miller
info,player,Gujarat Titans,A Manohar
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,Noor Ahmad
info,player,Gujarat Titans,Mohammed Shami
info,player,Gujarat Titans,J Little
info,registry,people,A Manohar,0890552f
info,registry,people,AD Russell,bbd41817
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,D Wiese,aa8d28ae
info,registry,people,DA Miller,d67d5f00
info,registry,people,GR Sadashiv Iyer,0be62e31
info,registry,people,HH Pandya,dbe50b21
info,registry,people,Harshit Rana,77b1aa15
info,registry,people,J Little,9061a703
info,registry,people,M Krishnadas,e298c588
info,registry,people,MM Sharma,759ac88f
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,N Jagadeesan,bd54eef5
info,registry,people,N Rana,fb2d1dda
info,registry,people,NA Patwardhan,e6ef687d
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RK Singh,0a509d6b
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SA Satbhai,1b80ebeb
info,registry,people,SN Thakur,1abb78f8
info,registry,people,SP Narine,9d430b40
info,registry,people,Shubman Gill,b4b99816
info,registry,people,Suyash Sharma,9440ef41
info,registry,people,V Shankar,0994d0ae
info,registry,people,VR Iyer,a24be938
info,registry,people,WP Saha,fe11caa6
ball,1,0.1,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,Mohammed Shami,0,0,,,,,,"",""
ball,1,0.2,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,Mohammed Shami,0,0,,,,,,"",""
ball,1,0.3,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,Mohammed Shami,0,0,,,,,,"",""
ball,1,0.4,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,Mohammed Shami,0,0,,,,,,"",""
ball,1,0.5,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,Mohammed Shami,1,0,,,,,,"",""
ball,1,0.6,Kolkata Knight Riders,Rahmanullah Gurbaz,N Jagadeesan,Mohammed Shami,2,0,,,,,,"",""
ball,1,1.1,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,HH Pandya,0,0,,,,,,"",""
ball,1,1.2,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,HH Pandya,4,0,,,,,,"",""
ball,1,1.3,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,HH Pandya,0,1,1,,,,,"",""
ball,1,1.4,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,HH Pandya,0,0,,,,,,"",""
ball,1,1.5,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,HH Pandya,4,0,,,,,,"",""
ball,1,1.6,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,HH Pandya,0,0,,,,,,"",""
ball,1,1.7,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,HH Pandya,4,0,,,,,,"",""
ball,1,2.1,Kolkata Knight Riders,Rahmanullah Gurbaz,N Jagadeesan,Mohammed Shami,1,0,,,,,,"",""
ball,1,2.2,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,Mohammed Shami,0,0,,,,,,"",""
ball,1,2.3,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,Mohammed Shami,4,0,,,,,,"",""
ball,1,2.4,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,Mohammed Shami,2,0,,,,,,"",""
ball,1,2.5,Kolkata Knight Riders,N Jagadeesan,Rahmanullah Gurbaz,Mohammed Shami,0,0,,,,,,lbw,N Jagadeesan
ball,1,2.6,Kolkata Knight Riders,SN Thakur,Rahmanullah Gurbaz,Mohammed Shami,0,0,,,,,,"",""
ball,1,3.1,Kolkata Knight Riders,Rahmanullah Gurbaz,SN Thakur,HH Pandya,0,0,,,,,,"",""
ball,1,3.2,Kolkata Knight Riders,Rahmanullah Gurbaz,SN Thakur,HH Pandya,6,0,,,,,,"",""
