version,1.7.0
info,balls_per_over,6
info,team,Chennai Super Kings
info,team,Punjab Kings
info,gender,male
info,season,2021
info,date,2021/10/07
info,event,Indian Premier League
info,match_number,53
info,venue,Dubai International Cricket Stadium
info,city,Dubai
info,toss_winner,Punjab Kings
info,toss_decision,field
info,player_of_match,KL Rahul
info,umpire,K Srinivasan
info,umpire,RK Illingworth
info,reserve_umpire,J Madanagopal
info,tv_umpire,AY Dandekar
info,match_referee,J Srinath
info,winner,Punjab Kings
info,winner_wickets,6
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,F du Plessis
info,player,Chennai Super Kings,MM Ali
info,player,Chennai Super Kings,RV Uthappa
info,player,Chennai Super Kings,AT Rayudu
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,DJ Bravo
info,player,Chennai Super Kings,DL Chahar
info,player,Chennai Super Kings,SN Thakur
info,player,Chennai Super Kings,JR Hazlewood
info,player,Punjab Kings,KL Rahul
info,player,Punjab Kings,MA Agarwal
info,player,Punjab Kings,SN Khan
info,player,Punjab Kings,M Shahrukh Khan
info,player,Punjab Kings,AK Markram
info,player,Punjab Kings,MC Henriques
info,player,Punjab Kings,CJ Jordan
info,player,Punjab Kings,Harpreet Brar
info,player,Punjab Kings,Ravi Bishnoi
info,player,Punjab Kings,Mohammed Shami
info,player,Punjab Kings,Arshdeep Singh
info,registry,people,AK Markram,6a26221c
info,registry,people,AT Rayudu,70d205c9
info,registry,people,AY Dandekar,2efc430e
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,DJ Bravo,87e562a9
info,registry,people,DL Chahar,23eeb873
info,registry,people,F du Plessis,3355b542
info,registry,people,Harpreet Brar,c05edf8e
info,registry,people,J Madanagopal,8275b04a
info,registry,people,J Srinath,bad31fac
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,K Srinivasan,042a8b69
info,registry,people,KL Rahul,b17e2f24
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,MA Agarwal,00ea847a
info,registry,people,MC Henriques,32198ae0
info,registry,people,MM Ali,bb351c23
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,RK Illingworth,20672246
info,registry,people,RV Uthappa,1c17e270
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SN Khan,f088b960
info,registry,people,SN Thakur,1abb78f8
ball,1,0.1,Chennai Super Kings,RD Gaikwad,F du Plessis,Mohammed Shami,1,0,,,,,,"",""
ball,1,0.2,Chennai Super Kings,F du Plessis,RD Gaikwad,Mohammed Shami,1,0,,,,,,"",""
ball,1,0.3,Chennai Super Kings,RD Gaikwad,F du Plessis,Mohammed Shami,0,0,,,,,,"",""
ball,1,0.4,Chennai Super Kings,RD Gaikwad,F du Plessis,Mohammed Shami,0,0,,,,,,"",""
ball,1,0.5,Chennai Super Kings,RD Gaikwad,F du Plessis,Mohammed Shami,1,0,,,,,,"",""
ball,1,0.6,Chennai Super Kings,F du Plessis,RD Gaikwad,Mohammed Shami,0,0,,,,,,"",""
ball,1,1.1,Chennai Super Kings,RD Gaikwad,F du Plessis,Harpreet Brar,4,0,,,,,,"",""
ball,1,1.2,Chennai Super Kings,RD Gaikwad,F du Plessis,Harpreet Brar,1,0,,,,,,"",""
ball,1,1.3,Chennai Super Kings,F du Plessis,RD Gaikwad,Harpreet Brar,0,0,,,,,,"",""
ball,1,1.4,Chennai Super Kings,F du Plessis,RD Gaikwad,Harpreet Brar,0,2,2,,,,,"",""
ball,1,1.5,Chennai Super Kings,RD Gaikwad,F du Plessis,Harpreet Brar,0,0,,,,,,"",""
ball,1,1.6,Chennai Super Kings,RD Gaikwad,F du Plessis,Harpreet Brar,1,0,,,,,,"",""
ball,1,1.7,Chennai Super Kings,F du Plessis,RD Gaikwad,Harpreet Brar,0,0,,,,,,"",""
ball,1,2.1,Chennai Super Kings,RD Gaikwad,F du Plessis,Mohammed Shami,0,0,,,,,,"",""
ball,1,2.2,Chennai Super Kings,RD Gaikwad,F du Plessis,Mohammed Shami,0,0,,,,,,"",""
ball,1,2.3,Chennai Super Kings,RD Gaikwad,F du Plessis,Mohammed Shami,1,0,,,,,,"",""
ball,1,2.4,Chennai Super Kings,F du Plessis,RD Gaikwad,Mohammed Shami,0,0,,,,,,"",""
ball,1,2.5,Chennai Super Kings,F du Plessis,RD Gaikwad,Mohammed Shami,0,0,,,,,,"",""
ball,1,2.6,Chennai Super Kings,F du Plessis,RD Gaikwad,Mohammed Shami,1,0,,,,,,"",""
ball,1,3.1,Chennai Super Kings,F du Plessis,RD Gaikwad,Arshdeep Singh,1,0,,,,,,"",""
ball,1,3.2,Chennai Super Kings,RD Gaikwad,F du Plessis,Arshdeep Singh,2,0,,,,,,"",""
ball,1,3.3,Chennai Super Kings,RD Gaikwad,F du Plessis,Arshdeep Singh,1,0,,,,,,"",""
