version,1.7.0
info,balls_per_over,6
info,team,Royal Challengers Bengaluru
info,team,Chennai Super Kings
info,gender,male
info,season,2025
info,date,2025/03/28
info,event,Indian Premier League
info,match_number,8
info,venue,"MA Chidambaram Stadium, Chepauk, Chennai"
info,city,Chennai
info,toss_winner,Chennai Super Kings
info,toss_decision,field
info,player_of_match,RM Patidar
info,umpire,Nitin Menon
info,umpire,HAS Khalid
info,reserve_umpire,Bhavesh Patel
info,tv_umpire,KN Ananthapadmanabhan
info,match_referee,J Srinath
info,winner,Royal Challengers Bengaluru
info,winner_runs,50
info,player,Royal Challengers Bengaluru,Suyash Sharma
info,player,Royal Challengers Bengaluru,PD Salt
info,player,Royal Challengers Bengaluru,V Kohli
info,player,Royal Challengers Bengaluru,D Padikkal
info,player,Royal Challengers Bengaluru,RM Patidar
info,player,Royal Challengers Bengaluru,LS Livingstone
info,player,Royal Challengers Bengaluru,JM Sharma
info,player,Royal Challengers Bengaluru,TH David
info,player,Royal Challengers Bengaluru,KH Pandya
info,player,Royal Challengers Bengaluru,B Kumar
info,player,Royal Challengers Bengaluru,JR Hazlewood
info,player,Royal Challengers Bengaluru,Yash Dayal
info,player,Chennai Super Kings,M Pathirana
info,player,Chennai Super Kings,R Ravindra
info,player,Chennai Super Kings,RA Tripathi
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,DJ Hooda
info,player,Chennai Super Kings,SM Curran
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,R Ashwin
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,Noor Ahmad
info,player,Chennai Super Kings,KK Ahmed
info,registry,people,B Kumar,2e81a32d
info,registry,people,Bhavesh Patel,ee03dc30
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,HAS Khalid,291ded7c
info,registry,people,J Srinath,bad31fac
info,registry,people,JM Sharma,800d2d97
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KK Ahmed,a2f46292
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,M Pathirana,64839cb3
info,registry,people,MS Bhandage,e96801ea
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,PD Salt,3d284ca3
info,registry,people,R Ashwin,495d42a5
info,registry,people,R Ravindra,ba5e1069
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RA Tripathi,77255a9e
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,RM Patidar,c740ea83
info,registry,people,S Dube,a4e37e47
info,registry,people,SM Curran,e94915e6
info,registry,people,Suyash Sharma,9440ef41
info,registry,people,TH David,f1f99156
info,registry,people,V Kohli,ba607b88
info,registry,people,Yash Dayal,7210d461
ball,1,0.1,Royal Challengers Bengaluru,PD Salt,V Kohli,KK Ahmed,0,0,,,,,,"",""
ball,1,0.2,Royal Challengers Bengaluru,PD Salt,V Kohli,KK Ahmed,0,0,,,,,,"",""
ball,1,0.3,Royal Challengers Bengaluru,PD Salt,V Kohli,KK Ahmed,0,0,,,,,,"",""
ball,1,0.4,Royal Challengers Bengaluru,PD Salt,V Kohli,KK Ahmed,4,0,,,,,,"",""
ball,1,0.5,Royal Challengers Bengaluru,PD Salt,V Kohli,KK Ahmed,4,0,,,,,,"",""
ball,1,0.6,Royal Challengers Bengaluru,PD Salt,V Kohli,KK Ahmed,1,0,,,,,,"",""
ball,1,1.1,Royal Challengers Bengaluru,PD Salt,V Kohli,R Ashwin,6,0,,,,,,"",""
ball,1,1.2,Royal Challengers Bengaluru,PD Salt,V Kohli,R Ashwin,4,0,,,,,,"",""
ball,1,1.3,Royal Challengers Bengaluru,PD Salt,V Kohli,R Ashwin,1,0,,,,,,"",""
ball,1,1.4,Royal Challengers Bengaluru,V Kohli,PD Salt,R Ashwin,0,0,,,,,,"",""
ball,1,1.5,Royal Challengers Bengaluru,V Kohli,PD Salt,R Ashwin,1,0,,,,,,"",""
ball,1,1.6,Royal Challengers Bengaluru,PD Salt,V Kohli,R Ashwin,4,0,,,,,,"",""
ball,1,2.1,Royal Challengers Bengaluru,V Kohli,PD Salt,KK Ahmed,0,0,,,,,,"",""
ball,1,2.2,Royal Challengers Bengaluru,V Kohli,PD Salt,KK Ahmed,0,0,,,,,,"",""
ball,1,2.3,Royal Challengers Bengaluru,V Kohli,PD Salt,KK Ahmed,0,1,,,,1,,"",""
ball,1,2.4,Royal Challengers Bengaluru,PD Salt,V Kohli,KK Ahmed,4,0,,,,,,"",""
ball,1,2.5,Royal Challengers Bengaluru,PD Salt,V Kohli,KK Ahmed,0,0,,,,,,"",""
ball,1,2.6,Royal Challengers Bengaluru,PD Salt,V Kohli,KK Ahmed,2,0,,,,,,"",""
ball,1,3.1,Royal Challengers Bengaluru,V Kohli,PD Salt,SM Curran,0,0,,,,,,"",""
ball,1,3.2,Royal Challengers Bengaluru,V Kohli,PD Salt,SM Curran,2,0,,,,,,"",""
ball,1,3.3,Royal Challengers Bengaluru,V Kohli,PD Salt,SM Curran,0,0,,,,,,"",""
ball,1,3.4,Royal Challengers Bengaluru,V Kohli,PD Salt,SM Curran,0,1,,,,1,,"",""
ball,1,3.5,Royal Challengers Bengaluru,PD Salt,V Kohli,SM Curran,1,0,,,,,,"",""
ball,1,3.6,Royal Challengers Bengaluru,V Kohli,PD Salt,SM Curran,1,0,,,,,,"",""
ball,1,4.1,Royal Challengers Bengaluru,V Kohli,PD Salt,Noor Ahmad,1,0,,,,,,"",""
ball,1,4.2,Royal Challengers Bengaluru,PD Salt,V Kohli,Noor Ahmad,0,1,1,,,,,"",""
