version,1.7.0
info,balls_per_over,6
info,team,Delhi Capitals
info,team,Gujarat Titans
info,gender,male
info,season,2025
info,date,2025/05/18
info,event,Indian Premier League
info,match_number,60
info,venue,"Arun Jaitley Stadium, Delhi"
info,city,Delhi
info,toss_winner,Gujarat Titans
info,toss_decision,field
info,player_of_match,B Sai Sudharsan
info,umpire,AT Holdstock
info,umpire,K Kelkar
info,reserve_umpire,Amit Rana
info,tv_umpire,R Pandit
info,match_referee,A Kripal Singh
info,winner,Gujarat Titans
info,winner_wickets,10
info,player,Delhi Capitals,PVD Chameera
info,player,Delhi Capitals,KL Rahul
info,player,Delhi Capitals,F du Plessis
info,player,Delhi Capitals,Abishek Porel
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,T Stubbs
info,player,Delhi Capitals,Sameer Rizvi
info,player,Delhi Capitals,Ashutosh Sharma
info,player,Delhi Capitals,V Nigam
info,player,Delhi Capitals,T Natarajan
info,player,Delhi Capitals,Kuldeep Yadav
info,player,Delhi Capitals,Mustafizur Rahman
info,player,Gujarat Titans,M Prasidh Krishna
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,SE Rutherford
info,player,Gujarat Titans,JC Buttler
info,player,Gujarat Titans,M Shahrukh Khan
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,K Rabada
info,player,Gujarat Titans,Arshad Khan
info,player,Gujarat Titans,R Sai Kishore
info,player,Gujarat Titans,Mohammed Siraj
info,registry,people,A Kripal Singh,8f559207
info,registry,people,AR Patel,2e171977
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,Abishek Porel,ad3b6e95
info,registry,people,Amit Rana,f5db088b
info,registry,people,Arshad Khan,12314277
info,registry,people,Ashutosh Sharma,84d9c311
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,F du Plessis,3355b542
info,registry,people,JC Buttler,99b75528
info,registry,people,K Kelkar,1d88908d
info,registry,people,K Rabada,e62dd25d
info,registry,people,KL Rahul,b17e2f24
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,M Prasidh Krishna,85e0cf10
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,PVD Chameera,327b58d3
info,registry,people,R Pandit,8a604384
info,registry,people,R Sai Kishore,c7a995d3
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,Sameer Rizvi,f89d3b11
info,registry,people,Shubman Gill,b4b99816
info,registry,people,T Natarajan,ce794613
info,registry,people,T Stubbs,85b3fab2
info,registry,people,V Nigam,5ffc0565
ball,1,0.1,Delhi Capitals,KL Rahul,F du Plessis,Mohammed Siraj,0,0,,,,,,"",""
ball,1,0.2,Delhi Capitals,KL Rahul,F du Plessis,Mohammed Siraj,0,0,,,,,,"",""
ball,1,0.3,Delhi Capitals,KL Rahul,F du Plessis,Mohammed Siraj,0,0,,,,,,"",""
ball,1,0.4,Delhi Capitals,KL Rahul,F du Plessis,Mohammed Siraj,0,1,1,,,,,"",""
ball,1,0.5,Delhi Capitals,KL Rahul,F du Plessis,Mohammed Siraj,4,0,,,,,,"",""
ball,1,0.6,Delhi Capitals,KL Rahul,F du Plessis,Mohammed Siraj,0,0,,,,,,"",""
ball,1,0.7,Delhi Capitals,KL Rahul,F du Plessis,Mohammed Siraj,4,0,,,,,,"",""
ball,1,1.1,Delhi Capitals,F du Plessis,KL Rahul,Arshad Khan,0,0,,,,,,"",""
ball,1,1.2,Delhi Capitals,F du Plessis,KL Rahul,Arshad Khan,0,1,1,,,,,"",""
ball,1,1.3,Delhi Capitals,F du Plessis,KL Rahul,Arshad Khan,0,0,,,,,,"",""
ball,1,1.4,Delhi Capitals,F du Plessis,KL Rahul,Arshad Khan,0,0,,,,,,"",""
ball,1,1.5,Delhi Capitals,F du Plessis,KL Rahul,Arshad Khan,0,0,,,,,,"",""
ball,1,1.6,Delhi Capitals,F du Plessis,KL Rahul,Arshad Khan,0,0,,,,,,"",""
ball,1,1.7,Delhi Capitals,F du Plessis,KL Rahul,Arshad Khan,1,0,,,,,,"",""
ball,1,2.1,Delhi Capitals,F du Plessis,KL Rahul,Mohammed Siraj,1,0,,,,,,"",""
ball,1,2.2,Delhi Capitals,KL Rahul,F du Plessis,Mohammed Siraj,0,0,,,,,,"",""
ball,1,2.3,Delhi Capitals,KL Rahul,F du Plessis,Mohammed Siraj,0,0,,,,,,"",""
ball,1,2.4,Delhi Capitals,KL Rahul,F du Plessis,Mohammed Siraj,1,0,,,,,,"",""
ball,1,2.5,Delhi Capitals,F du Plessis,KL Rahul,Mohammed Siraj,1,0,,,,,,"",""
ball,1,2.6,Delhi Capitals,KL Rahul,F du Plessis,Mohammed Siraj,0,0,,,,,,"",""
ball,1,3.1,Delhi Capitals,F du Plessis,KL Rahul,Arshad Khan,2,0,,,,,,"",""
ball,1,3.2,Delhi Capitals,F du Plessis,KL Rahul,Arshad Khan,0,0,,,,,,caught,F du Plessis
ball,1,3.3,Delhi Capitals,Abishek Porel,KL Rahul,Arshad Khan,1,0,,,,,,"",""
ball,1,3.4,Delhi Capitals,KL Rahul,Abishek Porel,Arshad Khan,1,0,,,,,,"",""
ball,1,3.5,Delhi Capitals,Abishek Porel,KL Rahul,Arshad Khan,0,1,1,,,,,"",""
