version,1.7.0
info,balls_per_over,6
info,team,Gujarat Titans
info,team,Kolkata Knight Riders
info,gender,male
info,season,2023
info,date,2023/04/09
info,event,Indian Premier League
info,match_number,13
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Gujarat Titans
info,toss_decision,bat
info,player_of_match,RK Singh
info,umpire,Nitin Menon
info,umpire,Tapan Sharma
info,reserve_umpire,A Bengeri
info,tv_umpire,HAS Khalid
info,match_referee,J Srinath
info,winner,Kolkata Knight Riders
info,winner_wickets,3
info,player,Gujarat Titans,J Little
info,player,Gujarat Titans,WP Saha
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,A Manohar
info,player,Gujarat Titans,V Shankar
info,player,Gujarat Titans,DA Miller
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,AS Joseph
info,player,Gujarat Titans,Mohammed Shami
info,player,Gujarat Titans,Yash Dayal
info,player,Kolkata Knight Riders,Suyash Sharma
info,player,Kolkata Knight Riders,Rahmanullah Gurbaz
info,player,Kolkata Knight Riders,N Jagadeesan
info,player,Kolkata Knight Riders,VR Iyer
info,player,Kolkata Knight Riders,N Rana
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,AD Russell
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,SN Thakur
info,player,Kolkata Knight Riders,UT Yadav
info,player,Kolkata Knight Riders,LH Ferguson
info,player,Kolkata Knight Riders,CV Varun
info,registry,people,A Bengeri,c109497d
info,registry,people,A Manohar,0890552f
info,registry,people,AD Russell,bbd41817
info,registry,people,AS Joseph,b0946605
info,registry,people,AS Roy,e4cdf230
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,DA Miller,d67d5f00
info,registry,people,HAS Khalid,291ded7c
info,registry,people,J Little,9061a703
info,registry,people,J Srinath,bad31fac
info,registry,people,J Yadav,81049310
info,registry,people,KS Bharat,44a89551
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,N Jagadeesan,bd54eef5
info,registry,people,N Rana,fb2d1dda
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RK Singh,0a509d6b
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SN Thakur,1abb78f8
info,registry,people,SP Narine,9d430b40
info,registry,people,Shubman Gill,b4b99816
info,registry,people,Suyash Sharma,9440ef41
info,registry,people,Tapan Sharma,b9aa2b6e
info,registry,people,UT Yadav,cc1e8c68
info,registry,people,V Shankar,0994d0ae
info,registry,people,VR Iyer,a24be938
info,registry,people,WP Saha,fe11caa6
info,registry,people,Yash Dayal,7210d461
ball,1,0.1,Gujarat Titans,WP Saha,Shubman Gill,UT Yadav,0,0,,,,,,"",""
ball,1,0.2,Gujarat Titans,WP Saha,Shubman Gill,UT Yadav,1,0,,,,,,"",""
ball,1,0.3,Gujarat Titans,Shubman Gill,WP Saha,UT Yadav,1,0,,,,,,"",""
ball,1,0.4,Gujarat Titans,WP Saha,Shubman Gill,UT Yadav,0,0,,,,,,"",""
ball,1,0.5,Gujarat Titans,WP Saha,Shubman Gill,UT Yadav,0,1,,,,1,,"",""
ball,1,0.6,Gujarat Titans,Shubman Gill,WP Saha,UT Yadav,1,0,,,,,,"",""
ball,1,1.1,Gujarat Titans,Shubman Gill,WP Saha,SN Thakur,1,0,,,,,,"",""
ball,1,1.2,Gujarat Titans,WP Saha,Shubman Gill,SN Thakur,4,0,,,,,,"",""
ball,1,1.3,Gujarat Titans,WP Saha,Shubman Gill,SN Thakur,0,1,,,1,,,"",""
ball,1,1.4,Gujarat Titans,Shubman Gill,WP Saha,SN Thakur,1,0,,,,,,"",""
ball,1,1.5,Gujarat Titans,WP Saha,Shubman Gill,SN Thakur,0,1,1,,,,,"",""
ball,1,1.6,Gujarat Titans,WP Saha,Shubman Gill,SN Thakur,1,0,,,,,,"",""
ball,1,1.7,Gujarat Titans,Shubman Gill,WP Saha,SN Thakur,4,0,,,,,,"",""
ball,1,2.1,Gujarat Titans,WP Saha,Shubman Gill,UT Yadav,1,0,,,,,,"",""
ball,1,2.2,Gujarat Titans,Shubman Gill,WP Saha,UT Yadav,1,0,,,,,,"",""
ball,1,2.3,Gujarat Titans,WP Saha,Shubman Gill,UT Yadav,0,0,,,,,,"",""
ball,1,2.4,Gujarat Titans,WP Saha,Shubman Gill,UT Yadav,0,0,,,,,,"",""
ball,1,2.5,Gujarat Titans,WP Saha,Shubman Gill,UT Yadav,0,1,1,,,,,"",""
ball,1,2.6,Gujarat Titans,WP Saha,Shubman Gill,UT Yadav,4,0,,,,,,"",""
ball,1,2.7,Gujarat Titans,WP Saha,Shubman Gill,UT Yadav,0,0,,,,,,"",""
ball,1,3.1,Gujarat Titans,Shubman Gill,WP Saha,LH Ferguson,0,0,,,,,,"",""
ball,1,3.2,Gujarat Titans,Shubman Gill,WP Saha,LH Ferguson,1,0,,,,,,"",""
ball,1,3.3,Gujarat Titans,WP Saha,Shubman Gill,LH Ferguson,4,0,,,,,,"",""
ball,1,3.4,Gujarat Titans,WP Saha,Shubman Gill,LH Ferguson,0,0,,,,,,"",""
ball,1,3.5,Gujarat Titans,WP Saha,Shubman Gill,LH Ferguson,0,1,1,,,,,"",""
ball,1,3.6,Gujarat Titans,WP Saha,Shubman Gill,LH Ferguson,0,1,,,,1,,"",""
ball,1,3.7,Gujarat Titans,Shubman Gill,WP Saha,LH Ferguson,0,0,,,,,,"",""
ball,1,4.1,Gujarat Titans,WP Saha,Shubman Gill,SP Narine,2,0,,,,,,"",""
ball,1,4.2,Gujarat Titans,WP Saha,Shubman Gill,SP Narine,0,0,,,,,,caught,WP Saha
ball,1,4.3,Gujarat Titans,B Sai Sudharsan,Shubman Gill,SP Narine,0,1,1,,,,,"",""
