version,1.7.0
info,balls_per_over,6
info,team,Punjab Kings
info,team,Gujarat Titans
info,gender,male
info,season,2024
info,date,2024/04/21
info,event,Indian Premier League
info,match_number,37
info,venue,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
info,city,Mohali
info,toss_winner,Punjab Kings
info,toss_decision,bat
info,player_of_match,R Sai Kishore
info,umpire,A Nand Kishore
info,umpire,VA Kulkarni
info,reserve_umpire,K Kelkar
info,tv_umpire,HAS Khalid
info,match_referee,J Srinath
info,winner,Gujarat Titans
info,winner_wickets,3
info,player,Punjab Kings,SM Curran
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,RR Rossouw
info,player,Punjab Kings,JM Sharma
info,player,Punjab Kings,LS Livingstone
info,player,Punjab Kings,Shashank Singh
info,player,Punjab Kings,Ashutosh Sharma
info,player,Punjab Kings,Harpreet Singh
info,player,Punjab Kings,Harpreet Brar
info,player,Punjab Kings,HV Patel
info,player,Punjab Kings,K Rabada
info,player,Punjab Kings,Arshdeep Singh
info,player,Gujarat Titans,S Sandeep Warrier
info,player,Gujarat Titans,WP Saha
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,DA Miller
info,player,Gujarat Titans,Azmatullah Omarzai
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,M Shahrukh Khan
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,R Sai Kishore
info,player,Gujarat Titans,Noor Ahmad
info,player,Gujarat Titans,MM Sharma
info,registry,people,A Nand Kishore,84424f4f
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,Ashutosh Sharma,84d9c311
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,DA Miller,d67d5f00
info,registry,people,HAS Khalid,291ded7c
info,registry,people,HV Patel,f986ca1a
info,registry,people,Harpreet Brar,c05edf8e
info,registry,people,Harpreet Singh,28c78fb3
info,registry,people,J Srinath,bad31fac
info,registry,people,JM Sharma,800d2d97
info,registry,people,K Kelkar,1d88908d
info,registry,people,K Rabada,e62dd25d
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,MM Sharma,759ac88f
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,P Simran Singh,9418198b
info,registry,people,R Sai Kishore,c7a995d3
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,S Sandeep Warrier,cdc6bdba
info,registry,people,SM Curran,e94915e6
info,registry,people,Shashank Singh,26989d80
info,registry,people,Shubman Gill,b4b99816
info,registry,people,VA Kulkarni,8fe0c4f8
info,registry,people,WP Saha,fe11caa6
ball,1,0.1,Punjab Kings,SM Curran,P Simran Singh,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,0.2,Punjab Kings,SM Curran,P Simran Singh,Azmatullah Omarzai,1,0,,,,,,"",""
ball,1,0.3,Punjab Kings,P Simran Singh,SM Curran,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,0.4,Punjab Kings,P Simran Singh,SM Curran,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,0.5,Punjab Kings,P Simran Singh,SM Curran,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,0.6,Punjab Kings,P Simran Singh,SM Curran,Azmatullah Omarzai,1,0,,,,,,"",""
ball,1,1.1,Punjab Kings,P Simran Singh,SM Curran,S Sandeep Warrier,4,0,,,,,,"",""
ball,1,1.2,Punjab Kings,P Simran Singh,SM Curran,S Sandeep Warrier,0,0,,,,,,"",""
ball,1,1.3,Punjab Kings,P Simran Singh,SM Curran,S Sandeep Warrier,0,0,,,,,,"",""
ball,1,1.4,Punjab Kings,P Simran Singh,SM Curran,S Sandeep Warrier,2,0,,,,,,"",""
ball,1,1.5,Punjab Kings,P Simran Singh,SM Curran,S Sandeep Warrier,4,0,,,,,,"",""
ball,1,1.6,Punjab Kings,P Simran Singh,SM Curran,S Sandeep Warrier,6,1,,1,,,,"",""
ball,1,1.7,Punjab Kings,P Simran Singh,SM Curran,S Sandeep Warrier,4,0,,,,,,"",""
ball,1,2.1,Punjab Kings,SM Curran,P Simran Singh,Azmatullah Omarzai,4,0,,,,,,"",""
ball,1,2.2,Punjab Kings,SM Curran,P Simran Singh,Azmatullah Omarzai,1,0,,,,,,"",""
ball,1,2.3,Punjab Kings,P Simran Singh,SM Curran,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,2.4,Punjab Kings,P Simran Singh,SM Curran,Azmatullah Omarzai,6,0,,,,,,"",""
ball,1,2.5,Punjab Kings,P Simran Singh,SM Curran,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,2.6,Punjab Kings,P Simran Singh,SM Curran,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,3.1,Punjab Kings,SM Curran,P Simran Singh,MM Sharma,4,0,,,,,,"",""
ball,1,3.2,Punjab Kings,SM Curran,P Simran Singh,MM Sharma,0,0,,,,,,"",""
ball,1,3.3,Punjab Kings,SM Curran,P Simran Singh,MM Sharma,0,0,,,,,,"",""
ball,1,3.4,Punjab Kings,SM Curran,P Simran Singh,MM Sharma,0,1,1,,,,,"",""
ball,1,3.5,Punjab Kings,SM Curran,P Simran Singh,MM Sharma,1,0,,,,,,"",""
ball,1,3.6,Punjab Kings,P Simran Singh,SM Curran,MM Sharma,1,0,,,,,,"",""
ball,1,3.7,Punjab Kings,SM Curran,P Simran Singh,MM Sharma,1,0,,,,,,"",""
