version,1.7.0
info,balls_per_over,6
info,team,Lucknow Super Giants
info,team,Mumbai Indians
info,gender,male
info,season,2023
info,date,2023/05/16
info,event,Indian Premier League
info,match_number,63
info,venue,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
info,city,Lucknow
info,toss_winner,Mumbai Indians
info,toss_decision,field
info,player_of_match,MP Stoinis
info,umpire,AK Chaudhary
info,umpire,A Nand Kishore
info,reserve_umpire,M Krishnadas
info,tv_umpire,CB Gaffaney
info,match_referee,Sanjay Verma
info,winner,Lucknow Super Giants
info,winner_runs,5
info,player,Lucknow Super Giants,Yash Thakur
info,player,Lucknow Super Giants,DJ Hooda
info,player,Lucknow Super Giants,Q de Kock
info,player,Lucknow Super Giants,PN Mankad
info,player,Lucknow Super Giants,KH Pandya
info,player,Lucknow Super Giants,MP Stoinis
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,Naveen-ul-Haq
info,player,Lucknow Super Giants,Ravi Bishnoi
info,player,Lucknow Super Giants,Swapnil Singh
info,player,Lucknow Super Giants,Mohsin Khan
info,player,Mumbai Indians,Akash Madhwal
info,player,Mumbai Indians,Ishan Kishan
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,SA Yadav
info,player,Mumbai Indians,N Wadhera
info,player,Mumbai Indians,TH David
info,player,Mumbai Indians,Vishnu Vinod
info,player,Mumbai Indians,C Green
info,player,Mumbai Indians,CJ Jordan
info,player,Mumbai Indians,HR Shokeen
info,player,Mumbai Indians,PP Chawla
info,player,Mumbai Indians,JP Behrendorff
info,registry,people,A Badoni,872b03f7
info,registry,people,A Nand Kishore,84424f4f
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,Akash Madhwal,4bd09374
info,registry,people,C Green,eaa76d3c
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,HR Shokeen,0c9652b0
info,registry,people,Ishan Kishan,752f7486
info,registry,people,JP Behrendorff,4933f499
info,registry,people,K Gowtham,90de905a
info,registry,people,KH Pandya,5b8c830e
info,registry,people,M Krishnadas,e298c588
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,Mohsin Khan,c33d8116
info,registry,people,N Pooran,3241e3fd
info,registry,people,N Wadhera,d1a60072
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,PN Mankad,663b5e34
info,registry,people,PP Chawla,98ae73b1
info,registry,people,Q de Kock,372455c4
info,registry,people,RG Sharma,740742ef
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SA Yadav,271f83cd
info,registry,people,Sanjay Verma,bc19a37f
info,registry,people,Swapnil Singh,983f2f61
info,registry,people,TH David,f1f99156
info,registry,people,Vishnu Vinod,0494fa6e
info,registry,people,Yash Thakur,4b31f3a3
ball,1,0.1,Lucknow Super Giants,DJ Hooda,Q de Kock,JP Behrendorff,0,0,,,,,,"",""
ball,1,0.2,Lucknow Super Giants,DJ Hooda,Q de Kock,JP Behrendorff,1,0,,,,,,"",""
ball,1,0.3,Lucknow Super Giants,Q de Kock,DJ Hooda,JP Behrendorff,0,0,,,,,,"",""
ball,1,0.4,Lucknow Super Giants,Q de Kock,DJ Hooda,JP Behrendorff,1,0,,,,,,"",""
ball,1,0.5,Lucknow Super Giants,DJ Hooda,Q de Kock,JP Behrendorff,1,0,,,,,,"",""
ball,1,0.6,Lucknow Super Giants,Q de Kock,DJ Hooda,JP Behrendorff,0,0,,,,,,"",""
ball,1,1.1,Lucknow Super Giants,DJ Hooda,Q de Kock,CJ Jordan,2,0,,,,,,"",""
ball,1,1.2,Lucknow Super Giants,DJ Hooda,Q de Kock,CJ Jordan,0,0,,,,,,"",""
ball,1,1.3,Lucknow Super Giants,DJ Hooda,Q de Kock,CJ Jordan,1,0,,,,,,"",""
ball,1,1.4,Lucknow Super Giants,Q de Kock,DJ Hooda,CJ Jordan,0,0,,,,,,"",""
ball,1,1.5,Lucknow Super Giants,Q de Kock,DJ Hooda,CJ Jordan,0,0,,,,,,"",""
ball,1,1.6,Lucknow Super Giants,Q de Kock,DJ Hooda,CJ Jordan,6,0,,,,,,"",""
ball,1,2.1,Lucknow Super Giants,DJ Hooda,Q de Kock,JP Behrendorff,0,0,,,,,,caught,DJ Hooda
ball,1,2.2,Lucknow Super Giants,PN Mankad,Q de Kock,JP Behrendorff,0,0,,,,,,caught,PN Mankad
ball,1,2.3,Lucknow Super Giants,KH Pandya,Q de Kock,JP Behrendorff,3,0,,,,,,"",""
ball,1,2.4,Lucknow Super Giants,Q de Kock,KH Pandya,JP Behrendorff,0,0,,,,,,"",""
ball,1,2.5,Lucknow Super Giants,Q de Kock,KH Pandya,JP Behrendorff,0,1,,,,1,,"",""
ball,1,2.6,Lucknow Super Giants,KH Pandya,Q de Kock,JP Behrendorff,1,0,,,,,,"",""
ball,1,3.1,Lucknow Super Giants,KH Pandya,Q de Kock,HR Shokeen,4,0,,,,,,"",""
ball,1,3.2,Lucknow Super Giants,KH Pandya,Q de Kock,HR Shokeen,0,0,,,,,,"",""
ball,1,3.3,Lucknow Super Giants,KH Pandya,Q de Kock,HR Shokeen,0,0,,,,,,"",""
ball,1,3.4,Lucknow Super Giants,KH Pandya,Q de Kock,HR Shokeen,2,0,,,,,,"",""
ball,1,3.5,Lucknow Super Giants,KH Pandya,Q de Kock,HR Shokeen,0,0,,,,,,"",""
ball,1,3.6,Lucknow Super Giants,KH Pandya,Q de Kock,HR Shokeen,0,0,,,,,,"",""
ball,1,4.1,Lucknow Super Giants,Q de Kock,KH Pandya,CJ Jordan,0,0,,,,,,"",""
