version,1.7.0
info,balls_per_over,6
info,team,Lucknow Super Giants
info,team,Rajasthan Royals
info,gender,male
info,season,2025
info,date,2025/04/19
info,event,Indian Premier League
info,match_number,36
info,venue,"Sawai Mansingh Stadium, Jaipur"
info,city,Jaipur
info,toss_winner,Lucknow Super Giants
info,toss_decision,bat
info,player_of_match,Avesh Khan
info,umpire,J Madanagopal
info,umpire,Vinod Seshan
info,reserve_umpire,P Joshi
info,tv_umpire,CB Gaffaney
info,match_referee,Prakash Bhatt
info,winner,Lucknow Super Giants
info,winner_runs,2
info,player,Lucknow Super Giants,MR Marsh
info,player,Lucknow Super Giants,AK Markram
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,RR Pant
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,DA Miller
info,player,Lucknow Super Giants,Abdul Samad
info,player,Lucknow Super Giants,DS Rathi
info,player,Lucknow Super Giants,SN Thakur
info,player,Lucknow Super Giants,Ravi Bishnoi
info,player,Lucknow Super Giants,Prince Yadav
info,player,Lucknow Super Giants,Avesh Khan
info,player,Rajasthan Royals,Sandeep Sharma
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,V Suryavanshi
info,player,Rajasthan Royals,N Rana
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,SB Dubey
info,player,Rajasthan Royals,PWH de Silva
info,player,Rajasthan Royals,JC Archer
info,player,Rajasthan Royals,M Theekshana
info,player,Rajasthan Royals,TU Deshpande
info,registry,people,A Badoni,872b03f7
info,registry,people,AK Markram,6a26221c
info,registry,people,Abdul Samad,8e514b4c
info,registry,people,Avesh Khan,eef2536f
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,DA Miller,d67d5f00
info,registry,people,DS Rathi,13fc5c6d
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,J Madanagopal,8275b04a
info,registry,people,JC Archer,5574750c
info,registry,people,M Theekshana,f24c6701
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,N Pooran,3241e3fd
info,registry,people,N Rana,fb2d1dda
info,registry,people,P Joshi,ffc0e370
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,Prince Yadav,80b2fb19
info,registry,people,R Parag,04a418e8
info,registry,people,RR Pant,919a3be2
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SB Dubey,6b2ff18f
info,registry,people,SN Thakur,1abb78f8
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,Sandeep Sharma,ce820073
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,V Suryavanshi,470f446b
info,registry,people,Vinod Seshan,a3357a27
info,registry,people,YBK Jaiswal,6c19c6e5
ball,1,0.1,Lucknow Super Giants,MR Marsh,AK Markram,JC Archer,3,0,,,,,,"",""
ball,1,0.2,Lucknow Super Giants,AK Markram,MR Marsh,JC Archer,0,0,,,,,,"",""
ball,1,0.3,Lucknow Super Giants,AK Markram,MR Marsh,JC Archer,0,0,,,,,,"",""
ball,1,0.4,Lucknow Super Giants,AK Markram,MR Marsh,JC Archer,4,0,,,,,,"",""
ball,1,0.5,Lucknow Super Giants,AK Markram,MR Marsh,JC Archer,4,0,,,,,,"",""
ball,1,0.6,Lucknow Super Giants,AK Markram,MR Marsh,JC Archer,1,0,,,,,,"",""
ball,1,1.1,Lucknow Super Giants,AK Markram,MR Marsh,M Theekshana,1,0,,,,,,"",""
ball,1,1.2,Lucknow Super Giants,MR Marsh,AK Markram,M Theekshana,0,0,,,,,,"",""
ball,1,1.3,Lucknow Super Giants,MR Marsh,AK Markram,M Theekshana,0,0,,,,,,"",""
ball,1,1.4,Lucknow Super Giants,MR Marsh,AK Markram,M Theekshana,0,0,,,,,,"",""
ball,1,1.5,Lucknow Super Giants,MR Marsh,AK Markram,M Theekshana,1,0,,,,,,"",""
ball,1,1.6,Lucknow Super Giants,AK Markram,MR Marsh,M Theekshana,1,0,,,,,,"",""
ball,1,2.1,Lucknow Super Giants,AK Markram,MR Marsh,JC Archer,1,0,,,,,,"",""
ball,1,2.2,Lucknow Super Giants,MR Marsh,AK Markram,JC Archer,0,0,,,,,,caught,MR Marsh
ball,1,2.3,Lucknow Super Giants,N Pooran,AK Markram,JC Archer,0,0,,,,,,"",""
ball,1,2.4,Lucknow Super Giants,N Pooran,AK Markram,JC Archer,1,0,,,,,,"",""
ball,1,2.5,Lucknow Super Giants,AK Markram,N Pooran,JC Archer,1,0,,,,,,"",""
ball,1,2.6,Lucknow Super Giants,N Pooran,AK Markram,JC Archer,0,0,,,,,,"",""
ball,1,3.1,Lucknow Super Giants,AK Markram,N Pooran,M Theekshana,0,1,1,,,,,"",""
ball,1,3.2,Lucknow Super Giants,AK Markram,N Pooran,M Theekshana,4,0,,,,,,"",""
ball,1,3.3,Lucknow Super Giants,AK Markram,N Pooran,M Theekshana,0,0,,,,,,"",""
ball,1,3.4,Lucknow Super Giants,AK Markram,N Pooran,M Theekshana,0,1,,,,1,,"",""
ball,1,3.5,Lucknow Super Giants,N Pooran,AK Markram,M Theekshana,1,0,,,,,,"",""
ball,1,3.6,Lucknow Super Giants,AK Markram,N Pooran,M Theekshana,4,0,,,,,,"",""
ball,1,3.7,Lucknow Super Giants,AK Markram,N Pooran,M Theekshana,1,0,,,,,,"",""
ball,1,4.1,Lucknow Super Giants,AK Markram,N Pooran,JC Archer,0,0,,,,,,"",""
ball,1,4.2,Lucknow Super Giants,AK Markram,N Pooran,JC Archer,3,0,,,,,,"",""
