version,1.7.0
info,balls_per_over,6
info,team,Royal Challengers Bengaluru
info,team,Sunrisers Hyderabad
info,gender,male
info,season,2024
info,date,2024/04/25
info,event,Indian Premier League
info,match_number,41
info,venue,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
info,city,Hyderabad
info,toss_winner,Royal Challengers Bengaluru
info,toss_decision,bat
info,player_of_match,RM Patidar
info,umpire,Nitin Menon
info,umpire,HAS Khalid
info,reserve_umpire,K Kelkar
info,tv_umpire,VK Sharma
info,match_referee,J Srinath
info,winner,Royal Challengers Bengaluru
info,winner_runs,35
info,player,Royal Challengers Bengaluru,V Kohli
info,player,Royal Challengers Bengaluru,F du Plessis
info,player,Royal Challengers Bengaluru,WG Jacks
info,player,Royal Challengers Bengaluru,RM Patidar
info,player,Royal Challengers Bengaluru,C Green
info,player,Royal Challengers Bengaluru,MK Lomror
info,player,Royal Challengers Bengaluru,KD Karthik
info,player,Royal Challengers Bengaluru,Swapnil Singh
info,player,Royal Challengers Bengaluru,KV Sharma
info,player,Royal Challengers Bengaluru,LH Ferguson
info,player,Royal Challengers Bengaluru,Yash Dayal
info,player,Royal Challengers Bengaluru,Mohammed Siraj
info,player,Sunrisers Hyderabad,T Natarajan
info,player,Sunrisers Hyderabad,Abhishek Sharma
info,player,Sunrisers Hyderabad,TM Head
info,player,Sunrisers Hyderabad,AK Markram
info,player,Sunrisers Hyderabad,Nithish Kumar Reddy
info,player,Sunrisers Hyderabad,H Klaasen
info,player,Sunrisers Hyderabad,Shahbaz Ahmed
info,player,Sunrisers Hyderabad,Abdul Samad
info,player,Sunrisers Hyderabad,PJ Cummins
info,player,Sunrisers Hyderabad,B Kumar
info,player,Sunrisers Hyderabad,JD Unadkat
info,player,Sunrisers Hyderabad,M Markande
info,registry,people,AK Markram,6a26221c
info,registry,people,Abdul Samad,8e514b4c
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,B Kumar,2e81a32d
info,registry,people,C Green,eaa76d3c
info,registry,people,F du Plessis,3355b542
info,registry,people,H Klaasen,235c2bb6
info,registry,people,HAS Khalid,291ded7c
info,registry,people,J Srinath,bad31fac
info,registry,people,JD Unadkat,1e66c162
info,registry,people,K Kelkar,1d88908d
info,registry,people,KD Karthik,c03f1114
info,registry,people,KV Sharma,119678fd
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,M Markande,a9fd84fb
info,registry,people,MK Lomror,da934ee8
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,Nithish Kumar Reddy,aad0c365
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,PJ Cummins,ded9240e
info,registry,people,RM Patidar,c740ea83
info,registry,people,Shahbaz Ahmed,f9e6e7ef
info,registry,people,Swapnil Singh,983f2f61
info,registry,people,T Natarajan,ce794613
info,registry,people,TM Head,12b610c2
info,registry,people,V Kohli,ba607b88
info,registry,people,VK Sharma,a7a49df4
info,registry,people,WG Jacks,9caf69a1
info,registry,people,Yash Dayal,7210d461
ball,1,0.1,Royal Challengers Bengaluru,V Kohli,F du Plessis,Abhishek Sharma,4,0,,,,,,"",""
ball,1,0.2,Royal Challengers Bengaluru,V Kohli,F du Plessis,Abhishek Sharma,1,0,,,,,,"",""
ball,1,0.3,Royal Challengers Bengaluru,F du Plessis,V Kohli,Abhishek Sharma,1,0,,,,,,"",""
ball,1,0.4,Royal Challengers Bengaluru,V Kohli,F du Plessis,Abhishek Sharma,1,0,,,,,,"",""
ball,1,0.5,Royal Challengers Bengaluru,F du Plessis,V Kohli,Abhishek Sharma,1,0,,,,,,"",""
ball,1,0.6,Royal Challengers Bengaluru,V Kohli,F du Plessis,Abhishek Sharma,2,0,,,,,,"",""
ball,1,1.1,Royal Challengers Bengaluru,F du Plessis,V Kohli,B Kumar,4,0,,,,,,"",""
ball,1,1.2,Royal Challengers Bengaluru,F du Plessis,V Kohli,B Kumar,1,0,,,,,,"",""
ball,1,1.3,Royal Challengers Bengaluru,V Kohli,F du Plessis,B Kumar,0,0,,,,,,"",""
ball,1,1.4,Royal Challengers Bengaluru,V Kohli,F du Plessis,B Kumar,1,0,,,,,,"",""
ball,1,1.5,Royal Challengers Bengaluru,F du Plessis,V Kohli,B Kumar,4,0,,,,,,"",""
ball,1,1.6,Royal Challengers Bengaluru,F du Plessis,V Kohli,B Kumar,4,0,,,,,,"",""
ball,1,2.1,Royal Challengers Bengaluru,V Kohli,F du Plessis,PJ Cummins,4,0,,,,,,"",""
ball,1,2.2,Royal Challengers Bengaluru,V Kohli,F du Plessis,PJ Cummins,4,0,,,,,,"",""
ball,1,2.3,Royal Challengers Bengaluru,V Kohli,F du Plessis,PJ Cummins,1,0,,,,,,"",""
ball,1,2.4,Royal Challengers Bengaluru,F du Plessis,V Kohli,PJ Cummins,6,0,,,,,,"",""
ball,1,2.5,Royal Challengers Bengaluru,F du Plessis,V Kohli,PJ Cummins,2,0,,,,,,"",""
ball,1,2.6,Royal Challengers Bengaluru,F du Plessis,V Kohli,PJ Cummins,2,0,,,,,,"",""
ball,1,3.1,Royal Challengers Bengaluru,V Kohli,F du Plessis,T Natarajan,4,0,,,,,,"",""
ball,1,3.2,Royal Challengers Bengaluru,V Kohli,F du Plessis,T Natarajan,1,0,,,,,,"",""
ball,1,3.3,Royal Challengers Bengaluru,F du Plessis,V Kohli,T Natarajan,0,0,,,,,,"",""
ball,1,3.4,Royal Challengers Bengaluru,F du Plessis,V Kohli,T Natarajan,0,0,,,,,,"",""
ball,1,3.5,Royal Challengers Bengaluru,F du Plessis,V Kohli,T Natarajan,0,0,,,,,,caught,F du Plessis
ball,1,3.6,Royal Challengers Bengaluru,WG Jacks,V Kohli,T Natarajan,1,0,,,,,,"",""
ball,1,4.1,Royal Challengers Bengaluru,WG Jacks,V Kohli,Shahbaz Ahmed,0,0,,,,,,"",""
ball,1,4.2,Royal Challengers Bengaluru,WG Jacks,V Kohli,Shahbaz Ahmed,1,0,,,,,,"",""
