version,1.7.0
info,balls_per_over,6
info,team,Kolkata Knight Riders
info,team,Sunrisers Hyderabad
info,gender,male
info,season,2025
info,date,2025/04/03
info,event,Indian Premier League
info,match_number,15
info,venue,"Eden Gardens, Kolkata"
info,city,Kolkata
info,toss_winner,Sunrisers Hyderabad
info,toss_decision,field
info,player_of_match,VG Arora
info,umpire,AT Holdstock
info,umpire,A Totre
info,reserve_umpire,K Kelkar
info,tv_umpire,R Pandit
info,match_referee,Shakti Singh
info,winner,Kolkata Knight Riders
info,winner_runs,80
info,player,Kolkata Knight Riders,VG Arora
info,player,Kolkata Knight Riders,Q de Kock
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,AM Rahane
info,player,Kolkata Knight Riders,A Raghuvanshi
info,player,Kolkata Knight Riders,VR Iyer
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,AD Russell
info,player,Kolkata Knight Riders,MM Ali
info,player,Kolkata Knight Riders,Ramandeep Singh
info,player,Kolkata Knight Riders,Harshit Rana
info,player,Kolkata Knight Riders,CV Varun
info,player,Sunrisers Hyderabad,Zeeshan Ansari
info,player,Sunrisers Hyderabad,TM Head
info,player,Sunrisers Hyderabad,Abhishek Sharma
info,player,Sunrisers Hyderabad,Ishan Kishan
info,player,Sunrisers Hyderabad,Nithish Kumar Reddy
info,player,Sunrisers Hyderabad,PHKD Mendis
info,player,Sunrisers Hyderabad,H Klaasen
info,player,Sunrisers Hyderabad,Aniket Verma
info,player,Sunrisers Hyderabad,PJ Cummins
info,player,Sunrisers Hyderabad,HV Patel
info,player,Sunrisers Hyderabad,Simarjeet Singh
info,player,Sunrisers Hyderabad,Mohammed Shami
info,registry,people,A Raghuvanshi,d7017798
info,registry,people,A Totre,b1d7d7bc
info,registry,people,AD Russell,bbd41817
info,registry,people,AM Rahane,29e95537
info,registry,people,AS Roy,e4cdf230
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,Aniket Verma,a3b0600d
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,H Klaasen,235c2bb6
info,registry,people,HV Patel,f986ca1a
info,registry,people,Harshit Rana,77b1aa15
info,registry,people,Ishan Kishan,752f7486
info,registry,people,K Kelkar,1d88908d
info,registry,people,MM Ali,bb351c23
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,Nithish Kumar Reddy,aad0c365
info,registry,people,PHKD Mendis,08548b13
info,registry,people,PJ Cummins,ded9240e
info,registry,people,Q de Kock,372455c4
info,registry,people,R Pandit,8a604384
info,registry,people,RK Singh,0a509d6b
info,registry,people,Ramandeep Singh,be24ead0
info,registry,people,SP Narine,9d430b40
info,registry,people,Shakti Singh,eb90d319
info,registry,people,Simarjeet Singh,30df8c66
info,registry,people,TM Head,12b610c2
info,registry,people,VG Arora,7c3b3b78
info,registry,people,VR Iyer,a24be938
info,registry,people,Zeeshan Ansari,36619795
ball,1,0.1,Kolkata Knight Riders,Q de Kock,SP Narine,Mohammed Shami,0,1,1,,,,,"",""
ball,1,0.2,Kolkata Knight Riders,Q de Kock,SP Narine,Mohammed Shami,0,4,,,,4,,"",""
ball,1,0.3,Kolkata Knight Riders,Q de Kock,SP Narine,Mohammed Shami,1,0,,,,,,"",""
ball,1,0.4,Kolkata Knight Riders,SP Narine,Q de Kock,Mohammed Shami,0,1,,,,1,,"",""
ball,1,0.5,Kolkata Knight Riders,Q de Kock,SP Narine,Mohammed Shami,0,0,,,,,,"",""
ball,1,0.6,Kolkata Knight Riders,Q de Kock,SP Narine,Mohammed Shami,0,0,,,,,,"",""
ball,1,0.7,Kolkata Knight Riders,Q de Kock,SP Narine,Mohammed Shami,0,0,,,,,,"",""
ball,1,1.1,Kolkata Knight Riders,SP Narine,Q de Kock,PJ Cummins,6,0,,,,,,"",""
ball,1,1.2,Kolkata Knight Riders,SP Narine,Q de Kock,PJ Cummins,0,0,,,,,,"",""
ball,1,1.3,Kolkata Knight Riders,SP Narine,Q de Kock,PJ Cummins,0,0,,,,,,"",""
ball,1,1.4,Kolkata Knight Riders,SP Narine,Q de Kock,PJ Cummins,0,1,,,,1,,"",""
ball,1,1.5,Kolkata Knight Riders,Q de Kock,SP Narine,PJ Cummins,0,0,,,,,,caught,Q de Kock
ball,1,1.6,Kolkata Knight Riders,AM Rahane,SP Narine,PJ Cummins,0,0,,,,,,"",""
ball,1,2.1,Kolkata Knight Riders,SP Narine,AM Rahane,Mohammed Shami,1,0,,,,,,"",""
ball,1,2.2,Kolkata Knight Riders,AM Rahane,SP Narine,Mohammed Shami,1,0,,,,,,"",""
ball,1,2.3,Kolkata Knight Riders,SP Narine,AM Rahane,Mohammed Shami,0,0,,,,,,caught,SP Narine
ball,1,2.4,Kolkata Knight Riders,A Raghuvanshi,AM Rahane,Mohammed Shami,1,0,,,,,,"",""
ball,1,2.5,Kolkata Knight Riders,AM Rahane,A Raghuvanshi,Mohammed Shami,0,0,,,,,,"",""
ball,1,2.6,Kolkata Knight Riders,AM Rahane,A Raghuvanshi,Mohammed Shami,0,0,,,,,,"",""
ball,1,3.1,Kolkata Knight Riders,A Raghuvanshi,AM Rahane,PJ Cummins,0,0,,,,,,"",""
ball,1,3.2,Kolkata Knight Riders,A Raghuvanshi,AM Rahane,PJ Cummins,2,0,,,,,,"",""
ball,1,3.3,Kolkata Knight Riders,A Raghuvanshi,AM Rahane,PJ Cummins,0,0,,,,,,"",""
ball,1,3.4,Kolkata Knight Riders,A Raghuvanshi,AM Rahane,PJ Cummins,1,0,,,,,,"",""
ball,1,3.5,Kolkata Knight Riders,AM Rahane,A Raghuvanshi,PJ Cummins,6,0,,,,,,"",""
ball,1,3.6,Kolkata Knight Riders,AM Rahane,A Raghuvanshi,PJ Cummins,0,0,,,,,,"",""
