version,1.7.0
info,balls_per_over,6
info,team,Gujarat Titans
info,team,Mumbai Indians
info,gender,male
info,season,2025
info,date,2025/03/29
info,event,Indian Premier League
info,match_number,9
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Mumbai Indians
info,toss_decision,field
info,player_of_match,M Prasidh Krishna
info,umpire,A Bengeri
info,umpire,Vinod Seshan
info,reserve_umpire,TM Srivastava
info,tv_umpire,J Madanagopal
info,match_referee,Prakash Bhatt
info,winner,Gujarat Titans
info,winner_runs,36
info,player,Gujarat Titans,I Sharma
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,JC Buttler
info,player,Gujarat Titans,M Shahrukh Khan
info,player,Gujarat Titans,SE Rutherford
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,K Rabada
info,player,Gujarat Titans,R Sai Kishore
info,player,Gujarat Titans,Mohammed Siraj
info,player,Gujarat Titans,M Prasidh Krishna
info,player,Mumbai Indians,PVSN Raju
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,RD Rickelton
info,player,Mumbai Indians,Tilak Varma
info,player,Mumbai Indians,SA Yadav
info,player,Mumbai Indians,R Minz
info,player,Mumbai Indians,HH Pandya
info,player,Mumbai Indians,Naman Dhir
info,player,Mumbai Indians,MJ Santner
info,player,Mumbai Indians,DL Chahar
info,player,Mumbai Indians,TA Boult
info,player,Mumbai Indians,Mujeeb Ur Rahman
info,registry,people,A Bengeri,c109497d
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,DL Chahar,23eeb873
info,registry,people,HH Pandya,dbe50b21
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,J Madanagopal,8275b04a
info,registry,people,JC Buttler,99b75528
info,registry,people,K Rabada,e62dd25d
info,registry,people,M Prasidh Krishna,85e0cf10
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,MJ Santner,e4a0deae
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,Naman Dhir,fffa744b
info,registry,people,PVSN Raju,c27b5a0e
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,R Minz,bafd0398
info,registry,people,R Sai Kishore,c7a995d3
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RG Sharma,740742ef
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SA Yadav,271f83cd
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,Shubman Gill,b4b99816
info,registry,people,TA Boult,a818c1be
info,registry,people,TM Srivastava,a76d10ba
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,Vinod Seshan,a3357a27
ball,1,0.1,Gujarat Titans,B Sai Sudharsan,Shubman Gill,TA Boult,0,0,,,,,,"",""
ball,1,0.2,Gujarat Titans,B Sai Sudharsan,Shubman Gill,TA Boult,0,0,,,,,,"",""
ball,1,0.3,Gujarat Titans,B Sai Sudharsan,Shubman Gill,TA Boult,1,0,,,,,,"",""
ball,1,0.4,Gujarat Titans,Shubman Gill,B Sai Sudharsan,TA Boult,0,0,,,,,,"",""
ball,1,0.5,Gujarat Titans,Shubman Gill,B Sai Sudharsan,TA Boult,2,0,,,,,,"",""
ball,1,0.6,Gujarat Titans,Shubman Gill,B Sai Sudharsan,TA Boult,4,0,,,,,,"",""
ball,1,1.1,Gujarat Titans,B Sai Sudharsan,Shubman Gill,DL Chahar,1,0,,,,,,"",""
ball,1,1.2,Gujarat Titans,Shubman Gill,B Sai Sudharsan,DL Chahar,4,0,,,,,,"",""
ball,1,1.3,Gujarat Titans,Shubman Gill,B Sai Sudharsan,DL Chahar,0,0,,,,,,"",""
ball,1,1.4,Gujarat Titans,Shubman Gill,B Sai Sudharsan,DL Chahar,0,0,,,,,,"",""
ball,1,1.5,Gujarat Titans,Shubman Gill,B Sai Sudharsan,DL Chahar,2,0,,,,,,"",""
ball,1,1.6,Gujarat Titans,Shubman Gill,B Sai Sudharsan,DL Chahar,0,0,,,,,,"",""
ball,1,2.1,Gujarat Titans,B Sai Sudharsan,Shubman Gill,TA Boult,0,0,,,,,,"",""
ball,1,2.2,Gujarat Titans,B Sai Sudharsan,Shubman Gill,TA Boult,4,0,,,,,,"",""
ball,1,2.3,Gujarat Titans,B Sai Sudharsan,Shubman Gill,TA Boult,2,0,,,,,,"",""
ball,1,2.4,Gujarat Titans,B Sai Sudharsan,Shubman Gill,TA Boult,4,0,,,,,,"",""
ball,1,2.5,Gujarat Titans,B Sai Sudharsan,Shubman Gill,TA Boult,1,0,,,,,,"",""
ball,1,2.6,Gujarat Titans,Shubman Gill,B Sai Sudharsan,TA Boult,1,0,,,,,,"",""
ball,1,3.1,Gujarat Titans,Shubman Gill,B Sai Sudharsan,DL Chahar,1,0,,,,,,"",""
ball,1,3.2,Gujarat Titans,B Sai Sudharsan,Shubman Gill,DL Chahar,0,0,,,,,,"",""
ball,1,3.3,Gujarat Titans,B Sai Sudharsan,Shubman Gill,DL Chahar,1,0,,,,,,"",""
ball,1,3.4,Gujarat Titans,Shubman Gill,B Sai Sudharsan,DL Chahar,0,0,,,,,,"",""
ball,1,3.5,Gujarat Titans,Shubman Gill,B Sai Sudharsan,DL Chahar,1,0,,,,,,"",""
ball,1,3.6,Gujarat Titans,B Sai Sudharsan,Shubman Gill,DL Chahar,0,1,1,,,,,"",""
ball,1,3.7,Gujarat Titans,B Sai Sudharsan,Shubman Gill,DL Chahar,1,0,,,,,,"",""
ball,1,4.1,Gujarat Titans,B Sai Sudharsan,Shubman Gill,Mujeeb Ur Rahman,4,0,,,,,,"",""
ball,1,4.2,Gujarat Titans,B Sai Sudharsan,Shubman Gill,Mujeeb Ur Rahman,6,0,,,,,,"",""
ball,1,4.3,Gujarat Titans,B Sai Sudharsan,Shubman Gill,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,4.4,Gujarat Titans,B Sai Sudharsan,Shubman Gill,Mujeeb Ur Rahman,1,0,,,,,,"",""
ball,1,4.5,Gujarat Titans,Shubman Gill,B Sai Sudharsan,Mujeeb Ur Rahman,4,0,,,,,,"",""
ball,1,4.6,Gujarat Titans,Shubman Gill,B Sai Sudharsan,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,5.1,Gujarat Titans,B Sai Sudharsan,Shubman Gill,DL Chahar,1,0,,,,,,"",""
ball,1,5.2,Gujarat Titans,Shubman Gill,B Sai Sudharsan,DL Chahar,2,0,,,,,,"",""
ball,1,5.3,Gujarat Titans,Shubman Gill,B Sai Sudharsan,DL Chahar,6,0,,,,,,"",""
ball,1,5.4,Gujarat Titans,Shubman Gill,B Sai Sudharsan,DL Chahar,1,0,,,,,,"",""
ball,1,5.5,Gujarat Titans,B Sai Sudharsan,Shubman Gill,DL Chahar,5,0,,,,,,"",""
ball,1,5.6,Gujarat Titans,Shubman Gill,B Sai Sudharsan,DL Chahar,0,1,1,,,,,"",""
ball,1,5.7,Gujarat Titans,Shubman Gill,B Sai Sudharsan,DL Chahar,4,0,,,,,,"",""
ball,1,6.1,Gujarat Titans,B Sai Sudharsan,Shubman Gill,HH Pandya,0,1,1,,,,,"",""
ball,1,6.2,Gujarat Titans,B Sai Sudharsan,Shubman Gill,HH Pandya,1,0,,,,,,"",""
ball,1,6.3,Gujarat Titans,Shubman Gill,B Sai Sudharsan,HH Pandya,1,0,,,,,,"",""
ball,1,6.4,Gujarat Titans,B Sai Sudharsan,Shubman Gill,HH Pandya,1,0,,,,,,"",""
ball,1,6.5,Gujarat Titans,Shubman Gill,B Sai Sudharsan,HH Pandya,0,0,,,,,,"",""
ball,1,6.6,Gujarat Titans,Shubman Gill,B Sai Sudharsan,HH Pandya,0,0,,,,,,"",""
ball,1,6.7,Gujarat Titans,Shubman Gill,B Sai Sudharsan,HH Pandya,1,0,,,,,,"",""
ball,1,7.1,Gujarat Titans,Shubman Gill,B Sai Sudharsan,MJ Santner,0,0,,,,,,"",""
ball,1,7.2,Gujarat Titans,Shubman Gill,B Sai Sudharsan,MJ Santner,1,0,,,,,,"",""
ball,1,7.3,Gujarat Titans,B Sai Sudharsan,Shubman Gill,MJ Santner,1,0,,,,,,"",""
ball,1,7.4,Gujarat Titans,Shubman Gill,B Sai Sudharsan,MJ Santner,1,0,,,,,,"",""
ball,1,7.5,Gujarat Titans,B Sai Sudharsan,Shubman Gill,MJ Santner,0,0,,,,,,"",""
ball,1,7.6,Gujarat Titans,B Sai Sudharsan,Shubman Gill,MJ Santner,1,0,,,,,,"",""
ball,1,8.1,Gujarat Titans,B Sai Sudharsan,Shubman Gill,HH Pandya,1,0,,,,,,"",""
ball,1,8.2,Gujarat Titans,Shubman Gill,B Sai Sudharsan,HH Pandya,2,0,,,,,,"",""
ball,1,8.3,Gujarat Titans,Shubman Gill,B Sai Sudharsan,HH Pandya,0,0,,,,,,caught,Shubman Gill
ball,1,8.4,Gujarat Titans,JC Buttler,B Sai Sudharsan,HH Pandya,0,0,,,,,,"",""
ball,1,8.5,Gujarat Titans,JC Buttler,B Sai Sudharsan,HH Pandya,0,0,,,,,,"",""
ball,1,8.6,Gujarat Titans,JC Buttler,B Sai Sudharsan,HH Pandya,1,0,,,,,,"",""
ball,1,9.1,Gujarat Titans,JC Buttler,B Sai Sudharsan,MJ Santner,0,0,,,,,,"",""
ball,1,9.2,Gujarat Titans,JC Buttler,B Sai Sudharsan,MJ Santner,1,0,,,,,,"",""
ball,1,9.3,Gujarat Titans,B Sai Sudharsan,JC Buttler,MJ Santner,1,0,,,,,,"",""
ball,1,9.4,Gujarat Titans,JC Buttler,B Sai Sudharsan,MJ Santner,6,0,,,,,,"",""
ball,1,9.5,Gujarat Titans,JC Buttler,B Sai Sudharsan,MJ Santner,4,0,,,,,,"",""
ball,1,9.6,Gujarat Titans,JC Buttler,B Sai Sudharsan,MJ Santner,1,0,,,,,,"",""
ball,1,10.1,Gujarat Titans,JC Buttler,B Sai Sudharsan,HH Pandya,0,0,,,,,,"",""
ball,1,10.2,Gujarat Titans,JC Buttler,B Sai Sudharsan,HH Pandya,1,0,,,,,,"",""
ball,1,10.3,Gujarat Titans,B Sai Sudharsan,JC Buttler,HH Pandya,1,0,,,,,,"",""
ball,1,10.4,Gujarat Titans,JC Buttler,B Sai Sudharsan,HH Pandya,4,0,,,,,,"",""
ball,1,10.5,Gujarat Titans,JC Buttler,B Sai Sudharsan,HH Pandya,2,0,,,,,,"",""
ball,1,10.6,Gujarat Titans,JC Buttler,B Sai Sudharsan,HH Pandya,1,0,,,,,,"",""
ball,1,11.1,Gujarat Titans,JC Buttler,B Sai Sudharsan,MJ Santner,0,0,,,,,,"",""
ball,1,11.2,Gujarat Titans,JC Buttler,B Sai Sudharsan,MJ Santner,0,0,,,,,,"",""
ball,1,11.3,Gujarat Titans,JC Buttler,B Sai Sudharsan,MJ Santner,4,0,,,,,,"",""
ball,1,11.4,Gujarat Titans,JC Buttler,B Sai Sudharsan,MJ Santner,1,0,,,,,,"",""
ball,1,11.5,Gujarat Titans,B Sai Sudharsan,JC Buttler,MJ Santner,2,0,,,,,,"",""
ball,1,11.6,Gujarat Titans,B Sai Sudharsan,JC Buttler,MJ Santner,1,0,,,,,,"",""
ball,1,12.1,Gujarat Titans,B Sai Sudharsan,JC Buttler,PVSN Raju,1,0,,,,,,"",""
